timestamp,open,low,high,close,volume
2004-11-01,67,64,68,67,64278075
2004-11-02,67,64,67,64,23915321
2004-11-03,64,62,65,65,4683961
2004-11-04,64,64,65,65,7481280
2004-11-05,64,64,65,64,3974168
2004-11-08,64,59,64,61,8184376
2004-11-09,61,58,61,59,3493719
2004-11-10,58,55,58,58,5239742
2004-11-11,55,53,56,56,2243212
2004-11-12,55,52,56,55,4000953
2004-11-15,55,55,55,55,0
2004-11-16,55,55,55,55,0
2004-11-17,55,55,55,55,0
2004-11-18,55,55,55,55,0
2004-11-19,55,55,55,55,0
2004-11-22,55,55,58,58,184144
2004-11-23,58,56,58,58,495515
2004-11-24,58,56,58,58,619394
2004-11-25,56,56,58,58,652875
2004-11-26,56,55,58,58,1290684
2004-11-29,55,53,55,55,2589738
2004-11-30,53,53,58,58,4625369
2004-12-01,55,53,56,56,1473154
2004-12-02,55,55,55,55,719836
2004-12-03,55,53,55,55,773406
2004-12-06,53,53,55,55,2879347
2004-12-07,53,52,53,53,567499
2004-12-08,52,50,53,53,1242136
2004-12-09,52,52,53,53,1973691
2004-12-10,50,49,50,50,671289
2004-12-13,46,44,47,46,1526723
2004-12-14,44,41,44,44,932439
2004-12-15,44,44,44,44,0
2004-12-16,44,43,47,44,1178523
2004-12-17,44,43,47,47,2064090
2004-12-20,47,46,55,55,8797074
2004-12-21,55,52,62,62,14676299
2004-12-22,61,56,62,58,14537354
2004-12-23,59,55,59,59,28855410
2004-12-24,59,59,59,59,0
2004-12-27,58,56,64,61,59140449
2004-12-28,61,59,62,62,40859943
2004-12-29,61,59,62,61,20292700
2004-12-30,61,55,61,59,71514946
2004-12-31,59,59,59,59,0
2005-01-03,58,53,58,55,39405204
2005-01-04,53,52,58,58,29878248
2005-01-05,58,55,58,56,25719935
2005-01-06,56,56,56,56,6418265
2005-01-07,56,55,56,55,336481
2005-01-10,55,55,56,56,57928445
2005-01-11,55,53,56,55,36858990
2005-01-12,55,55,59,59,73975783
2005-01-13,58,55,58,56,77544834
2005-01-14,56,55,56,55,51670887
2005-01-17,55,55,55,55,2929568
2005-01-18,55,55,55,55,0
2005-01-19,55,55,55,55,13335394
2005-01-20,53,53,55,55,13000586
2005-01-21,53,53,55,55,0
2005-01-24,53,53,53,53,4024389
2005-01-25,53,50,53,50,4044478
2005-01-26,49,49,49,49,229343
2005-01-27,49,49,50,50,1056318
2005-01-28,50,49,50,49,426879
2005-01-31,49,47,49,47,326437
2005-02-01,47,47,49,47,313045
2005-02-02,46,46,46,46,167403
2005-02-03,46,46,46,46,209254
2005-02-04,47,47,49,47,154011
2005-02-07,47,47,47,47,0
2005-02-08,49,49,49,49,1674
2005-02-09,49,49,49,49,0
2005-02-10,49,49,49,49,0
2005-02-11,49,49,49,49,0
2005-02-14,46,46,49,49,68635
2005-02-15,46,46,46,46,251105
2005-02-16,46,41,46,41,192514
2005-02-17,41,41,50,47,1178523
2005-02-18,47,47,47,47,0
2005-02-21,44,44,44,44,6696
2005-02-22,46,46,47,47,728206
2005-02-23,49,47,49,49,686355
2005-02-24,49,49,49,49,0
2005-02-25,49,49,49,49,0
2005-02-28,50,50,50,50,1674
2005-03-01,44,44,44,44,8370
2005-03-02,49,49,49,49,150663
2005-03-03,49,49,49,49,0
2005-03-04,49,49,49,49,0
2005-03-07,49,49,49,49,0
2005-03-08,49,49,49,49,8370
2005-03-09,49,49,49,49,0
2005-03-10,46,46,46,46,1674
2005-03-11,46,46,46,46,0
2005-03-14,46,46,46,46,15066
2005-03-15,46,46,46,46,388377
2005-03-16,46,46,47,46,465382
2005-03-17,46,44,46,44,113834
2005-03-18,44,44,44,44,0
2005-03-21,44,44,44,44,0
2005-03-22,44,44,44,44,0
2005-03-23,44,44,44,44,92072
2005-03-24,44,44,44,44,0
2005-03-25,44,44,44,44,0
2005-03-28,44,44,44,44,0
2005-03-29,44,44,44,44,6696
2005-03-30,43,41,44,41,11905765
2005-03-31,41,41,41,41,5296659
2005-04-01,40,38,41,41,18839634
2005-04-04,41,41,41,41,11641267
2005-04-05,41,40,41,41,10566534
2005-04-06,41,38,41,40,8524206
2005-04-07,40,40,40,40,0
2005-04-08,40,40,40,40,0
2005-04-11,31,31,37,37,259476
2005-04-12,37,37,37,37,0
2005-04-13,37,37,37,37,0
2005-04-14,37,37,37,37,0
2005-04-15,38,38,38,38,167403
2005-04-18,31,31,31,31,33480
2005-04-19,35,34,35,34,6696
2005-04-20,31,31,31,31,234365
2005-04-21,31,29,31,31,175774
2005-04-22,31,29,31,31,0
2005-04-25,25,25,31,29,225995
2005-04-26,32,26,32,29,5397101
2005-04-27,29,29,29,29,3348
2005-04-28,29,29,29,29,43525
2005-04-29,29,29,29,29,50221
2005-05-02,29,29,29,29,0
2005-05-03,29,29,29,29,0
2005-05-04,29,29,29,29,0
2005-05-05,29,29,29,29,0
2005-05-06,31,29,32,32,1098169
2005-05-09,29,29,34,32,4166683
2005-05-10,31,31,32,32,4590214
2005-05-11,31,31,32,32,703096
2005-05-12,31,29,32,31,8822185
2005-05-13,29,29,31,29,5567853
2005-05-16,29,29,29,29,0
2005-05-17,29,29,29,29,33480
2005-05-18,29,29,29,29,0
2005-05-19,29,29,31,29,10754026
2005-05-20,28,28,29,29,984334
2005-05-23,29,29,31,29,6254209
2005-05-24,29,29,31,29,0
2005-05-25,28,28,28,28,8370
2005-05-26,29,28,29,29,8512488
2005-05-27,29,29,31,31,18699015
2005-05-30,31,29,31,29,23059887
2005-05-31,29,28,31,29,38924754
2005-06-01,28,28,28,28,1884967
2005-06-02,28,28,29,28,4844668
2005-06-03,29,28,29,29,2996529
2005-06-06,28,28,29,29,1183545
2005-06-07,28,28,29,29,1088125
2005-06-08,28,28,28,28,23722806
2005-06-09,29,28,29,28,1394474
2005-06-10,28,28,28,28,292956
2005-06-13,28,28,29,28,21084521
2005-06-14,28,26,28,28,3945709
2005-06-15,28,26,29,28,25890687
2005-06-16,26,26,28,28,5691732
2005-06-17,26,26,29,28,60496421
2005-06-20,28,28,28,28,7869657
2005-06-21,26,26,28,28,16574660
2005-06-22,26,26,26,26,92072
2005-06-23,26,26,28,26,21509727
2005-06-24,26,26,28,28,12759525
2005-06-27,26,26,28,28,26349373
2005-06-28,28,28,28,28,0
2005-06-29,26,26,28,28,22457233
2005-06-30,28,28,28,28,0
2005-07-01,28,28,28,28,0
2005-07-04,28,28,28,28,0
2005-07-05,25,20,25,22,261150
2005-07-06,19,19,20,20,187492
2005-07-07,26,26,26,26,1674
2005-07-08,26,26,26,26,0
2005-07-11,26,26,26,26,0
2005-07-12,22,22,22,22,16740
2005-07-13,22,22,22,22,6696
2005-07-14,22,20,22,22,753317
2005-07-15,22,22,22,22,0
2005-07-18,22,22,22,22,0
2005-07-19,22,22,22,22,0
2005-07-20,22,22,22,22,0
2005-07-21,22,22,22,22,0
2005-07-22,23,23,23,23,1674
2005-07-25,23,23,23,23,0
2005-07-26,23,23,23,23,0
2005-07-27,23,23,23,23,0
2005-07-28,20,20,20,20,33480
2005-07-29,20,20,20,20,351548
2005-08-01,20,20,20,20,200884
2005-08-02,20,20,20,20,602654
2005-08-03,20,20,23,23,1593685
2005-08-04,25,23,25,23,520626
2005-08-05,23,22,23,22,167403
