timestamp,open,low,high,close,volume
2018-08-16,84,84,84,84,0
2018-08-17,84,84,84,84,0
2018-08-20,84,84,84,84,10500
2018-08-21,106,103,106,106,75378000
2018-08-22,106,106,106,106,0
2018-08-23,132,131,132,132,86726000
2018-08-24,162,150,165,165,309513000
2018-08-27,170,128,194,146,383168500
2018-08-28,148,147,159,154,92434000
2018-08-29,156,155,170,167,100727000
2018-08-30,170,165,172,167,71964000
2018-08-31,160,128,169,158,37192500
2018-09-03,162,138,162,158,13195000
2018-09-04,160,158,163,160,17276500
2018-09-05,160,142,161,156,12409000
2018-09-06,155,150,179,170,57460500
2018-09-07,174,160,175,171,9336000
2018-09-10,170,168,209,202,85321500
2018-09-11,202,202,202,202,0
2018-09-12,204,203,252,245,95145500
2018-09-13,247,235,299,294,137330000
2018-09-14,294,294,294,294,0
2018-09-17,288,240,316,292,74082000
2018-09-18,294,277,336,282,106314500
2018-09-19,284,274,310,300,39686500
2018-09-20,312,307,328,321,42339000
2018-09-21,322,322,342,333,41136500
2018-09-24,334,302,356,330,64705000
2018-09-25,322,297,328,314,72094500
2018-09-26,313,303,335,332,32440000
2018-09-27,333,316,352,329,13593000
2018-09-28,329,314,332,326,7541000
2018-10-01,329,317,338,335,17876000
2018-10-02,332,326,338,328,8574000
2018-10-03,326,322,367,365,37354500
2018-10-04,367,359,385,362,24928000
2018-10-05,364,357,375,362,4367000
2018-10-08,362,348,368,350,12135500
2018-10-09,352,326,385,385,30806000
2018-10-10,387,377,400,377,20951000
2018-10-11,372,350,372,370,8734500
2018-10-12,370,358,370,359,2410500
2018-10-15,358,343,359,350,7163000
2018-10-16,350,350,396,382,41804000
2018-10-17,385,380,416,416,16144000
2018-10-18,416,414,450,436,123286500
2018-10-19,436,426,466,442,49890000
2018-10-22,442,390,462,424,20165500
2018-10-23,424,393,424,396,49599000
2018-10-24,396,382,396,392,59948500
2018-10-25,380,362,382,373,17961500
2018-10-26,373,367,400,388,14061500
2018-10-29,388,382,410,385,74021000
2018-10-30,385,370,391,386,36029000
2018-10-31,386,380,412,399,34769000
2018-11-01,400,390,400,390,26393500
2018-11-02,391,382,399,393,6201500
2018-11-05,386,383,412,406,9258500
2018-11-06,406,396,432,416,18079000
2018-11-07,416,416,470,452,45474500
2018-11-08,456,422,458,434,30526500
2018-11-09,432,392,440,420,10860000
2018-11-12,420,406,446,424,11604000
2018-11-13,414,400,434,408,6276000
2018-11-14,412,368,412,378,16075000
2018-11-15,377,366,380,374,5325500
2018-11-16,373,367,378,373,2568000
2018-11-19,373,368,374,368,2871500
2018-11-20,368,368,368,368,0
2018-11-21,363,341,363,341,3832500
2018-11-22,341,338,356,352,8044000
2018-11-23,352,346,356,347,7048000
2018-11-26,348,340,348,342,1927500
2018-11-27,338,337,380,374,20615000
2018-11-28,375,367,390,385,13965000
2018-11-29,387,379,396,389,31456000
2018-11-30,384,379,387,387,3267500
2018-12-03,388,381,389,385,1358500
2018-12-04,383,380,383,380,263000
2018-12-05,375,374,388,384,6876500
2018-12-06,384,378,385,378,386000
2018-12-07,372,371,397,386,13483000
2018-12-10,388,388,414,390,6718000
2018-12-11,394,394,412,406,6864000
2018-12-12,406,400,410,402,8185000
2018-12-13,408,402,412,410,14176000
2018-12-14,410,406,434,428,10043500
2018-12-17,428,410,430,414,1232000
2018-12-18,414,397,414,402,1407500
2018-12-19,402,402,428,414,20471500
2018-12-20,418,398,426,402,1406000
2018-12-21,402,395,402,396,1228500
2018-12-24,396,396,396,396,0
2018-12-25,396,396,396,396,0
2018-12-26,390,386,390,387,137000
2018-12-27,385,385,399,395,3343000
