timestamp,open,low,high,close,volume
2022-05-27,135,99,135,135,573529400
2022-05-30,151,151,182,182,393081900
2022-05-31,208,200,244,244,352479800
2022-06-01,208,200,244,244,0
2022-06-02,244,244,304,304,229156000
2022-06-03,330,330,380,380,386188200
2022-06-06,450,354,468,354,278763600
2022-06-07,354,330,354,330,3348400
2022-06-08,308,308,308,308,2895700
2022-06-09,288,288,376,376,785962800
2022-06-10,372,352,394,372,605213300
2022-06-13,372,346,372,346,10409100
2022-06-14,322,322,324,322,3918400
2022-06-15,302,300,302,300,14377400
2022-06-16,280,280,280,280,5997200
2022-06-17,262,262,262,262,7933600
2022-06-20,244,244,244,244,3336400
2022-06-21,228,228,228,228,3142200
2022-06-22,214,214,214,214,2506700
2022-06-23,200,200,224,200,178235100
2022-06-24,186,186,186,186,6806400
2022-06-27,173,173,173,173,8256200
2022-06-28,161,161,173,161,104574900
2022-06-29,150,150,167,152,238799000
2022-06-30,152,148,176,158,484084700
2022-07-01,160,154,163,154,82805500
2022-07-04,154,149,181,169,377810400
2022-07-05,170,168,202,200,499230200
2022-07-06,200,197,216,200,338510500
2022-07-07,200,195,218,200,347289600
2022-07-08,202,199,208,202,77490100
2022-07-11,200,200,206,202,34426000
2022-07-12,204,200,236,224,318074900
2022-07-13,224,220,256,248,399303600
2022-07-14,250,244,296,288,644785500
2022-07-15,290,284,308,288,364095600
2022-07-18,290,282,318,306,504341800
2022-07-19,308,300,322,306,299543500
2022-07-20,294,294,334,322,516234100
2022-07-21,322,318,340,324,375614600
2022-07-22,324,316,330,322,115952500
2022-07-25,320,318,332,324,196262900
2022-07-26,326,320,342,328,305379400
2022-07-27,328,326,334,332,112876500
2022-07-28,332,330,340,332,205670300
2022-07-29,332,330,338,332,70033600
2022-08-01,332,310,356,310,329884700
2022-08-02,290,290,338,334,165262700
2022-08-03,334,330,358,356,165533600
2022-08-04,358,354,382,376,210432700
2022-08-05,378,374,386,376,122460600
2022-08-08,378,358,404,358,383124700
2022-08-09,358,334,360,334,30882100
2022-08-10,314,312,314,312,4047400
2022-08-11,292,292,292,292,3190800
2022-08-12,272,272,272,272,5609100
2022-08-15,254,254,254,254,4960000
2022-08-16,238,238,242,238,55069600
2022-08-17,238,238,242,238,0
2022-08-18,222,222,222,222,19085500
2022-08-19,208,208,226,224,255736200
2022-08-22,230,218,232,224,139231600
2022-08-23,224,218,230,228,128862700
2022-08-24,228,222,232,228,91724200
2022-08-25,226,214,230,222,256850100
2022-08-26,222,208,230,220,281698800
2022-08-29,216,208,218,216,63298100
2022-08-30,220,210,222,218,95092500
2022-08-31,222,208,222,216,57711500
2022-09-01,216,210,218,218,34180700
2022-09-02,224,212,224,216,45645000
2022-09-05,216,208,234,214,468017800
2022-09-06,214,210,218,212,61658200
2022-09-07,212,210,228,214,345397500
2022-09-08,216,208,224,212,231754400
2022-09-09,214,208,214,212,41254500
2022-09-12,212,208,216,210,66475000
2022-09-13,210,208,214,212,42471900
2022-09-14,210,198,212,198,167299900
2022-09-15,197,185,197,185,14049900
2022-09-16,173,173,173,173,3884600
2022-09-19,162,161,173,166,85562500
2022-09-20,168,165,187,173,62835900
2022-09-21,173,165,174,165,27187000
2022-09-22,165,162,171,169,20953700
2022-09-23,170,170,177,174,28859600
2022-09-26,175,171,190,183,105188200
2022-09-27,185,183,193,186,71614300
2022-09-28,186,179,197,197,174044500
2022-09-29,200,184,210,192,254748300
2022-09-30,192,179,192,179,25268300
2022-10-03,179,167,179,171,24849100
2022-10-04,172,171,176,173,18925500
2022-10-05,174,173,182,182,45896100
2022-10-06,184,177,184,179,22603200
2022-10-07,178,176,188,187,58031200
2022-10-10,188,182,191,185,32886400
2022-10-11,185,182,187,187,25979800
2022-10-12,187,185,202,202,157633900
2022-10-13,210,188,210,188,217322300
2022-10-14,185,175,188,175,80437200
2022-10-17,170,163,170,163,12207200
2022-10-18,159,152,165,159,72585900
2022-10-19,161,155,167,160,72614300
2022-10-20,160,155,161,160,32839200
2022-10-21,161,156,172,160,129300100
2022-10-24,161,159,162,161,15981400
2022-10-25,161,159,166,166,36343000
2022-10-26,167,164,172,172,45248000
2022-10-27,172,170,180,180,67891400
2022-10-28,182,175,182,178,24675600
2022-10-31,179,166,184,168,86317300
2022-11-01,168,157,170,162,75321500
2022-11-02,162,151,162,151,32115500
2022-11-03,150,141,151,142,21751200
2022-11-04,144,140,148,142,8560300
2022-11-07,149,146,152,148,0
2022-11-08,149,146,152,148,0
2022-11-09,149,146,152,148,0
2022-11-10,149,146,152,148,13027100
2022-11-11,148,143,148,148,7383800
2022-11-14,148,139,152,150,42866400
2022-11-15,150,140,155,142,61612000
2022-11-16,142,138,143,141,10067100
2022-11-17,140,138,141,140,6423600
2022-11-18,140,139,141,140,4773300
2022-11-21,140,138,141,139,6248200
2022-11-22,141,139,144,141,13683200
2022-11-23,141,137,141,140,4562700
2022-11-24,139,138,140,139,13735900
2022-11-25,139,133,139,135,23235300
2022-11-28,135,126,144,138,60636900
2022-11-29,139,135,139,136,4151400
2022-11-30,136,127,136,128,11977000
2022-12-01,136,127,136,128,0
2022-12-02,112,112,120,112,14370400
2022-12-05,105,105,105,105,3683400
2022-12-06,98,98,109,100,54936600
2022-12-07,98,95,105,100,42271600
2022-12-08,101,96,101,99,13565000
2022-12-09,102,93,102,100,18298400
2022-12-12,101,95,106,100,35350600
2022-12-13,99,96,100,100,9837900
2022-12-14,99,95,99,97,19077100
2022-12-15,101,94,101,96,2833000
2022-12-16,96,91,97,97,7311400
2022-12-19,96,95,97,96,4885500
2022-12-20,96,92,96,92,6075400
2022-12-21,92,90,97,96,30347000
2022-12-22,96,94,102,97,61370200
2022-12-23,98,95,101,100,48544800
2022-12-26,99,94,104,96,54530000
2022-12-27,96,92,97,93,23687800
2022-12-28,95,91,95,94,6169800
2022-12-29,94,91,94,91,4628300
2022-12-30,91,89,92,89,6937300
2023-01-02,90,83,90,83,9366900
2023-01-03,81,78,82,78,20353600
2023-01-04,79,73,85,73,50560300
2023-01-05,72,69,75,69,18502300
2023-01-06,70,68,71,71,8160500
