timestamp,open,low,high,close,volume
2014-03-13,117,117,120,120,52000
2014-03-14,150,150,150,150,6514500
2014-03-17,186,186,187,187,525500
2014-03-18,200,200,233,233,320000
2014-03-19,290,290,291,291,1072000
2014-03-20,291,291,291,291,0
2014-03-21,291,291,291,291,0
2014-03-24,291,291,291,291,0
2014-03-25,291,291,291,291,0
2014-03-26,291,291,291,291,0
2014-03-27,291,291,291,291,0
2014-03-28,291,291,291,291,0
2014-03-31,291,291,291,291,0
2014-04-01,291,291,291,291,0
2014-04-02,291,291,291,291,0
2014-04-03,291,291,291,291,0
2014-04-04,291,291,291,291,0
2014-04-07,291,291,291,291,0
2014-04-08,291,291,291,291,0
2014-04-09,291,291,291,291,0
2014-04-10,291,291,291,291,0
2014-04-11,291,291,291,291,0
2014-04-14,291,291,291,291,0
2014-04-15,291,291,291,291,0
2014-04-16,291,291,291,291,0
2014-04-17,291,291,291,291,0
2014-04-18,291,291,291,291,0
2014-04-21,291,291,291,291,0
2014-04-22,291,291,291,291,0
2014-04-23,291,291,291,291,0
2014-04-24,291,291,291,291,0
2014-04-25,291,291,291,291,0
2014-04-28,291,291,291,291,0
2014-04-29,291,291,291,291,0
2014-04-30,291,291,291,291,0
2014-05-01,291,291,291,291,0
2014-05-02,291,291,291,291,0
2014-05-05,291,291,291,291,0
2014-05-06,291,291,291,291,0
2014-05-07,291,291,291,291,0
2014-05-08,291,291,291,291,0
2014-05-09,291,291,291,291,0
2014-05-12,291,291,291,291,0
2014-05-13,291,291,363,363,1096000
2014-05-14,420,400,453,449,2310500
2014-05-15,420,400,453,449,0
2014-05-16,447,447,561,462,1915000
2014-05-19,402,402,462,402,289000
2014-05-20,400,400,430,400,486000
2014-05-21,385,380,400,385,57500
2014-05-22,390,389,398,390,59000
2014-05-23,404,390,440,404,572500
2014-05-26,460,404,481,460,935000
2014-05-27,460,404,481,460,0
2014-05-28,550,460,550,550,1413500
2014-05-29,550,460,550,550,0
2014-05-30,578,557,600,578,1284000
2014-06-02,542,540,603,542,1499500
2014-06-03,544,540,566,544,1507500
2014-06-04,533,533,555,533,1155500
2014-06-05,555,520,555,539,2924000
2014-06-06,531,530,546,531,2091000
2014-06-09,498,498,540,498,1352500
2014-06-10,529,498,557,529,587500
2014-06-11,502,500,540,502,440000
2014-06-12,484,460,514,484,960500
2014-06-13,491,484,505,491,290000
2014-06-16,500,500,505,500,290500
2014-06-17,501,500,520,501,146500
2014-06-18,500,500,509,500,39000
2014-06-19,500,480,502,500,254500
2014-06-20,481,480,496,481,43000
2014-06-23,481,481,481,481,26500
