timestamp,open,low,high,close,volume
2022-03-21,228,200,228,228,86838500
2022-03-22,268,256,284,284,233346600
2022-03-23,324,266,324,266,130312400
2022-03-24,250,248,258,248,13404900
2022-03-25,240,232,250,234,72432300
2022-03-28,224,222,238,228,21721400
2022-03-29,228,214,232,214,21561200
2022-03-30,200,200,216,202,27333600
2022-03-31,204,190,208,198,26740900
2022-04-01,199,189,206,206,31987300
2022-04-04,206,197,208,197,10561900
2022-04-05,197,192,206,200,16313200
2022-04-06,200,196,202,196,22723100
2022-04-07,196,183,199,184,31942800
2022-04-08,183,175,185,176,24786700
2022-04-11,176,175,182,177,25871500
2022-04-12,178,176,182,180,23114900
2022-04-13,181,175,184,181,14499300
2022-04-14,181,181,195,190,18134400
2022-04-15,181,181,195,190,0
2022-04-18,191,177,194,178,8886300
2022-04-19,178,166,178,166,12347600
2022-04-20,167,155,175,172,27510600
2022-04-21,172,168,191,176,42672400
2022-04-22,176,176,199,199,35010900
2022-04-25,198,186,212,195,34531000
2022-04-26,195,185,197,195,33904000
2022-04-27,199,193,210,202,24205900
2022-04-28,204,196,204,198,7382900
2022-04-29,204,196,204,198,0
2022-05-02,204,196,204,198,0
2022-05-03,204,196,204,198,0
2022-05-04,204,196,204,198,0
2022-05-05,204,196,204,198,0
2022-05-06,204,196,204,198,0
2022-05-09,198,185,199,188,8900500
2022-05-10,188,179,195,194,5797600
2022-05-11,195,188,202,194,10888100
2022-05-12,196,189,197,192,10500000
2022-05-13,192,192,204,200,7729800
2022-05-16,192,192,204,200,0
2022-05-17,202,197,208,208,6259800
2022-05-18,208,202,224,210,12944500
2022-05-19,210,200,224,218,10743700
2022-05-20,218,214,228,218,9134000
2022-05-23,218,218,224,220,5112500
2022-05-24,220,212,222,220,5984000
2022-05-25,224,216,242,222,14585800
2022-05-26,224,216,242,222,0
2022-05-27,222,222,228,224,7126100
2022-05-30,226,220,232,220,6349600
2022-05-31,220,220,232,224,6974100
2022-06-01,220,220,232,224,0
2022-06-02,228,222,228,228,2242300
2022-06-03,228,224,234,232,5433900
2022-06-06,232,230,236,232,6048800
2022-06-07,232,218,234,234,5018800
2022-06-08,234,222,234,228,8578400
2022-06-09,228,222,230,226,2643900
2022-06-10,226,220,228,222,3156000
2022-06-13,222,208,224,224,3324000
2022-06-14,222,216,226,216,1239300
2022-06-15,216,202,222,210,3402500
2022-06-16,210,202,214,206,3242500
2022-06-17,208,199,210,202,3877900
2022-06-20,202,195,240,210,16698400
2022-06-21,220,212,252,234,20680300
2022-06-22,236,218,242,240,30851600
2022-06-23,240,228,250,236,2421100
2022-06-24,236,224,244,234,7900800
2022-06-27,234,230,238,230,5954300
2022-06-28,230,222,240,238,12286900
2022-06-29,238,232,250,236,4728500
2022-06-30,236,232,238,234,4676800
2022-07-01,238,226,240,226,4939500
2022-07-04,226,218,230,220,4349100
2022-07-05,220,218,232,226,1170800
2022-07-06,228,218,238,226,1223600
2022-07-07,228,226,258,256,9935300
2022-07-08,256,240,258,242,5674400
2022-07-11,246,234,254,240,1825800
2022-07-12,238,230,252,238,5963700
2022-07-13,238,234,242,238,791400
2022-07-14,238,234,242,238,2959500
2022-07-15,238,234,244,242,1749000
2022-07-18,242,240,244,242,747400
2022-07-19,242,232,244,232,1930800
2022-07-20,232,232,238,234,691900
2022-07-21,234,220,240,232,1746700
2022-07-22,232,224,234,226,1739000
2022-07-25,226,222,230,222,2026900
2022-07-26,222,222,230,228,1354100
2022-07-27,228,222,232,224,1464900
2022-07-28,228,222,230,224,2095300
2022-07-29,224,224,236,226,1348200
2022-08-01,226,218,228,220,1279600
2022-08-02,220,206,222,206,3275200
2022-08-03,206,199,206,204,1638300
2022-08-04,204,202,208,204,1390700
2022-08-05,204,200,212,206,1785500
2022-08-08,208,204,210,210,1610200
2022-08-09,210,202,210,206,1040300
2022-08-10,204,200,216,202,1263300
2022-08-11,206,200,206,204,2558500
2022-08-12,204,200,206,204,2464800
2022-08-15,204,198,204,202,2032600
2022-08-16,200,199,206,204,1570100
2022-08-17,200,199,206,204,0
2022-08-18,204,200,206,204,714700
2022-08-19,204,202,216,212,2864200
2022-08-22,210,208,216,210,1694600
2022-08-23,210,208,224,216,2926800
2022-08-24,216,216,240,240,7148300
2022-08-25,242,234,272,250,11740200
2022-08-26,250,250,258,254,4875900
2022-08-29,254,238,254,238,4531100
2022-08-30,236,222,236,222,2619000
2022-08-31,228,222,240,224,2110000
2022-09-01,222,216,230,226,2387100
2022-09-02,226,222,228,226,2691400
2022-09-05,224,222,246,242,10137500
2022-09-06,246,238,250,244,3237200
2022-09-07,244,238,248,240,1894400
2022-09-08,240,236,256,240,6601400
2022-09-09,236,224,244,242,10853000
2022-09-12,244,236,244,236,1494800
2022-09-13,238,232,240,238,1615000
2022-09-14,240,232,256,238,9007500
2022-09-15,238,230,242,230,4768400
2022-09-16,234,234,254,238,4141100
2022-09-19,238,238,246,242,5358200
2022-09-20,244,236,246,240,5257900
2022-09-21,240,240,252,246,7722300
2022-09-22,246,242,264,264,14996400
2022-09-23,264,262,288,264,13614800
2022-09-26,262,262,302,298,37764500
2022-09-27,308,278,310,278,12577900
2022-09-28,274,260,274,260,10443000
2022-09-29,256,242,266,242,10337000
2022-09-30,236,226,256,240,22667300
2022-10-03,240,228,244,228,7334600
2022-10-04,228,226,238,228,4694000
2022-10-05,230,228,236,230,3823700
2022-10-06,232,228,244,234,5952600
2022-10-07,234,232,238,234,2275000
2022-10-10,234,226,234,228,3400300
2022-10-11,228,226,230,226,2457700
2022-10-12,228,212,230,224,3531500
2022-10-13,224,222,236,232,4470500
2022-10-14,234,216,238,224,5618600
2022-10-17,224,218,226,224,2935400
2022-10-18,224,220,228,228,2034700
2022-10-19,228,224,232,226,1981400
2022-10-20,228,226,232,232,1294300
2022-10-21,232,228,234,230,3237700
2022-10-24,230,228,234,232,2947700
2022-10-25,236,226,236,230,2090000
2022-10-26,228,226,234,230,1328700
2022-10-27,230,226,232,228,1205900
2022-10-28,228,228,234,232,2444500
2022-10-31,234,232,234,234,1524200
2022-11-01,234,234,238,238,3098500
2022-11-02,238,238,242,238,1929200
2022-11-03,240,234,240,236,1256300
2022-11-04,236,230,236,236,760100
2022-11-07,236,226,242,230,0
2022-11-08,236,226,242,230,0
2022-11-09,236,226,242,230,0
2022-11-10,236,226,242,230,1731400
2022-11-11,230,228,234,232,869600
2022-11-14,232,228,232,232,1244100
2022-11-15,234,226,236,232,1906000
2022-11-16,232,228,232,230,1087400
2022-11-17,230,228,232,230,999600
2022-11-18,230,226,230,230,1009800
2022-11-21,230,228,232,230,1314900
2022-11-22,230,228,232,232,1402700
2022-11-23,232,230,232,232,981900
2022-11-24,232,226,232,230,1442600
2022-11-25,230,226,230,230,704000
2022-11-28,228,224,228,226,521900
2022-11-29,226,220,226,222,753100
2022-11-30,222,220,228,224,1161800
2022-12-01,222,220,228,224,0
2022-12-02,228,226,230,228,608700
2022-12-05,228,226,232,228,1198900
2022-12-06,228,220,230,226,740300
2022-12-07,226,220,226,220,969700
2022-12-08,220,206,222,210,1267400
2022-12-09,210,200,216,206,654500
2022-12-12,206,199,208,206,738600
2022-12-13,206,202,208,208,1106200
2022-12-14,208,200,208,204,767100
2022-12-15,202,200,206,204,1121900
2022-12-16,202,198,208,204,1336000
2022-12-19,204,199,206,206,1000000
2022-12-20,204,198,204,204,692700
2022-12-21,204,195,204,202,570400
2022-12-22,200,196,202,202,659800
2022-12-23,192,192,202,198,594100
2022-12-26,197,192,202,197,566500
2022-12-27,197,192,199,197,545800
2022-12-28,197,193,199,196,350000
2022-12-29,196,196,200,200,537700
2022-12-30,200,193,202,200,782900
2023-01-02,200,193,200,196,1077000
2023-01-03,196,190,197,195,603100
2023-01-04,195,193,196,195,370500
2023-01-05,195,191,195,193,838500
2023-01-06,193,192,195,193,459000
