timestamp,open,low,high,close,volume
2014-11-05,7450,6900,8175,7450,21777100
2014-11-06,7625,7500,7675,7625,6653200
2014-11-07,7525,7525,7675,7525,2698500
2014-11-10,7250,7175,7575,7250,2018400
2014-11-11,7500,7250,7550,7500,797300
2014-11-12,7525,7500,7575,7525,720400
2014-11-13,7600,7375,7600,7600,1357600
2014-11-14,7475,7400,7500,7475,1069300
2014-11-17,7475,7150,7600,7600,2611200
2014-11-18,7550,7400,7800,7550,380600
2014-11-19,7500,7500,7550,7500,375500
2014-11-20,7425,7400,7500,7425,73800
2014-11-21,7600,7350,7600,7600,272400
2014-11-24,7500,7400,7500,7500,247500
2014-11-25,7375,7350,7500,7375,70400
2014-11-26,7450,7400,7500,7450,388400
2014-11-27,7475,7450,7475,7475,355900
2014-11-28,7500,7375,7500,7500,184100
2014-12-01,7450,7375,7450,7400,36000
2014-12-02,7375,7300,7375,7300,71800
2014-12-03,7300,7250,7975,7700,651600
2014-12-04,7700,7450,7725,7550,111700
2014-12-05,7550,7525,7550,7550,71900
2014-12-08,7550,7425,7775,7725,1047700
2014-12-09,7700,7575,7800,7775,834200
2014-12-10,7800,7800,8600,8300,2314700
2014-12-11,8300,8250,8575,8475,1530500
2014-12-12,8450,8425,8625,8550,1267700
2014-12-15,8550,8450,8575,8550,593300
2014-12-16,8525,8000,8725,8700,467700
2014-12-17,8550,8550,8700,8700,668100
2014-12-18,8700,8675,8800,8775,1052400
2014-12-19,8775,8700,9100,8925,709300
2014-12-22,9000,9000,9550,9350,1587700
2014-12-23,9350,9350,9725,9475,548500
2014-12-24,9500,9350,9550,9475,354100
2014-12-25,9500,9350,9550,9475,0
2014-12-26,9500,9350,9550,9475,0
2014-12-29,9475,9375,9475,9450,34200
2014-12-30,9500,9400,9500,9425,144100
2014-12-31,9500,9400,9500,9425,0
2015-01-01,9500,9400,9500,9425,0
2015-01-02,8925,8925,9500,9450,494000
2015-01-05,9500,9425,9975,9650,1660000
2015-01-06,9650,9575,9700,9675,855300
2015-01-07,9675,9650,9725,9725,435100
2015-01-08,9800,9775,10250,10000,2390400
2015-01-09,10000,9925,10050,10000,184300
2015-01-12,10000,9900,10525,10475,2372900
2015-01-13,10500,10400,10825,10700,820100
2015-01-14,10800,10800,11500,11100,698600
2015-01-15,11575,10950,12500,11575,1489000
2015-01-16,11625,11625,12300,12100,3041400
2015-01-19,12200,11350,12250,11525,3320200
2015-01-20,11600,10100,11600,11475,1489500
2015-01-21,11500,11000,11500,11025,152200
2015-01-22,11025,11025,11450,11075,236700
2015-01-23,11200,11200,11575,11400,401400
2015-01-26,11550,10650,11550,11000,775900
2015-01-27,11000,10900,11100,11000,625900
2015-01-28,11000,10975,11075,11000,106700
