timestamp,open,low,high,close,volume
2001-04-16,2088,2088,2506,2088,6893
2001-04-17,2506,2088,2506,2088,28586
2001-04-18,2088,2088,2506,2506,670
2001-04-19,2506,2088,2506,2088,49363
2001-04-20,2088,2088,2088,2088,15947
2001-04-23,2088,2088,2506,2506,1412
2001-04-24,2088,2088,2088,2088,299
2001-04-25,2506,2506,2924,2506,138676
2001-04-26,2506,2506,2924,2506,138676
2001-04-27,2506,2506,2506,2506,1136
2001-04-30,2506,2506,2924,2924,29561
2001-05-01,2924,2506,2924,2506,26437
2001-05-02,2506,2506,2924,2506,33211
2001-05-03,2506,2506,2506,2506,14756
2001-05-04,2506,2506,2924,2924,17533
2001-05-07,2924,2924,2924,2924,0
2001-05-08,2924,2506,2924,2506,11369
2001-05-09,2506,2506,2506,2506,694
2001-05-10,2506,2506,2506,2506,6612
2001-05-11,2506,2506,2506,2506,8437
2001-05-14,2506,2506,2924,2506,1322
2001-05-15,2506,2506,2924,2506,27790
2001-05-16,2506,2506,2506,2506,21620
2001-05-17,2506,2506,2506,2506,3961
2001-05-18,2506,2506,2506,2506,3410
2001-05-21,2506,2506,2506,2506,239
2001-05-22,2506,2088,2506,2506,969
2001-05-23,2088,2088,2506,2506,1047
2001-05-24,2506,2506,2506,2506,0
2001-05-25,2506,2506,2506,2506,4458
2001-05-28,2506,2506,2506,2506,2513
2001-05-29,2506,2506,2506,2506,24086
2001-05-30,2506,2506,2506,2506,5684
2001-05-31,2506,2506,2506,2506,34127
2001-06-01,2506,2506,2506,2506,2932
2001-06-04,2506,2506,2506,2506,0
2001-06-05,2506,2088,2506,2088,359
2001-06-06,2506,2088,2506,2088,6432
2001-06-07,2088,2088,2506,2506,3674
2001-06-08,2506,2088,2506,2088,652
2001-06-11,2506,2506,2506,2506,119
2001-06-12,2088,2088,2506,2506,1555
2001-06-13,2506,2088,2506,2088,27455
2001-06-14,2506,2088,2506,2088,77
2001-06-15,2506,2506,3342,3342,113093
2001-06-18,3342,2924,3759,3759,67040
2001-06-19,3342,3342,4177,3759,233105
2001-06-20,4177,3759,4177,4177,89564
2001-06-21,3759,3759,3759,3759,37029
2001-06-22,3759,3342,3759,3342,1867
2001-06-25,3342,3342,4177,4177,50254
2001-06-26,4177,3759,4177,3759,16342
2001-06-27,3759,3759,4177,4177,43061
2001-06-28,4177,3759,4595,3759,501236
2001-06-29,3759,3759,3759,3759,64951
2001-07-02,3759,3342,3759,3342,51583
2001-07-03,3759,3759,4177,4177,149028
2001-07-04,3759,3342,3759,3759,209103
2001-07-05,3759,3759,4177,3759,6564
2001-07-06,3759,3759,4595,4177,329192
2001-07-09,4177,4177,4595,4177,14511
2001-07-10,4177,3759,4177,3759,224237
2001-07-11,4177,4177,4595,4177,29956
2001-07-12,4177,4177,5013,4595,292827
2001-07-13,5013,5013,5013,5013,248514
2001-07-16,5013,4595,5013,4595,170679
