timestamp,open,low,high,close,volume
2008-06-06,649,501,696,519,248573886
2008-06-09,464,445,491,464,14409690
2008-06-10,464,408,464,417,4440877
2008-06-11,408,389,436,408,7071791
2008-06-12,389,389,417,417,1478676
2008-06-13,417,399,417,399,806942
2008-06-16,417,403,417,417,1853597
2008-06-17,408,394,413,408,2504323
2008-06-18,399,399,417,399,548376
2008-06-19,399,394,399,399,766541
2008-06-20,394,394,394,394,342600
2008-06-23,394,385,399,394,1764715
2008-06-24,389,385,394,389,1916084
2008-06-25,385,375,385,385,1119915
2008-06-26,399,380,399,399,5010262
2008-06-27,389,380,413,413,1053119
2008-06-30,389,389,403,389,452491
2008-07-01,389,389,394,389,210623
2008-07-02,385,385,394,385,436330
2008-07-03,380,343,380,357,1146311
2008-07-04,361,361,375,361,695435
2008-07-07,352,352,361,352,100194
2008-07-08,348,348,352,348,172916
2008-07-09,334,324,343,334,360915
2008-07-10,338,324,343,338,1417805
2008-07-11,357,338,357,338,1033188
2008-07-14,348,324,348,348,30166
2008-07-15,334,320,334,334,597396
2008-07-16,324,324,329,324,583929
2008-07-17,315,306,324,315,857039
2008-07-18,315,287,324,315,580697
2008-07-21,315,315,315,315,272033
2008-07-22,324,324,371,371,6552503
2008-07-23,394,371,399,394,4387548
2008-07-24,375,371,394,375,390004
2008-07-25,375,366,375,375,125512
2008-07-28,371,357,371,371,15621
2008-07-29,371,352,371,371,995480
2008-07-30,371,352,371,371,0
2008-07-31,357,357,413,413,428789
2008-08-01,413,366,413,380,467035
2008-08-04,371,352,371,371,621636
2008-08-05,371,357,371,371,939996
2008-08-06,371,357,371,371,975549
2008-08-07,348,348,361,348,981474
2008-08-08,366,361,366,366,565614
2008-08-11,357,348,366,357,1682297
2008-08-12,361,348,361,361,566152
2008-08-13,357,348,361,357,595241
2008-08-14,352,352,352,352,32859
2008-08-15,343,343,357,343,22085
2008-08-18,343,343,357,343,0
2008-08-19,334,334,338,334,107736
2008-08-20,343,324,343,343,157833
2008-08-21,357,343,357,357,44710
2008-08-22,324,315,343,343,528983
2008-08-25,324,324,352,352,24240
2008-08-26,329,324,329,329,19392
2008-08-27,334,320,334,334,11312
2008-08-28,334,324,348,334,458416
2008-08-29,338,334,357,357,2759118
2008-09-01,338,324,338,338,283345
2008-09-02,320,310,324,320,287655
2008-09-03,315,306,320,315,169684
2008-09-04,297,292,306,297,307047
2008-09-05,297,269,297,297,161604
2008-09-08,315,306,315,315,9157
2008-09-09,278,269,278,278,181535
2008-09-10,278,250,278,278,54945
2008-09-11,245,232,255,245,588777
2008-09-12,232,213,232,213,408319
2008-09-15,204,176,241,176,3258475
2008-09-16,153,153,213,213,1633277
2008-09-17,222,185,222,222,135747
2008-09-18,185,171,222,199,58177
2008-09-19,250,204,250,250,191231
2008-09-22,259,213,259,222,45249
2008-09-23,199,199,245,245,22085
2008-09-24,199,199,250,250,40401
2008-09-25,236,232,259,259,1271284
2008-09-26,236,232,241,236,30704
2008-09-29,236,232,241,236,0
2008-09-30,236,232,241,236,0
2008-10-01,236,232,241,236,0
2008-10-02,236,232,241,236,0
2008-10-03,236,232,241,236,0
2008-10-06,213,190,213,190,32320
2008-10-07,194,194,232,232,71105
2008-10-08,199,162,199,162,37707
2008-10-09,162,162,162,162,0
2008-10-10,162,162,162,162,0
2008-10-13,154,154,162,154,52790
2008-10-14,157,157,168,168,1048809
2008-10-15,167,167,171,167,89420
2008-10-16,150,150,157,150,1330539
2008-10-17,150,150,150,150,2
2008-10-20,139,135,139,139,60332
2008-10-21,139,139,139,139,107736
2008-10-22,125,125,139,125,118509
2008-10-23,125,116,125,125,346371
2008-10-24,113,113,114,113,147059
2008-10-27,102,102,102,102,272033
2008-10-28,91,91,91,91,1077
2008-10-29,83,83,83,83,538
2008-10-30,91,91,91,91,8618
2008-10-31,102,85,109,109,59254
2008-11-03,116,116,129,129,3232
2008-11-04,139,125,139,129,596318
2008-11-05,129,129,130,129,432021
2008-11-06,139,139,139,139,538
2008-11-07,139,129,139,129,172916
2008-11-10,129,129,129,129,0
2008-11-11,120,120,120,120,391081
2008-11-12,109,109,109,109,269340
2008-11-13,99,99,102,99,589315
2008-11-14,97,97,98,97,5925
2008-11-17,98,92,98,92,258566
2008-11-18,84,83,111,111,2154
2008-11-19,125,100,125,100,335597
2008-11-20,90,90,91,90,5925
2008-11-21,83,83,83,83,538
2008-11-24,78,78,78,78,16699
2008-11-25,92,83,92,92,10234
2008-11-26,83,83,100,88,2132095
2008-11-27,105,83,105,83,356067
2008-11-28,97,88,97,97,551069
2008-12-01,97,97,97,97,177764
2008-12-02,92,90,92,92,1077
2008-12-03,83,83,83,83,53868
2008-12-04,92,92,92,92,1077
2008-12-05,83,83,92,92,112584
2008-12-08,83,83,92,92,0
2008-12-09,92,92,92,92,2
2008-12-10,88,88,92,88,108813
2008-12-11,88,87,93,88,558072
2008-12-12,102,83,102,83,3770
2008-12-15,97,84,97,88,45787
2008-12-16,88,88,88,88,20469
2008-12-17,79,79,84,84,10773
2008-12-18,84,84,84,84,2
2008-12-19,87,83,95,87,693281
2008-12-22,88,83,102,88,70028
2008-12-23,86,86,86,86,538
2008-12-24,86,83,86,86,1077
2008-12-25,86,83,86,86,0
2008-12-26,86,83,86,86,0
2008-12-29,86,83,86,86,0
2008-12-30,83,83,88,88,32320
2008-12-31,88,88,88,88,0
2009-01-01,88,88,88,88,0
2009-01-02,88,88,88,88,0
2009-01-05,86,86,88,86,11850
2009-01-06,103,84,103,84,211701
2009-01-07,87,78,87,78,184228
2009-01-08,78,78,78,78,2
