timestamp,open,low,high,close,volume
2012-11-08,1940,1850,1960,1940,11438000
2012-11-09,1930,1930,1960,1930,462000
2012-11-12,1940,1830,1940,1940,159500
2012-11-13,1940,1920,1940,1940,295000
2012-11-14,1930,1930,1930,1930,241000
2012-11-15,1930,1930,1930,1930,0
2012-11-16,1930,1930,1930,1930,0
2012-11-19,1930,1900,1940,1930,211500
2012-11-20,1930,1900,1930,1930,35500
2012-11-21,1920,1900,1920,1920,141500
2012-11-22,1900,1900,1920,1900,7500
2012-11-23,1920,1910,1920,1920,15500
2012-11-26,1920,1900,1920,1920,60500
2012-11-27,1910,1910,1920,1910,20000
2012-11-28,1890,1890,1890,1890,2000
2012-11-29,1900,1890,1910,1900,191000
2012-11-30,1910,1900,1910,1910,32500
2012-12-03,1920,1900,1920,1920,32500
2012-12-04,1930,1900,1930,1930,7500
2012-12-05,1920,1920,1920,1920,7500
2012-12-06,1920,1920,1920,1920,25000
2012-12-07,1920,1900,1920,1920,25000
2012-12-10,1920,1920,1920,1920,0
2012-12-11,1920,1920,1920,1920,5000
2012-12-12,1910,1910,1910,1910,35000
2012-12-13,1920,1910,1920,1920,45500
2012-12-14,1900,1900,1910,1900,32500
2012-12-17,1920,1900,1920,1920,111500
2012-12-18,1920,1910,1920,1920,378000
2012-12-19,1930,1910,1930,1930,367500
2012-12-20,1930,1930,1930,1930,367500
2012-12-21,1950,1920,1950,1950,172500
2012-12-24,1950,1920,1950,1950,0
2012-12-25,1950,1920,1950,1950,0
2012-12-26,1950,1950,1950,1950,0
2012-12-27,1960,1960,1960,1960,2500
2012-12-28,1980,1950,1980,1980,102000
2012-12-31,1980,1950,1980,1980,0
2013-01-01,1980,1950,1980,1980,0
2013-01-02,1980,1980,1980,1980,2500
2013-01-03,1980,1980,1980,1980,2500
2013-01-04,1980,1980,1980,1980,0
2013-01-07,1980,1980,1980,1980,2500
2013-01-08,1980,1980,1980,1980,2500
2013-01-09,1980,1980,1980,1980,2500
2013-01-10,1980,1980,1980,1980,2500
2013-01-11,1980,1980,1980,1980,2500
2013-01-14,1980,1980,1980,1980,2500
2013-01-15,1980,1980,1980,1980,2500
2013-01-16,1980,1980,1980,1980,2500
2013-01-17,1980,1980,1980,1980,2500
2013-01-18,1980,1980,1980,1980,2500
2013-01-21,1980,1980,1980,1980,2500
2013-01-22,1980,1980,1980,1980,0
2013-01-23,1980,1980,1980,1980,3000
2013-01-24,1980,1980,1980,1980,0
2013-01-25,1980,1980,1980,1980,3000
2013-01-28,1950,1950,1950,1950,1000
2013-01-29,1950,1950,1950,1950,1000
2013-01-30,1960,1960,1960,1960,2500
2013-01-31,1960,1960,1960,1960,2500
2013-02-01,1960,1960,1960,1960,2500
2013-02-04,1950,1950,1950,1950,1000
2013-02-05,1950,1950,1950,1950,0
2013-02-06,1950,1950,1950,1950,1000
2013-02-07,1950,1950,1950,1950,1000
2013-02-08,1960,1960,1960,1960,2500
2013-02-11,1960,1960,1960,1960,2500
2013-02-12,1950,1950,1950,1950,3000
2013-02-13,1950,1950,1950,1950,1000
2013-02-14,1950,1950,1950,1950,1000
2013-02-15,1970,1950,1970,1970,5000
2013-02-18,1970,1970,1970,1970,5000
2013-02-19,1970,1970,1970,1970,5000
2013-02-20,1980,1980,1980,1980,1000
2013-02-21,1980,1980,1980,1980,1000
2013-02-22,1980,1980,1980,1980,0
2013-02-25,1980,1980,1980,1980,1000
2013-02-26,1980,1980,1980,1980,1000
2013-02-27,1980,1980,1980,1980,1000
2013-02-28,1980,1980,1980,1980,1000
2013-03-01,1950,1950,1980,1950,6000
2013-03-04,1950,1950,1950,1950,0
2013-03-05,1980,1980,1980,1980,500
2013-03-06,1980,1980,1980,1980,500
2013-03-07,1980,1980,1980,1980,500
2013-03-08,1980,1980,1980,1980,500
2013-03-11,1980,1980,1980,1980,500
2013-03-12,1980,1980,1980,1980,0
2013-03-13,1980,1980,1980,1980,500
2013-03-14,1980,1980,1980,1980,500
2013-03-15,1980,1980,1980,1980,500
2013-03-18,1950,1950,1950,1950,1000
2013-03-19,1950,1950,1950,1950,1000
2013-03-20,1950,1950,1950,1950,1000
2013-03-21,1950,1950,1950,1950,1000
2013-03-22,1950,1950,1950,1950,1000
2013-03-25,1950,1950,1950,1950,1000
2013-03-26,1950,1950,1950,1950,1000
2013-03-27,1980,1980,1980,1980,1000
2013-03-28,2075,1900,2075,2075,2000
2013-03-29,2075,1900,2075,2075,0
2013-04-01,2075,2075,2075,2075,2000
2013-04-02,1560,1560,2025,1560,3000
2013-04-03,1790,1790,1790,1790,3000
2013-04-04,1410,1410,1900,1410,1000
2013-04-05,1410,1410,1410,1410,1000
2013-04-08,1410,1410,1410,1410,1000
2013-04-09,1410,1410,1410,1410,1000
2013-04-10,1410,1410,1410,1410,1000
2013-04-11,1520,1520,1700,1520,6000
2013-04-12,1600,1600,1610,1600,1500
2013-04-15,1590,1590,1590,1590,500
2013-04-16,1800,1670,1800,1800,3000
2013-04-17,1790,1750,1790,1790,2000
2013-04-18,1890,1790,1890,1890,1000
2013-04-19,1890,1890,1890,1890,500
2013-04-22,1890,1890,1890,1890,500
2013-04-23,1880,1880,1880,1880,1000
2013-04-24,1870,1870,1870,1870,500
2013-04-25,1870,1870,1870,1870,500
2013-04-26,1930,1900,1930,1900,4500
2013-04-29,1900,1900,1900,1900,3500
2013-04-30,1900,1890,1950,1950,19500
2013-05-01,1940,1940,1940,1940,2500
2013-05-02,1940,1940,1940,1940,15000
2013-05-03,1930,1930,1930,1930,3000
2013-05-06,1930,1920,1930,1920,6500
2013-05-07,1940,1940,1940,1940,2500
2013-05-08,1940,1930,1940,1930,8000
2013-05-09,1940,1930,1940,1930,0
2013-05-10,1930,1930,1940,1930,5500
2013-05-13,1930,1930,1930,1930,3500
2013-05-14,1930,1930,1930,1930,4000
2013-05-15,1930,1930,1950,1950,5500
2013-05-16,1950,1950,1950,1950,5500
2013-05-17,1930,1920,1930,1920,10000
2013-05-20,1920,1920,1920,1920,500
2013-05-21,1920,1920,1920,1920,2500
2013-05-22,1930,1920,1950,1950,3500
2013-05-23,1940,1910,1940,1910,11500
2013-05-24,1930,1910,1930,1910,3500
2013-05-27,1910,1910,1910,1910,3500
2013-05-28,1910,1910,1910,1910,3500
2013-05-29,1910,1910,1910,1910,3500
2013-05-30,1930,1910,1930,1910,6000
2013-05-31,1910,1910,1910,1910,6000
2013-06-03,1910,1910,1910,1910,6000
2013-06-04,1910,1910,1910,1910,6000
2013-06-05,1910,1910,1910,1910,6000
2013-06-06,1910,1910,1910,1910,0
2013-06-07,1910,1910,1910,1910,6000
2013-06-10,1910,1910,1910,1910,6000
2013-06-11,1910,1910,1910,1910,6000
2013-06-12,1910,1910,1910,1910,6000
2013-06-13,1910,1910,1910,1910,6000
2013-06-14,1910,1910,1910,1910,6000
2013-06-17,1950,1950,1950,1950,1000
2013-06-18,1950,1950,1950,1950,1000
2013-06-19,1950,1950,1950,1950,1000
2013-06-20,1950,1950,1950,1950,1000
2013-06-21,1950,1950,1950,1950,1000
2013-06-24,1950,1950,1950,1950,1000
2013-06-25,1950,1950,1950,1950,1500
2013-06-26,1980,1980,1980,1980,6000
2013-06-27,1980,1980,1980,1980,6000
2013-06-28,2000,2000,2000,2000,1500
2013-07-01,2000,2000,2000,2000,1500
2013-07-02,2000,2000,2000,2000,1500
2013-07-03,2000,2000,2000,2000,1500
2013-07-04,2000,2000,2000,2000,1500
2013-07-05,2000,2000,2000,2000,1500
2013-07-08,2000,2000,2000,2000,1500
2013-07-09,2000,2000,2000,2000,1500
2013-07-10,2000,2000,2000,2000,1500
2013-07-11,2000,2000,2000,2000,1500
2013-07-12,2000,2000,2000,2000,1500
2013-07-15,1980,1980,1980,1980,2000
2013-07-16,1980,1980,1980,1980,2000
2013-07-17,1980,1980,1980,1980,2000
2013-07-18,1980,1980,1980,1980,2000
2013-07-19,1980,1980,1980,1980,2000
2013-07-22,1980,1980,1980,1980,2000
2013-07-23,1980,1980,1980,1980,2000
2013-07-24,1980,1980,1980,1980,2000
2013-07-25,1980,1980,1980,1980,2000
2013-07-26,1980,1980,1980,1980,2000
2013-07-29,1980,1980,1980,1980,2000
2013-07-30,1980,1980,1980,1980,2000
2013-07-31,1950,1950,1950,1950,1000
2013-08-01,1950,1950,1950,1950,1000
2013-08-02,1950,1950,1950,1950,1000
2013-08-05,1950,1950,1950,1950,0
2013-08-06,1950,1950,1950,1950,0
2013-08-07,1950,1950,1950,1950,0
2013-08-08,1950,1950,1950,1950,0
2013-08-09,1950,1950,1950,1950,0
2013-08-12,1950,1950,1950,1950,1000
2013-08-13,1950,1950,1950,1950,1000
2013-08-14,1950,1950,1950,1950,1000
2013-08-15,1950,1950,1950,1950,1000
2013-08-16,1950,1950,1950,1950,1000
2013-08-19,1950,1950,1950,1950,1000
2013-08-20,1950,1950,1950,1950,1000
2013-08-21,1950,1950,1950,1950,1000
2013-08-22,1950,1950,1950,1950,1000
2013-08-23,1950,1950,1950,1950,1000
2013-08-26,1950,1950,1950,1950,1000
2013-08-27,1950,1950,1950,1950,1000
2013-08-28,1950,1950,1950,1950,1000
2013-08-29,1950,1950,1950,1950,1000
2013-08-30,1950,1950,1950,1950,1000
2013-09-02,1950,1950,1950,1950,1000
2013-09-03,1950,1950,1950,1950,1000
2013-09-04,1950,1950,1950,1950,1000
2013-09-05,1950,1950,1950,1950,0
2013-09-06,1950,1950,1950,1950,1000
2013-09-09,1950,1950,1950,1950,1000
2013-09-10,1950,1950,1950,1950,1000
2013-09-11,1950,1950,1950,1950,1000
2013-09-12,1940,1940,1940,1940,1000
2013-09-13,1940,1940,1940,1940,1000
2013-09-16,1940,1940,1940,1940,1000
2013-09-17,1940,1940,1940,1940,1000
2013-09-18,1940,1940,1940,1940,1000
2013-09-19,1920,1920,1920,1920,1000
2013-09-20,1920,1920,1920,1920,1000
2013-09-23,1920,1920,1920,1920,1000
2013-09-24,1920,1920,1920,1920,1000
2013-09-25,1910,1910,1910,1910,1000
2013-09-26,1920,1920,1920,1920,1000
2013-09-27,1920,1920,1920,1920,1000
2013-09-30,1910,1910,1910,1910,1500
2013-10-01,1900,1880,1900,1880,3500
2013-10-02,1910,1890,1910,1890,2000
2013-10-03,1890,1890,1890,1890,2000
2013-10-04,1890,1890,1890,1890,2000
2013-10-07,1890,1890,1890,1890,2000
2013-10-08,1890,1890,1890,1890,2000
2013-10-09,1890,1890,1890,1890,2000
2013-10-10,1890,1890,1890,1890,2000
2013-10-11,1890,1890,1890,1890,2000
2013-10-14,1890,1890,1890,1890,0
2013-10-15,1890,1890,1890,1890,0
2013-10-16,1890,1890,1890,1890,2000
2013-10-17,1880,1860,1880,1860,2000
2013-10-18,1910,1880,1910,1880,4000
2013-10-21,1880,1880,1880,1880,4000
2013-10-22,1880,1880,1880,1880,4000
2013-10-23,1880,1880,1880,1880,4000
2013-10-24,1880,1880,1880,1880,1000
2013-10-25,1880,1880,1880,1880,1000
2013-10-28,1880,1880,1880,1880,1000
2013-10-29,1880,1880,1880,1880,1000
2013-10-30,1880,1880,1880,1880,1000
2013-10-31,1880,1880,1880,1880,1000
2013-11-01,1880,1880,1880,1880,1000
2013-11-04,1880,1880,1880,1880,1000
2013-11-05,1880,1880,1880,1880,0
2013-11-06,1880,1880,1880,1880,1000
2013-11-07,1880,1880,1880,1880,1000
2013-11-08,1880,1880,1880,1880,1000
2013-11-11,1880,1880,1880,1880,1000
2013-11-12,1880,1860,1880,1860,2000
2013-11-13,1860,1860,1860,1860,2000
2013-11-14,1860,1860,1860,1860,2000
2013-11-15,1860,1860,1860,1860,2000
2013-11-18,1860,1860,1860,1860,2000
2013-11-19,1860,1860,1860,1860,2000
2013-11-20,1860,1860,1860,1860,2000
2013-11-21,1860,1860,1860,1860,2000
2013-11-22,1860,1860,1860,1860,2000
2013-11-25,1860,1860,1860,1860,2000
2013-11-26,1860,1860,1860,1860,2000
2013-11-27,1860,1860,1860,1860,2000
2013-11-28,1860,1860,1860,1860,2000
2013-11-29,1860,1860,1860,1860,2000
2013-12-02,1860,1860,1860,1860,2000
2013-12-03,1860,1860,1860,1860,2000
2013-12-04,1860,1860,1860,1860,2000
2013-12-05,1860,1860,1860,1860,2000
2013-12-06,1860,1860,1860,1860,2000
2013-12-09,1860,1860,1860,1860,2000
2013-12-10,1880,1880,1880,1880,3000
2013-12-11,1880,1880,1880,1880,2500
2013-12-12,1880,1880,1880,1880,2500
2013-12-13,1880,1880,1880,1880,2500
2013-12-16,1880,1880,1880,1880,2500
2013-12-17,1880,1880,1880,1880,2500
2013-12-18,1880,1880,1880,1880,3500
2013-12-19,1880,1880,1900,1900,4000
2013-12-20,1900,1900,1920,1920,4500
2013-12-23,1920,1920,1920,1920,3000
2013-12-24,1930,1930,1930,1930,3000
2013-12-25,1930,1930,1930,1930,0
2013-12-26,1930,1930,1930,1930,0
2013-12-27,1940,1940,1940,1940,2500
