timestamp,open,low,high,close,volume
2018-05-08,1250,1200,1460,1460,74480800
2018-05-09,1500,1460,1540,1470,22920200
2018-05-10,1500,1460,1540,1470,0
2018-05-11,1470,1470,1515,1510,43286000
2018-05-14,1510,1495,1515,1505,16091400
2018-05-15,1505,1505,1505,1505,0
2018-05-16,1505,1505,1505,1505,0
2018-05-17,1515,1515,1585,1580,69931400
2018-05-18,1580,1580,1590,1580,15817100
2018-05-21,1580,1570,1585,1580,12665700
2018-05-22,1580,1580,1600,1590,16716800
2018-05-23,1590,1590,1600,1595,23964500
2018-05-24,1595,1585,1595,1590,17099900
2018-05-25,1590,1580,1590,1585,9364400
2018-05-28,1585,1585,1600,1595,22885700
2018-05-29,1595,1595,1595,1595,0
2018-05-30,1590,1570,1590,1570,19846500
2018-05-31,1570,1550,1570,1550,13292200
2018-06-01,1550,1550,1550,1550,0
2018-06-04,1550,1550,1560,1560,9721900
2018-06-05,1560,1540,1560,1545,12678900
2018-06-06,1545,1525,1545,1525,12060200
2018-06-07,1530,1500,1530,1505,16103800
2018-06-08,1505,1500,1510,1505,9214200
2018-06-11,1505,1505,1505,1505,0
2018-06-12,1505,1505,1505,1505,0
2018-06-13,1505,1505,1505,1505,0
2018-06-14,1505,1505,1505,1505,0
2018-06-15,1505,1505,1505,1505,0
2018-06-18,1505,1505,1505,1505,0
2018-06-19,1505,1505,1505,1505,0
2018-06-20,1520,1520,1570,1550,34766300
2018-06-21,1555,1555,1575,1560,68818300
2018-06-22,1565,1560,1575,1570,74405400
2018-06-25,1570,1570,1585,1570,75461700
2018-06-26,1570,1560,1575,1570,15658300
2018-06-27,1570,1570,1575,1575,12599600
2018-06-28,1575,1570,1585,1585,38934100
2018-06-29,1585,1585,1595,1585,17237900
2018-07-02,1585,1580,1590,1585,7156900
2018-07-03,1585,1580,1585,1585,8054200
2018-07-04,1585,1580,1590,1585,22347300
2018-07-05,1585,1580,1590,1580,33188300
2018-07-06,1585,1580,1590,1580,38814900
2018-07-09,1585,1580,1590,1585,39453600
2018-07-10,1585,1580,1590,1590,57329000
2018-07-11,1585,1580,1585,1580,19606200
