timestamp,open,low,high,close,volume
2010-07-12,175,155,195,155,514188000
2010-07-13,152,145,157,152,138881000
2010-07-14,152,150,155,152,36183000
2010-07-15,150,150,152,150,14864000
2010-07-16,147,147,147,147,11182000
2010-07-19,147,142,150,147,29258000
2010-07-20,150,145,150,150,16059000
2010-07-21,150,145,150,150,16270000
2010-07-22,147,145,147,147,6451000
2010-07-23,150,145,150,150,6651000
2010-07-26,150,147,155,150,51084000
2010-07-27,152,147,152,152,7424000
2010-07-28,157,147,157,157,44988000
2010-07-29,150,150,155,150,4396000
2010-07-30,150,147,152,150,28173000
2010-08-02,145,145,147,145,6736000
2010-08-03,145,140,147,145,65932000
2010-08-04,142,142,145,142,4420000
2010-08-05,150,140,155,150,69351000
2010-08-06,145,145,147,145,3454000
2010-08-09,145,145,147,145,6716000
2010-08-10,145,145,147,145,1907000
2010-08-11,147,145,150,147,17840000
2010-08-12,147,147,150,147,11524000
2010-08-13,147,145,147,147,11304000
2010-08-16,145,142,147,145,559000
2010-08-17,145,142,147,145,0
2010-08-18,145,142,145,145,1204000
2010-08-19,142,142,145,142,2534000
2010-08-20,140,137,140,140,1427000
2010-08-23,142,140,145,142,24978000
2010-08-24,142,137,145,142,19585000
2010-08-25,142,137,142,142,5005000
2010-08-26,142,140,142,142,4477000
2010-08-27,152,142,152,152,39424000
2010-08-30,172,152,172,172,98012000
2010-08-31,205,165,207,205,174908000
2010-09-01,205,202,215,205,63148000
2010-09-02,202,200,207,202,30917000
2010-09-03,197,197,200,197,2609000
2010-09-06,205,195,207,205,33362000
2010-09-07,202,202,205,202,4041000
2010-09-08,202,202,205,202,0
2010-09-09,202,202,205,202,0
2010-09-10,202,202,205,202,0
2010-09-13,202,202,205,202,0
2010-09-14,202,202,205,202,0
2010-09-15,202,200,207,207,24584000
2010-09-16,217,205,217,217,41072000
2010-09-17,235,215,235,235,90242000
2010-09-20,255,220,260,255,154066000
2010-09-21,260,255,270,260,36726000
2010-09-22,247,247,255,247,16042000
2010-09-23,242,242,247,242,3882000
2010-09-24,240,237,240,240,5678000
2010-09-27,245,242,245,245,6309000
2010-09-28,242,242,247,242,20405000
2010-09-29,247,245,250,247,15438000
2010-09-30,280,242,290,280,103426000
2010-10-01,290,270,300,290,45235000
2010-10-04,290,285,300,290,21844000
2010-10-05,275,260,280,275,18726000
2010-10-06,275,275,280,275,5530000
2010-10-07,260,260,280,260,17103000
2010-10-08,250,245,265,250,22619000
2010-10-11,245,240,247,245,9113000
2010-10-12,242,235,242,242,15421000
2010-10-13,250,240,250,250,14388000
2010-10-14,250,247,255,250,18186000
2010-10-15,265,255,270,265,27877000
2010-10-18,275,260,275,275,23715000
2010-10-19,275,275,290,275,45725000
2010-10-20,275,275,290,275,32811000
2010-10-21,275,275,290,275,54860000
2010-10-22,275,275,285,275,40544000
2010-10-25,300,275,300,300,47929000
2010-10-26,300,295,310,300,31550000
2010-10-27,295,295,305,295,14500000
2010-10-28,335,295,340,335,94700000
2010-10-29,335,330,375,335,182390000
2010-11-01,335,325,350,335,57919000
2010-11-02,350,335,365,350,129706000
2010-11-03,315,310,360,315,153919000
2010-11-04,290,290,335,290,171147000
2010-11-05,275,270,310,275,160463000
2010-11-08,300,275,300,300,72436000
2010-11-09,260,255,305,260,190202000
