timestamp,open,low,high,close,volume
2022-11-09,925,875,960,920,0
2022-11-10,925,875,960,920,18815200
2022-11-11,920,860,925,860,6998700
2022-11-14,820,800,860,835,6504200
2022-11-15,835,795,850,805,3143600
2022-11-16,770,770,810,800,1237000
2022-11-17,800,790,835,830,1330500
2022-11-18,830,810,835,810,771700
2022-11-21,810,805,820,810,1633600
2022-11-22,810,810,820,815,858300
2022-11-23,815,810,820,820,689000
2022-11-24,825,820,835,825,605900
2022-11-25,820,805,825,820,240700
2022-11-28,820,800,820,810,996800
2022-11-29,800,800,820,815,814700
2022-11-30,815,805,895,855,1556000
2022-12-01,815,805,895,855,0
2022-12-02,850,850,880,870,1212100
2022-12-05,880,855,1085,1085,14648500
2022-12-06,1160,1050,1325,1100,16194800
2022-12-07,1100,1100,1335,1300,5834200
2022-12-08,1310,1240,1475,1420,5511300
2022-12-09,1425,1350,1450,1355,4772600
2022-12-12,1360,1355,1475,1475,2547200
2022-12-13,1475,1425,1555,1535,2356200
2022-12-14,1535,1500,1600,1505,3779000
2022-12-15,1505,1505,1570,1515,924000
2022-12-16,1520,1520,1725,1665,7548300
2022-12-19,1675,1550,1675,1550,1412800
2022-12-20,1445,1445,1450,1445,953400
2022-12-21,1345,1345,1745,1745,19415900
2022-12-22,1750,1725,1750,1745,3810500
2022-12-23,1745,1735,1860,1845,18496300
2022-12-26,1865,1745,1875,1855,10089800
2022-12-27,1850,1745,1930,1920,6019000
2022-12-28,1920,1880,1920,1900,954600
2022-12-29,1900,1790,1990,1970,6929000
2022-12-30,1980,1910,2250,2180,7236300
2023-01-02,2180,2040,2290,2240,1360400
2023-01-03,2230,2200,2520,2240,1914400
2023-01-04,2240,2090,2380,2160,1342700
2023-01-05,2160,2010,2160,2080,1412200
2023-01-06,2080,1935,2080,1935,3590300
