timestamp,open,low,high,close,volume
2021-12-06,3080,2870,3500,3410,134285400
2021-12-07,3420,3250,3450,3380,57408600
2021-12-08,3400,3380,3530,3520,18778500
2021-12-09,3520,3410,3520,3430,10795400
2021-12-10,3430,3420,3450,3440,4197600
2021-12-13,3440,3440,3510,3490,8087200
2021-12-14,3490,3390,3490,3440,6752400
2021-12-15,3440,3350,3450,3400,6975500
2021-12-16,3400,3350,3400,3380,1016400
2021-12-17,3380,3350,3400,3400,1149900
2021-12-20,3400,3350,3420,3350,1256600
2021-12-21,3360,3360,3440,3440,4285800
2021-12-22,3450,3410,3500,3500,7785800
2021-12-23,3550,3450,3550,3490,5946600
2021-12-24,3510,3450,3510,3490,490000
2021-12-27,3500,3400,3500,3410,528700
2021-12-28,3420,3390,3430,3410,243800
2021-12-29,3410,3390,3490,3490,1322000
2021-12-30,3490,3400,3490,3400,3048300
2021-12-31,3490,3400,3490,3400,0
2022-01-03,3400,3250,3420,3250,4736100
2022-01-04,3250,3250,3400,3330,5850200
2022-01-05,3360,3310,3360,3340,2918300
2022-01-06,3340,3310,3370,3340,3711600
2022-01-07,3340,3340,3400,3370,8400800
2022-01-10,3370,3350,3410,3410,5991000
2022-01-11,3410,3410,3500,3480,2417200
2022-01-12,3490,3410,3500,3420,866600
2022-01-13,3420,3360,3420,3380,599300
2022-01-14,3380,3370,3470,3420,1682900
2022-01-17,3420,3370,3450,3440,481100
2022-01-18,3440,3400,3450,3420,1567800
2022-01-19,3420,3370,3450,3430,2541900
2022-01-20,3440,3410,3450,3440,316200
2022-01-21,3440,3250,3440,3350,1021400
2022-01-24,3340,3120,3340,3120,5162500
2022-01-25,3120,3000,3210,3110,9174500
2022-01-26,3110,3040,3150,3130,424000
2022-01-27,3130,3120,3190,3150,330100
2022-01-28,3150,3100,3160,3100,496100
2022-01-31,3100,3050,3140,3100,133200
2022-02-01,3100,3050,3140,3100,0
2022-02-02,3100,3090,3300,3280,2556700
2022-02-03,3290,3150,3290,3180,957500
2022-02-04,3180,3170,3200,3180,1676900
2022-02-07,3180,3180,3220,3200,316000
2022-02-08,3150,3100,3200,3130,2037000
2022-02-09,3130,3130,3290,3230,1578600
2022-02-10,3230,3220,3280,3260,893900
2022-02-11,3260,3260,3450,3410,2014800
2022-02-14,3410,3310,3440,3400,817800
2022-02-15,3400,3340,3440,3400,1022600
2022-02-16,3410,3400,3410,3400,803100
2022-02-17,3400,3400,3480,3470,1000900
2022-02-18,3470,3450,3850,3700,6654700
2022-02-21,3700,3640,3950,3860,6259300
2022-02-22,3850,3640,3860,3760,4381500
2022-02-23,3700,3680,3820,3710,653000
2022-02-24,3710,3540,3790,3600,3220000
2022-02-25,3600,3500,3640,3510,1044600
2022-02-28,3600,3500,3640,3510,0
2022-03-01,3510,3470,3900,3700,3369300
2022-03-02,3700,3510,3700,3580,930500
2022-03-03,3700,3510,3700,3580,0
