timestamp,open,low,high,close,volume
2021-01-06,525,525,525,525,1100
2021-01-07,655,655,655,655,100
2021-01-08,815,815,815,815,3500
2021-01-11,1015,1015,1015,1015,7400
2021-01-12,1265,1265,1265,1265,6900
2021-01-13,1455,1455,1580,1580,30700
2021-01-14,1975,1970,1975,1975,29500
2021-01-15,2460,2460,2460,2460,15800
2021-01-18,2820,2820,3070,3070,994200
2021-01-19,3070,3070,3070,3070,0
2021-01-20,3070,3070,3830,3830,335900
2021-01-21,4300,4300,4780,4780,98600
2021-01-22,4780,4780,4780,4780,0
2021-01-25,4780,4780,4780,4780,0
2021-01-26,4780,4780,4780,4780,0
2021-01-27,4780,4780,4780,4780,0
2021-01-28,4790,4780,5975,5975,488000
2021-01-29,6550,6500,7150,7150,109400
2021-02-01,7700,7700,8575,8575,137900
2021-02-02,9450,7975,10275,7975,296500
2021-02-03,7425,7425,7425,7425,34000
2021-02-04,6925,6925,8875,7025,838600
2021-02-05,7050,7050,8425,8250,494500
2021-02-08,8500,8350,9850,9300,302900
2021-02-09,9300,9300,10300,10200,383200
2021-02-10,10300,10300,12225,12225,286100
2021-02-11,12225,12225,12225,12225,0
2021-02-12,12225,12225,12225,12225,0
2021-02-15,12225,12225,12225,12225,0
2021-02-16,12225,12225,12225,12225,0
2021-02-17,12225,12225,12225,12225,0
2021-02-18,12225,12225,12225,12225,0
2021-02-19,12225,12225,12225,12225,0
2021-02-22,12225,12225,12225,12225,0
2021-02-23,12225,12225,12225,12225,0
2021-02-24,12225,12225,12225,12225,0
2021-02-25,12225,12225,12225,12225,0
2021-02-26,12225,12225,12225,12225,0
2021-03-01,12225,12225,12225,12225,0
2021-03-02,12225,12225,12225,12225,0
2021-03-03,12225,12225,12225,12225,0
2021-03-04,12225,12225,12225,12225,0
2021-03-05,12225,12225,12225,12225,0
2021-03-08,12225,12225,12225,12225,0
2021-03-09,12225,12225,12225,12225,0
2021-03-10,12225,12225,12225,12225,0
2021-03-11,12225,12225,12225,12225,0
2021-03-12,12225,12225,12225,12225,0
2021-03-15,12225,12225,12225,12225,0
2021-03-16,12225,12225,12225,12225,0
2021-03-17,12225,12225,12225,12225,0
2021-03-18,12000,11375,12000,11375,41300
2021-03-19,10600,10600,10600,10600,3500
2021-03-22,9875,9875,12200,12200,278200
2021-03-23,12300,11350,12325,11475,50300
2021-03-24,10975,10675,11275,11275,18500
2021-03-25,11275,10500,11275,10700,9500
2021-03-26,10700,10700,11950,11775,32700
2021-03-29,11775,10975,11775,11200,12600
2021-03-30,11200,10475,11200,11200,4900
2021-03-31,11100,10500,11100,10525,11400
2021-04-01,10525,10525,11275,11275,3000
2021-04-02,10525,10525,11275,11275,0
2021-04-05,11200,11200,11275,11275,12200
2021-04-06,11225,11225,11500,11350,24200
2021-04-07,11350,11000,11400,11325,19200
2021-04-08,11400,11400,11750,11750,17300
2021-04-09,11775,11775,11800,11800,1600
2021-04-12,11750,11750,11750,11750,1000
2021-04-13,11500,11100,11500,11200,6000
2021-04-14,11200,11200,11825,11825,5300
2021-04-15,11875,11625,11875,11625,14000
2021-04-16,11625,11400,11800,11800,13700
2021-04-19,11775,11775,12400,12300,13100
2021-04-20,12200,11950,12300,12000,1900
2021-04-21,12000,12000,12000,12000,200
2021-04-22,12000,12000,12000,12000,500
2021-04-23,12100,12050,12150,12050,1200
2021-04-26,12050,12050,12600,12500,3900
2021-04-27,12500,12375,12800,12375,4200
2021-04-28,12375,11525,12375,11950,4000
2021-04-29,11950,11875,11950,11875,2900
2021-04-30,11875,11375,11875,11375,600
2021-05-03,11375,11375,11375,11375,1400
2021-05-04,11400,10700,11425,10700,1400
2021-05-05,10700,10700,11950,11925,5400
2021-05-06,11900,11900,11900,11900,700
2021-05-07,11700,11150,11900,11825,2300
2021-05-10,11825,11825,11825,11825,200
2021-05-11,11750,11700,11750,11700,300
2021-05-12,11750,11700,11750,11700,0
2021-05-13,11750,11700,11750,11700,0
2021-05-14,11750,11700,11750,11700,0
2021-05-17,11700,11675,11700,11675,1900
2021-05-18,10875,10875,11000,11000,10300
2021-05-19,11000,11000,11975,11975,4600
2021-05-20,11900,11225,11900,11800,5100
2021-05-21,11800,11500,11800,11500,3500
2021-05-24,11650,11600,11900,11700,6400
2021-05-25,11700,11700,11700,11700,1100
2021-05-26,11700,11700,11700,11700,0
2021-05-27,11700,11700,11700,11700,0
2021-05-28,11325,11075,11475,11475,900
2021-05-31,11375,11375,13750,13750,18400
2021-06-01,11375,11375,13750,13750,0
2021-06-02,13825,13775,16500,16500,32100
2021-06-03,16575,16575,19800,19800,54000
2021-06-04,21350,21350,23750,23750,27700
2021-06-07,23800,23800,28500,28500,18000
2021-06-08,30400,30400,34200,34200,41100
2021-06-09,35000,31825,41025,36200,204300
2021-06-10,36450,36300,43250,41000,108800
2021-06-11,41100,41100,49200,43200,182100
2021-06-14,43325,43300,51500,50250,195800
2021-06-15,50250,50250,50250,50250,0
2021-06-16,50500,50250,60300,59000,172000
2021-06-17,59000,59000,59000,59000,0
2021-06-18,59000,59000,59000,59000,0
2021-06-21,59000,59000,59000,59000,0
2021-06-22,59000,59000,59000,59000,0
2021-06-23,59000,59000,59000,59000,0
2021-06-24,59000,59000,59000,59000,0
2021-06-25,59000,59000,59000,59000,0
2021-06-28,59000,59000,59000,59000,0
2021-06-29,59000,59000,59000,59000,0
2021-06-30,59000,59000,59000,59000,0
2021-07-01,59000,59000,59000,59000,0
2021-07-02,59000,59000,59000,59000,0
2021-07-05,59000,59000,59000,59000,0
2021-07-06,59000,59000,59000,59000,0
2021-07-07,59000,59000,59000,59000,0
2021-07-08,59000,59000,59000,59000,0
2021-07-09,59000,59000,59000,59000,0
