timestamp,open,low,high,close,volume
2022-07-18,135,114,135,135,509459000
2022-07-19,158,150,182,182,157967900
2022-07-20,210,170,230,170,99030300
2022-07-21,159,159,159,159,2084400
2022-07-22,148,148,148,148,2144100
2022-07-25,138,138,152,149,245861900
2022-07-26,154,139,162,152,168025700
2022-07-27,152,146,154,150,40940900
2022-07-28,151,149,162,154,79850500
2022-07-29,155,145,155,146,31184300
2022-08-01,140,140,152,143,60484000
2022-08-02,142,139,147,147,70192400
2022-08-03,148,144,157,148,82588900
2022-08-04,149,149,158,158,62490600
2022-08-05,158,147,161,147,34668000
2022-08-08,137,137,140,137,14076800
2022-08-09,128,128,148,138,181733400
2022-08-10,139,130,141,134,88600000
2022-08-11,134,133,148,144,87120400
2022-08-12,145,139,147,142,58715400
2022-08-15,144,140,146,145,47539500
2022-08-16,145,145,195,178,469289200
2022-08-17,145,145,195,178,0
2022-08-18,180,170,198,185,351122800
2022-08-19,186,180,194,186,134369800
2022-08-22,188,182,206,204,231877600
2022-08-23,206,200,232,208,235419600
2022-08-24,210,197,222,210,215573500
2022-08-25,214,204,220,208,84018400
2022-08-26,208,208,230,214,163008000
2022-08-29,208,200,216,214,74445100
2022-08-30,216,210,220,214,78061900
2022-08-31,208,206,224,214,111287100
2022-09-01,214,214,228,220,144991100
2022-09-02,206,206,224,208,86065800
2022-09-05,206,200,208,206,78798500
2022-09-06,206,202,210,208,79791400
2022-09-07,208,202,212,204,38006600
2022-09-08,206,204,216,214,69025600
2022-09-09,216,214,252,242,179796200
2022-09-12,242,232,258,244,117979900
2022-09-13,242,230,244,236,57632300
2022-09-14,236,228,240,234,39212600
2022-09-15,236,232,240,240,47313500
2022-09-16,240,230,252,240,87912500
2022-09-19,242,232,244,236,67686100
2022-09-20,236,232,238,236,40853300
2022-09-21,220,220,242,236,66941400
2022-09-22,236,230,242,240,74338600
2022-09-23,240,224,256,226,121096000
2022-09-26,224,214,234,234,75470000
2022-09-27,234,228,248,248,96777400
2022-09-28,248,232,250,232,66864600
2022-09-29,226,216,240,236,107868400
2022-09-30,236,230,240,236,62515800
2022-10-03,236,232,248,248,74113400
2022-10-04,246,244,272,266,121971400
2022-10-05,268,260,270,264,64629100
2022-10-06,264,260,268,262,28665000
2022-10-07,262,252,268,252,45779200
2022-10-10,252,242,252,244,28695900
2022-10-11,244,242,248,246,25049200
2022-10-12,230,230,248,248,44479600
2022-10-13,248,242,262,260,67409600
2022-10-14,260,254,280,276,66963300
2022-10-17,276,268,278,276,47214100
2022-10-18,274,270,278,272,18965100
2022-10-19,272,260,272,260,33172200
2022-10-20,260,258,266,266,51949200
2022-10-21,266,264,276,276,99025600
2022-10-24,276,262,278,262,93495400
2022-10-25,260,244,262,244,27901100
2022-10-26,230,228,242,238,65907800
2022-10-27,238,232,246,246,32432100
2022-10-28,246,244,252,252,44699000
2022-10-31,252,246,266,260,203242500
2022-11-01,260,242,262,242,123992100
2022-11-02,240,228,242,234,38309900
2022-11-03,234,230,236,236,36429800
2022-11-04,236,234,246,246,64843500
2022-11-07,240,232,242,240,0
2022-11-08,240,232,242,240,0
2022-11-09,240,232,242,240,0
2022-11-10,240,232,242,240,30103900
2022-11-11,240,238,246,244,31840600
2022-11-14,244,238,246,244,25813900
2022-11-15,244,240,246,240,37469000
2022-11-16,240,240,246,242,14505800
2022-11-17,252,234,252,244,18853900
2022-11-18,242,240,248,240,32594700
2022-11-21,240,230,240,232,70179000
2022-11-22,232,220,234,222,19261800
2022-11-23,222,214,224,224,34323300
2022-11-24,224,222,234,232,62553900
2022-11-25,234,226,236,226,7956000
2022-11-28,224,220,230,228,5590900
2022-11-29,228,224,232,228,17477900
2022-11-30,228,224,230,228,22754700
2022-12-01,228,224,230,228,0
2022-12-02,242,232,242,236,25712400
2022-12-05,236,230,236,236,7300300
2022-12-06,236,220,244,220,43007500
2022-12-07,218,206,218,206,14604300
2022-12-08,206,192,206,196,20814200
2022-12-09,195,188,195,188,46002300
2022-12-12,189,186,197,195,49280100
2022-12-13,195,194,202,198,75324200
2022-12-14,198,190,204,202,86489000
2022-12-15,202,199,210,210,76779900
2022-12-16,210,206,212,208,27712300
2022-12-19,208,204,212,212,77522800
2022-12-20,212,208,212,212,22481700
2022-12-21,212,208,216,214,23478500
2022-12-22,214,212,216,216,78323000
2022-12-23,216,214,218,216,85374200
2022-12-26,216,208,216,210,72915200
2022-12-27,210,204,210,210,24302200
2022-12-28,208,204,216,210,71646400
2022-12-29,208,204,212,206,28384300
2022-12-30,206,204,212,208,26049200
2023-01-02,208,204,212,212,35532100
2023-01-03,212,210,214,214,45708200
2023-01-04,214,210,214,214,39319000
2023-01-05,214,212,228,224,117129600
2023-01-06,224,218,230,220,85427200
