timestamp,open,low,high,close,volume
2014-07-11,187,149,187,187,2324700
2014-07-14,246,246,246,246,380474
2014-07-15,296,254,307,296,21720940
2014-07-16,295,292,298,295,13641815
2014-07-17,288,288,300,288,4302117
2014-07-18,280,280,292,280,494197
2014-07-21,227,224,280,227,788075
2014-07-22,200,197,244,200,547322
2014-07-23,186,185,201,186,408726
2014-07-24,191,183,191,191,2837029
2014-07-25,190,178,191,190,7565581
2014-07-28,190,178,191,190,0
2014-07-29,190,178,191,190,0
2014-07-30,190,178,191,190,0
2014-07-31,190,178,191,190,0
2014-08-01,190,178,191,190,0
2014-08-04,193,185,200,193,128565
2014-08-05,190,190,195,190,72676
2014-08-06,195,178,195,195,330932
2014-08-07,204,192,205,204,5504446
2014-08-08,211,202,211,211,13904882
2014-08-11,207,206,214,207,6401228
2014-08-12,212,202,214,212,22829404
2014-08-13,218,213,221,218,15497205
2014-08-14,223,214,224,223,17152991
2014-08-15,229,222,240,229,29978378
2014-08-18,227,227,237,227,600857
2014-08-19,227,216,229,227,10407831
2014-08-20,235,227,237,235,29501582
2014-08-21,244,233,244,244,23899380
2014-08-22,243,239,246,243,11051577
2014-08-25,234,234,247,234,19134388
2014-08-26,234,226,239,234,14291498
2014-08-27,248,226,248,248,51389779
2014-08-28,256,248,259,256,26791582
2014-08-29,257,256,264,257,20270694
2014-09-01,255,249,264,255,41680765
2014-09-02,268,254,270,268,66540494
2014-09-03,254,246,269,254,46959097
2014-09-04,237,236,254,237,44229853
2014-09-05,239,237,244,239,670974
2014-09-08,235,227,244,235,37399221
2014-09-09,220,220,239,220,1567756
2014-09-10,240,211,241,240,29476913
2014-09-11,262,239,263,262,62622638
2014-09-12,229,228,263,229,14573092
2014-09-15,223,220,247,223,7272318
2014-09-16,225,224,232,225,1177045
2014-09-17,226,224,231,226,4182151
2014-09-18,224,223,232,224,23393514
2014-09-19,220,220,226,220,16289988
2014-09-22,222,219,224,222,6392528
2014-09-23,219,213,224,219,24314351
2014-09-24,221,214,226,221,37273727
2014-09-25,214,213,226,214,25730716
2014-09-26,212,212,220,212,22219846
2014-09-29,207,207,215,207,417836
2014-09-30,210,199,210,210,12237733
2014-10-01,218,198,218,218,19809149
2014-10-02,206,205,214,206,674454
2014-10-03,196,194,207,196,411182
2014-10-06,191,191,204,191,450284
2014-10-07,194,184,196,194,538007
2014-10-08,188,181,191,188,102770
2014-10-09,200,185,200,200,5371173
2014-10-10,192,192,200,192,329908
2014-10-13,189,189,198,189,43810
2014-10-14,188,188,195,188,136958
2014-10-15,182,180,188,182,536267
2014-10-16,178,175,180,178,244027
2014-10-17,190,175,190,190,1578197
2014-10-20,183,183,189,183,541385
2014-10-21,180,180,186,180,328680
2014-10-22,175,172,185,175,16164392
2014-10-23,175,174,179,175,856759
2014-10-24,174,172,175,174,479048
2014-10-27,173,172,174,173,97959
2014-10-28,170,167,175,170,9670424
2014-10-29,179,169,189,179,10213243
2014-10-30,182,176,187,182,628904
2014-10-31,184,175,189,184,14247790
2014-11-03,186,179,190,186,19594499
2014-11-04,205,181,205,205,24912240
2014-11-05,201,198,226,201,7966630
