timestamp,open,low,high,close,volume
2017-12-13,254,240,254,254,14814900
2017-12-14,316,316,316,316,6724800
2017-12-15,346,238,394,394,54183500
2017-12-18,400,380,492,492,25664000
2017-12-19,550,370,615,370,88539400
2017-12-20,368,282,462,462,57943400
2017-12-21,484,482,575,575,20541800
2017-12-22,590,550,715,635,31550300
2017-12-25,635,635,635,635,0
2017-12-26,635,635,635,635,0
2017-12-27,635,630,740,650,9519800
2017-12-28,625,610,680,625,4446700
2017-12-29,625,570,635,605,3657200
2018-01-01,605,605,605,605,0
2018-01-02,605,595,630,610,1057900
2018-01-03,610,600,640,620,1985100
2018-01-04,620,575,620,575,1017800
2018-01-05,575,575,650,605,3093000
2018-01-08,620,585,620,590,1472600
2018-01-09,590,580,605,600,2286700
2018-01-10,605,590,650,605,3691900
2018-01-11,600,585,615,600,343800
2018-01-12,585,580,600,600,1037700
2018-01-15,600,575,600,600,1181300
2018-01-16,585,580,605,600,1206400
2018-01-17,585,580,595,590,1031200
2018-01-18,580,540,585,540,610800
2018-01-19,540,488,560,498,1110200
2018-01-22,498,488,505,496,293900
2018-01-23,488,452,500,462,699000
2018-01-24,466,466,575,575,1947900
2018-01-25,595,510,690,560,6026500
2018-01-26,560,525,565,535,368500
2018-01-29,535,440,600,450,8378200
2018-01-30,454,398,458,400,11750600
2018-01-31,400,380,418,400,2441000
2018-02-01,404,386,408,398,1906500
2018-02-02,398,394,408,396,655000
2018-02-05,410,396,410,400,1059000
2018-02-06,400,364,404,370,1514700
2018-02-07,380,368,380,372,652000
2018-02-08,372,348,394,352,2825400
2018-02-09,350,330,350,336,989600
2018-02-12,350,322,350,326,2092300
2018-02-13,330,320,334,320,1501700
2018-02-14,320,296,326,300,3223600
2018-02-15,320,298,324,300,8561200
2018-02-16,300,300,300,300,0
2018-02-19,304,298,308,300,1921900
2018-02-20,300,296,302,296,620200
2018-02-21,296,296,308,298,2937000
2018-02-22,302,296,338,300,11156000
2018-02-23,304,290,310,292,5907400
2018-02-26,296,286,298,286,1598400
2018-02-27,286,274,290,276,2126600
2018-02-28,276,262,284,266,2151200
2018-03-01,266,262,274,266,837200
2018-03-02,264,252,268,258,767000
2018-03-05,260,252,264,252,618100
2018-03-06,256,242,256,248,1543600
2018-03-07,248,228,248,230,1465800
2018-03-08,230,228,242,230,1890800
2018-03-09,230,228,240,230,519700
2018-03-12,234,228,238,228,439200
2018-03-13,228,226,234,230,544500
2018-03-14,232,230,236,230,787200
2018-03-15,232,224,232,228,687900
2018-03-16,228,222,230,224,679900
2018-03-19,224,216,224,218,582800
2018-03-20,218,200,218,204,1039300
2018-03-21,212,202,254,254,5362900
2018-03-22,270,234,316,240,72805800
2018-03-23,240,204,240,216,6981100
2018-03-26,216,208,230,222,3801900
2018-03-27,228,208,230,212,2986500
2018-03-28,212,210,228,212,4106700
