timestamp,open,low,high,close,volume
2020-03-09,150,150,204,204,1463000
2020-03-10,226,186,254,254,231915600
2020-03-11,256,232,310,248,98752100
2020-03-12,246,224,246,224,460800
2020-03-13,210,210,210,210,33200
2020-03-16,196,196,196,196,15400
2020-03-17,183,183,183,183,6400
2020-03-18,171,171,171,171,6700
2020-03-19,160,160,160,160,16100
2020-03-20,149,149,150,150,66763700
2020-03-23,140,140,140,140,40800
2020-03-24,131,131,131,131,12500
2020-03-25,131,131,131,131,0
2020-03-26,122,122,131,125,2576000
2020-03-27,123,117,148,131,61053700
2020-03-30,139,122,164,125,34776200
2020-03-31,125,118,137,127,35701100
2020-04-01,120,119,129,120,4405400
2020-04-02,119,112,119,112,3225800
2020-04-03,108,105,112,105,4555200
2020-04-06,106,98,108,105,2783200
2020-04-07,107,99,127,125,37379800
2020-04-08,130,117,130,117,10354900
2020-04-09,120,109,126,121,22482800
2020-04-10,120,109,126,121,0
2020-04-13,113,113,127,115,7474000
2020-04-14,122,112,132,119,55621700
2020-04-15,112,112,121,117,5716200
2020-04-16,117,111,126,117,47983300
2020-04-17,114,113,121,113,3196800
2020-04-20,106,106,116,109,3968100
2020-04-21,102,102,123,110,33310500
2020-04-22,109,105,113,107,4569500
2020-04-23,107,105,120,109,18656100
2020-04-24,109,104,114,105,3032700
2020-04-27,100,100,110,109,569900
2020-04-28,110,104,117,109,9262500
2020-04-29,108,107,120,112,12339100
2020-04-30,114,107,114,109,513900
2020-05-01,114,107,114,109,0
2020-05-04,112,105,112,111,156100
2020-05-05,106,105,112,105,566200
2020-05-06,107,104,108,105,246500
2020-05-07,107,104,108,105,0
2020-05-08,105,103,106,103,2323500
2020-05-11,96,96,108,101,25377700
2020-05-12,100,97,108,101,954900
2020-05-13,101,98,101,98,239300
2020-05-14,98,92,98,92,424000
2020-05-15,96,88,96,89,180900
2020-05-18,83,83,90,83,381600
2020-05-19,83,82,112,112,7938100
2020-05-20,122,105,122,105,857700
2020-05-21,122,105,122,105,0
2020-05-22,122,105,122,105,0
2020-05-25,122,105,122,105,0
2020-05-26,98,98,98,98,27300
2020-05-27,92,92,92,92,66300
2020-05-28,86,86,101,92,6779200
2020-05-29,86,86,95,91,259100
2020-06-01,86,86,95,91,0
2020-06-02,100,87,100,93,302700
2020-06-03,90,90,93,91,135900
2020-06-04,85,85,100,94,118500
2020-06-05,94,91,98,94,179500
2020-06-08,94,90,96,90,403100
2020-06-09,90,89,96,92,291500
2020-06-10,92,90,93,91,20500
2020-06-11,89,87,93,91,425100
2020-06-12,97,87,97,91,142900
2020-06-15,92,89,93,91,453500
2020-06-16,91,85,93,93,664500
2020-06-17,95,89,95,92,141800
2020-06-18,92,92,94,93,36400
2020-06-19,93,91,97,94,716300
2020-06-22,92,92,96,94,302400
2020-06-23,95,88,96,94,335000
2020-06-24,94,88,96,91,304400
2020-06-25,95,86,97,90,544000
2020-06-26,90,90,95,94,223400
2020-06-29,90,88,95,94,690100
2020-06-30,94,89,94,93,222100
2020-07-01,95,90,95,93,63200
2020-07-02,94,92,100,94,497100
2020-07-03,98,94,98,96,17200
2020-07-06,94,94,102,98,258400
2020-07-07,94,92,99,93,219900
2020-07-08,96,93,102,96,740400
2020-07-09,93,92,99,97,348500
2020-07-10,98,97,100,98,76400
2020-07-13,98,95,99,98,49600
2020-07-14,98,98,107,103,873100
2020-07-15,103,100,103,102,84900
2020-07-16,100,100,111,103,1067000
2020-07-17,102,97,102,99,160900
2020-07-20,100,97,103,100,237000
2020-07-21,100,99,102,102,519200
2020-07-22,99,98,101,99,58400
2020-07-23,98,95,100,96,349600
2020-07-24,99,95,100,97,107500
2020-07-27,96,96,99,98,95400
2020-07-28,98,98,100,100,85500
2020-07-29,100,100,101,101,81000
2020-07-30,101,98,101,101,21800
2020-07-31,101,98,101,101,0
2020-08-03,101,96,101,100,118800
2020-08-04,96,96,100,100,25000
2020-08-05,99,98,102,100,146000
2020-08-06,100,95,100,100,57300
2020-08-07,98,98,100,100,1700
2020-08-10,100,98,102,98,55400
2020-08-11,98,96,98,98,35200
2020-08-12,96,96,100,100,156700
2020-08-13,100,96,104,104,7400
2020-08-14,105,100,106,100,294900
2020-08-17,105,100,106,100,0
2020-08-18,100,98,101,101,64000
2020-08-19,101,101,101,101,0
2020-08-20,101,101,101,101,0
2020-08-21,101,101,101,101,0
2020-08-24,101,97,103,102,55700
2020-08-25,102,99,105,101,124800
2020-08-26,101,99,103,101,83600
2020-08-27,103,95,104,104,308900
2020-08-28,105,102,106,104,114500
2020-08-31,105,103,108,105,332700
2020-09-01,100,100,105,104,24500
2020-09-02,103,99,103,99,63600
2020-09-03,103,100,105,104,100200
2020-09-04,103,100,103,103,80800
2020-09-07,103,103,103,103,49700
2020-09-08,103,99,104,102,187900
