timestamp,open,low,high,close,volume
2001-04-16,375,370,375,375,47500
2001-04-17,375,370,375,375,43000
2001-04-18,350,350,350,350,16500
2001-04-19,350,350,350,350,35000
2001-04-20,340,340,340,340,17500
2001-04-23,340,340,340,340,0
2001-04-24,335,335,335,335,12500
2001-04-25,230,230,230,230,15000
2001-04-26,230,230,230,230,15000
2001-04-27,285,280,285,280,1000
2001-04-30,265,240,265,240,12500
2001-05-01,240,205,240,205,88000
2001-05-02,200,200,215,205,117000
2001-05-03,210,200,210,200,166000
2001-05-04,200,195,200,200,93000
2001-05-07,200,200,200,200,0
2001-05-08,180,165,180,165,302000
2001-05-09,165,135,165,135,1886000
2001-05-10,140,140,165,150,1390500
2001-05-11,150,150,175,170,2722000
2001-05-14,170,170,210,200,5093000
2001-05-15,200,200,240,225,4248000
2001-05-16,235,200,235,200,662000
2001-05-17,205,195,205,195,78000
2001-05-18,190,190,195,195,8500
2001-05-21,195,195,195,195,22500
2001-05-22,195,195,210,200,177000
2001-05-23,205,185,220,185,870500
2001-05-24,185,185,185,185,0
2001-05-25,195,190,200,195,82000
2001-05-28,190,190,200,200,15500
2001-05-29,200,195,205,195,327000
2001-05-30,190,190,200,190,118500
2001-05-31,195,195,205,200,190000
2001-06-01,195,185,195,185,236000
2001-06-04,185,185,185,185,0
2001-06-05,185,180,190,185,268000
2001-06-06,175,170,175,170,130000
2001-06-07,180,180,180,180,52500
2001-06-08,170,170,170,170,12500
2001-06-11,165,165,165,165,59000
2001-06-12,150,150,180,180,35500
2001-06-13,185,180,190,185,16500
2001-06-14,180,175,190,190,54500
2001-06-15,190,190,190,190,0
2001-06-18,170,170,185,185,25500
2001-06-19,185,185,185,185,0
2001-06-20,190,190,210,195,491500
2001-06-21,195,190,200,195,224000
2001-06-22,195,195,195,195,65000
2001-06-25,195,190,195,190,229500
2001-06-26,195,195,195,195,65500
2001-06-27,195,190,195,195,83500
2001-06-28,195,195,195,195,25000
2001-06-29,195,195,195,195,34000
2001-07-02,195,195,195,195,0
2001-07-03,195,195,195,195,0
2001-07-04,180,180,180,180,14000
2001-07-05,180,180,180,180,0
2001-07-06,180,180,195,195,25000
2001-07-09,195,190,195,190,65500
2001-07-10,190,190,190,190,0
2001-07-11,190,180,190,180,155000
2001-07-12,175,170,175,170,75000
2001-07-13,180,180,180,180,25000
2001-07-16,185,180,190,185,87500
2001-07-17,190,180,190,185,33000
2001-07-18,190,185,200,200,141000
2001-07-19,200,195,200,200,37500
2001-07-20,200,200,200,200,0
2001-07-23,220,200,220,210,60000
2001-07-24,210,195,210,195,81500
2001-07-25,200,200,200,200,12500
2001-07-26,200,190,200,190,32000
2001-07-27,190,190,190,190,0
2001-07-30,195,175,195,180,2151000
2001-07-31,175,160,175,165,1262000
2001-08-01,165,165,165,165,50000
2001-08-02,160,160,170,170,13000
2001-08-03,160,160,160,160,10000
2001-08-06,160,160,160,160,0
2001-08-07,160,160,160,160,95000
2001-08-08,155,150,155,150,1774000
2001-08-09,150,130,150,130,1725000
2001-08-10,130,130,140,135,334000
2001-08-13,140,140,145,145,439000
2001-08-14,150,125,150,130,4150000
2001-08-15,130,130,130,130,664000
2001-08-16,135,135,160,160,6935500
2001-08-17,160,160,160,160,0
2001-08-20,160,145,175,145,10165000
2001-08-21,150,145,150,145,382500
2001-08-22,145,145,150,150,970000
2001-08-23,150,145,150,145,310000
2001-08-24,145,145,155,150,541000
2001-08-27,150,145,150,145,500000
2001-08-28,145,145,150,145,835000
2001-08-29,145,140,145,140,402500
2001-08-30,140,135,140,135,237500
2001-08-31,140,140,140,140,72500
2001-09-03,140,135,140,135,212500
2001-09-04,135,130,135,130,1556500
2001-09-05,130,130,135,130,3593000
2001-09-06,135,130,140,130,1372500
2001-09-07,135,135,145,145,2570500
2001-09-10,140,135,140,135,745500
2001-09-11,140,135,140,135,437000
2001-09-12,130,130,135,130,56500
2001-09-13,135,130,135,130,17500
2001-09-14,135,130,135,130,389000
2001-09-17,120,115,125,115,327000
2001-09-18,125,125,125,125,27500
2001-09-19,125,125,125,125,68500
2001-09-20,125,125,125,125,22500
2001-09-21,120,115,120,115,191500
2001-09-24,115,115,115,115,0
2001-09-25,115,115,115,115,35000
2001-09-26,110,110,110,110,135000
2001-09-27,105,105,105,105,220500
2001-09-28,105,105,105,105,0
2001-10-01,100,100,100,100,75000
2001-10-02,100,85,100,85,1301000
2001-10-03,90,85,90,90,429500
2001-10-04,95,95,95,95,105000
2001-10-05,95,95,95,95,17500
2001-10-08,75,75,80,80,35000
2001-10-09,90,90,95,95,167500
2001-10-10,95,95,95,95,0
2001-10-11,95,95,95,95,10000
2001-10-12,80,80,90,90,21500
2001-10-15,90,90,90,90,0
2001-10-16,85,85,90,90,15000
2001-10-17,90,90,90,90,87500
2001-10-18,95,95,95,95,2500
2001-10-19,95,95,95,95,0
2001-10-22,90,90,90,90,20000
2001-10-23,90,90,90,90,35000
2001-10-24,95,85,95,85,64000
2001-10-25,85,85,85,85,0
2001-10-26,85,85,85,85,0
2001-10-29,80,80,80,80,50000
2001-10-30,80,75,80,75,53000
2001-10-31,75,75,75,75,35000
2001-11-01,80,80,85,85,143500
2001-11-02,85,85,85,85,27500
2001-11-05,80,80,80,80,222500
2001-11-06,75,75,85,85,210000
2001-11-07,80,80,80,80,6000
2001-11-08,75,75,75,75,1500
2001-11-09,75,75,75,75,0
2001-11-12,75,75,75,75,25000
2001-11-13,70,70,70,70,3000
2001-11-14,60,60,70,70,5500
2001-11-15,70,70,70,70,85000
2001-11-16,70,70,70,70,10000
2001-11-19,75,75,75,75,25000
2001-11-20,75,75,75,75,0
2001-11-21,75,75,75,75,0
2001-11-22,70,70,80,80,90000
2001-11-23,75,75,75,75,2000
2001-11-26,75,75,75,75,0
2001-11-27,75,75,75,75,0
2001-11-28,75,75,75,75,0
2001-11-29,75,75,75,75,2500
2001-11-30,65,65,70,70,65000
2001-12-03,70,70,70,70,0
2001-12-04,70,70,70,70,0
2001-12-05,70,70,70,70,0
2001-12-06,70,70,70,70,0
2001-12-07,65,60,65,65,95000
2001-12-10,60,60,65,65,89000
2001-12-11,70,70,75,70,87500
2001-12-12,70,70,70,70,3500
2001-12-13,70,70,70,70,0
2001-12-14,70,70,70,70,0
2001-12-17,70,70,70,70,0
2001-12-18,70,70,70,70,0
2001-12-19,70,70,70,70,0
2001-12-20,70,70,70,70,0
2001-12-21,70,70,70,70,0
2001-12-24,70,70,70,70,0
2001-12-25,70,70,70,70,0
2001-12-26,70,70,70,70,0
2001-12-27,80,80,80,80,65500
2001-12-28,80,80,80,80,0
2001-12-31,80,80,80,80,0
2002-01-01,80,80,80,80,0
2002-01-02,80,80,80,80,0
2002-01-03,80,80,80,80,0
2002-01-04,80,80,80,80,77500
2002-01-07,80,80,80,80,25000
2002-01-08,80,80,80,80,25500
2002-01-09,65,65,80,75,157000
2002-01-10,75,75,80,80,19000
2002-01-11,80,80,80,80,128500
2002-01-14,70,70,70,70,5000
2002-01-15,70,70,75,75,234500
2002-01-16,75,75,80,80,179000
2002-01-17,80,80,80,80,37000
2002-01-18,80,80,80,80,0
2002-01-21,80,60,80,60,250000
2002-01-22,70,70,70,70,20000
2002-01-23,70,70,70,70,0
2002-01-24,80,70,80,70,317500
2002-01-25,80,75,80,80,51000
2002-01-28,75,75,75,75,20000
2002-01-29,80,80,80,80,500
2002-01-30,80,80,80,80,0
2002-01-31,80,80,80,80,0
2002-02-01,85,85,90,85,142000
2002-02-04,85,85,85,85,10000
2002-02-05,95,90,95,90,40000
2002-02-06,80,80,80,80,15000
2002-02-07,80,80,80,80,0
2002-02-08,80,80,80,80,0
2002-02-11,80,80,80,80,0
2002-02-12,80,80,80,80,0
2002-02-13,80,80,80,80,0
2002-02-14,80,80,80,80,0
2002-02-15,80,80,80,80,0
2002-02-18,80,80,80,80,0
2002-02-19,80,80,80,80,0
2002-02-20,80,80,80,80,0
2002-02-21,80,80,80,80,0
2002-02-22,80,80,80,80,0
2002-02-25,80,80,80,80,0
2002-02-26,80,80,80,80,0
2002-02-27,80,80,80,80,0
2002-02-28,80,80,80,80,0
2002-03-01,80,80,80,80,0
2002-03-04,80,80,80,80,0
2002-03-05,80,75,80,75,12500
2002-03-06,75,75,75,75,0
2002-03-07,60,60,60,60,9500
2002-03-08,55,55,60,60,21500
2002-03-11,60,60,60,60,25000
2002-03-12,60,60,65,65,101000
2002-03-13,65,65,65,65,90500
2002-03-14,70,70,70,70,35500
2002-03-15,70,70,70,70,0
2002-03-18,70,70,70,70,0
2002-03-19,70,70,70,70,0
2002-03-20,70,65,70,65,25000
2002-03-21,60,60,70,70,1065000
2002-03-22,75,75,85,80,830000
2002-03-25,85,75,85,80,100000
2002-03-26,75,75,85,80,503000
2002-03-27,75,75,75,75,40000
2002-03-28,75,75,75,75,0
2002-03-29,75,75,75,75,0
2002-04-01,75,75,75,75,0
2002-04-02,75,70,80,75,286500
2002-04-03,75,75,75,75,0
2002-04-04,75,75,75,75,25000
2002-04-05,75,75,85,75,1359500
2002-04-08,75,75,75,75,190000
2002-04-09,70,70,70,70,51000
2002-04-10,70,70,75,75,35500
2002-04-11,80,80,80,80,51500
2002-04-12,80,80,80,80,175000
2002-04-15,80,75,95,85,2457000
2002-04-16,80,80,90,85,1234000
2002-04-17,80,80,80,80,265000
2002-04-18,85,80,85,80,335000
2002-04-19,80,80,80,80,5000
2002-04-22,80,80,85,80,1360500
2002-04-23,85,85,85,85,124500
2002-04-24,85,85,85,85,2500
2002-04-25,85,85,95,95,1591500
2002-04-26,90,90,90,90,30000
2002-04-29,80,80,80,80,500000
2002-04-30,80,80,80,80,0
2002-05-01,80,80,80,80,0
2002-05-02,85,85,85,85,150000
2002-05-03,80,80,80,80,1075000
2002-05-06,80,80,80,80,0
2002-05-07,85,80,85,80,54500
2002-05-08,85,85,85,85,50000
2002-05-09,85,85,85,85,0
2002-05-10,80,80,85,85,192500
2002-05-13,80,80,85,85,652500
2002-05-14,85,85,85,85,0
2002-05-15,80,80,85,80,50500
2002-05-16,85,80,85,80,19000
2002-05-17,85,80,85,85,92500
2002-05-20,75,75,80,80,100000
2002-05-21,75,75,75,75,32000
2002-05-22,75,75,75,75,69000
2002-05-23,75,70,80,80,75000
2002-05-24,80,80,80,80,0
2002-05-27,75,75,85,85,10000
2002-05-28,80,80,80,80,316500
2002-05-29,80,80,80,80,7500
2002-05-30,80,80,80,80,10000
2002-05-31,80,80,80,80,500
2002-06-03,80,80,80,80,0
2002-06-04,80,80,80,80,0
2002-06-05,80,80,80,80,5000
2002-06-06,75,75,75,75,38000
2002-06-07,80,80,80,80,38000
2002-06-10,80,80,80,80,0
2002-06-11,80,80,80,80,0
2002-06-12,80,80,80,80,0
2002-06-13,85,85,85,85,12500
2002-06-14,85,85,85,85,0
2002-06-17,80,75,80,75,65000
2002-06-18,75,75,75,75,500
2002-06-19,75,75,75,75,230500
2002-06-20,75,75,75,75,0
2002-06-21,75,75,75,75,0
2002-06-24,75,75,75,75,0
2002-06-25,75,75,75,75,0
2002-06-26,75,75,75,75,0
2002-06-27,75,75,75,75,0
2002-06-28,75,75,80,80,102500
2002-07-01,80,80,80,80,0
2002-07-02,75,65,75,65,50500
2002-07-03,65,65,75,75,2000
2002-07-04,75,75,75,75,70000
2002-07-05,75,75,75,75,72500
2002-07-08,75,75,75,75,19000
2002-07-09,75,75,75,75,0
2002-07-10,75,75,75,75,0
2002-07-11,75,75,75,75,0
2002-07-12,75,75,75,75,0
2002-07-15,75,75,75,75,0
2002-07-16,75,75,75,75,0
2002-07-17,45,45,45,45,500
2002-07-18,60,60,60,60,12500
2002-07-19,60,60,70,70,10500
2002-07-22,60,60,60,60,10000
2002-07-23,60,60,60,60,0
2002-07-24,60,60,60,60,0
2002-07-25,60,60,60,60,0
2002-07-26,60,60,80,80,10500
2002-07-29,80,80,80,80,0
2002-07-30,80,80,80,80,0
2002-07-31,80,80,80,80,0
2002-08-01,80,80,80,80,0
2002-08-02,80,80,80,80,0
2002-08-05,80,80,80,80,0
2002-08-06,80,80,80,80,0
2002-08-07,75,75,75,75,50000
2002-08-08,75,75,75,75,0
2002-08-09,75,75,80,75,105000
2002-08-12,75,75,75,75,50000
2002-08-13,75,75,75,75,0
2002-08-14,55,50,55,50,675000
2002-08-15,55,55,60,60,335000
2002-08-16,60,60,60,60,0
2002-08-19,60,60,60,60,0
2002-08-20,60,60,60,60,0
2002-08-21,60,55,60,55,30000
2002-08-22,55,55,55,55,0
2002-08-23,55,55,55,55,0
2002-08-26,55,55,55,55,0
2002-08-27,55,55,55,55,0
2002-08-28,55,55,55,55,0
2002-08-29,55,55,55,55,0
2002-08-30,55,55,55,55,0
2002-09-02,50,50,50,50,2500
2002-09-03,55,55,55,55,505000
2002-09-04,55,55,55,55,0
2002-09-05,55,55,55,55,0
2002-09-06,55,55,55,55,0
2002-09-09,55,50,55,50,52000
2002-09-10,45,45,45,45,5000
2002-09-11,45,45,60,50,106000
2002-09-12,50,50,50,50,0
2002-09-13,55,55,60,60,2000
2002-09-16,60,60,60,60,0
2002-09-17,60,60,60,60,0
2002-09-18,60,60,60,60,0
2002-09-19,60,60,60,60,0
2002-09-20,60,60,60,60,0
2002-09-23,60,60,60,60,0
2002-09-24,60,60,60,60,0
2002-09-25,60,60,60,60,0
2002-09-26,60,60,60,60,0
2002-09-27,60,60,60,60,0
2002-09-30,60,60,60,60,0
2002-10-01,60,60,60,60,0
2002-10-02,60,60,60,60,0
2002-10-03,60,60,60,60,0
2002-10-04,60,60,60,60,0
2002-10-07,60,60,60,60,0
2002-10-08,60,60,60,60,0
2002-10-09,60,60,60,60,0
2002-10-10,60,60,60,60,0
2002-10-11,60,60,60,60,0
2002-10-14,45,30,60,60,127000
2002-10-15,60,60,60,60,0
2002-10-16,60,60,60,60,0
2002-10-17,65,65,65,65,500
2002-10-18,65,65,65,65,0
2002-10-21,65,65,65,65,0
2002-10-22,65,65,65,65,0
2002-10-23,65,65,65,65,0
2002-10-24,65,65,65,65,0
2002-10-25,65,65,65,65,0
2002-10-28,65,65,65,65,0
2002-10-29,65,65,65,65,0
2002-10-30,65,65,65,65,0
2002-10-31,65,65,65,65,0
2002-11-01,65,65,65,65,2000
2002-11-04,65,65,65,65,0
2002-11-05,65,65,65,65,0
2002-11-06,65,65,65,65,0
2002-11-07,65,65,65,65,0
2002-11-08,65,65,65,65,0
2002-11-11,65,65,65,65,0
2002-11-12,65,65,65,65,0
2002-11-13,65,65,65,65,0
2002-11-14,65,65,65,65,0
2002-11-15,65,65,65,65,0
2002-11-18,65,65,65,65,0
2002-11-19,65,65,65,65,0
2002-11-20,65,65,65,65,0
2002-11-21,65,65,65,65,0
2002-11-22,65,65,65,65,0
2002-11-25,65,65,65,65,0
2002-11-26,65,65,65,65,0
2002-11-27,65,65,65,65,0
2002-11-28,65,65,65,65,0
