timestamp,open,low,high,close,volume
2019-06-11,173,173,173,173,29200
2019-06-12,232,190,232,232,75160500
2019-06-13,240,238,290,290,85709800
2019-06-14,310,218,344,230,101456400
2019-06-17,230,173,238,173,49107900
2019-06-18,164,140,175,143,43857000
2019-06-19,164,140,175,143,0
2019-06-20,134,126,137,129,5614400
2019-06-21,129,124,134,127,5476600
2019-06-24,127,118,143,134,26070000
2019-06-25,134,130,145,132,23057800
2019-06-26,122,122,134,128,3202000
2019-06-27,128,122,130,126,3373100
2019-06-28,127,121,127,121,2367600
2019-07-01,121,115,140,129,15816700
2019-07-02,129,118,130,120,5206600
2019-07-03,110,110,130,119,5410000
2019-07-04,119,115,124,117,2657300
2019-07-05,115,115,118,115,1441200
2019-07-08,113,111,115,111,2639600
2019-07-09,101,101,113,105,2313900
2019-07-10,102,98,111,98,4217200
2019-07-11,88,88,130,110,30419100
2019-07-12,112,107,118,108,7034100
2019-07-15,108,103,110,108,2451400
2019-07-16,108,103,108,103,1484100
2019-07-17,103,99,105,102,2544000
2019-07-18,101,98,103,99,2029300
2019-07-19,89,89,108,102,4027000
2019-07-22,100,99,103,100,2396400
2019-07-23,100,97,100,98,1493300
2019-07-24,99,98,101,100,1634000
2019-07-25,100,100,104,100,2735700
2019-07-26,100,99,135,129,49211900
2019-07-29,128,110,131,118,27929400
2019-07-30,120,112,122,114,5955200
2019-07-31,119,108,124,111,5858900
2019-08-01,113,108,115,108,1474700
2019-08-02,118,104,118,105,5980200
2019-08-05,105,99,108,100,2630700
2019-08-06,110,95,110,98,12145200
2019-08-07,99,98,102,98,3289900
2019-08-08,99,98,108,100,8482900
2019-08-09,102,99,103,100,2970700
2019-08-12,104,99,104,100,1079800
2019-08-13,100,99,104,100,2733100
2019-08-14,100,100,106,101,2837000
2019-08-15,99,98,110,102,24080500
2019-08-16,102,100,103,100,1439600
2019-08-19,100,98,100,100,1524100
2019-08-20,99,98,101,99,1349300
2019-08-21,98,98,100,98,1223300
2019-08-22,98,97,101,98,1495700
2019-08-23,98,97,104,98,12931300
2019-08-26,98,97,100,98,1238400
2019-08-27,98,97,100,100,2109300
2019-08-28,101,99,106,100,4987700
2019-08-29,100,98,101,98,1012300
2019-08-30,98,96,100,97,1186000
2019-09-02,95,91,98,92,2684400
2019-09-03,92,90,93,91,1036100
2019-09-04,89,89,94,94,1659100
2019-09-05,93,90,94,91,641400
2019-09-06,91,90,93,91,179800
2019-09-09,91,90,93,90,633200
2019-09-10,80,80,97,91,3187500
2019-09-11,91,91,96,93,1618100
2019-09-12,93,93,96,95,786800
2019-09-13,96,93,96,93,951900
2019-09-16,93,90,93,91,774100
2019-09-17,91,90,92,92,403300
2019-09-18,91,89,93,90,764300
2019-09-19,90,89,91,91,305600
2019-09-20,89,89,92,90,258300
2019-09-23,90,81,91,86,1625300
2019-09-24,86,73,87,84,13173700
2019-09-25,84,82,94,84,23076300
2019-09-26,82,82,109,95,96863200
2019-09-27,95,86,96,87,24797300
2019-09-30,88,80,88,84,24477300
2019-10-01,81,81,86,83,13234800
2019-10-02,83,82,86,82,14061100
2019-10-03,80,80,83,81,6265000
2019-10-04,81,81,85,83,4277300
2019-10-07,83,83,84,83,998800
2019-10-08,83,83,84,84,1195800
2019-10-09,84,82,84,83,5843700
2019-10-10,83,81,84,81,4385600
2019-10-11,81,81,82,81,1227300
2019-10-14,81,81,93,89,32273100
2019-10-15,90,85,90,85,7536500
2019-10-16,85,85,86,85,3821200
2019-10-17,85,85,86,85,1376600
2019-10-18,85,85,87,87,4086300
2019-10-21,87,86,88,86,1348900
2019-10-22,86,86,89,86,6035100
2019-10-23,86,86,95,95,17946300
2019-10-24,96,92,96,92,3195500
2019-10-25,92,92,99,99,19300900
2019-10-28,99,99,103,99,6850700
2019-10-29,99,95,100,95,3443600
2019-10-30,95,95,100,95,11942400
2019-10-31,95,94,96,94,1521500
2019-11-01,94,94,95,94,1046100
2019-11-04,94,94,107,107,44147500
2019-11-05,107,105,109,106,6117500
2019-11-06,106,104,106,104,2768300
2019-11-07,104,100,104,100,4214300
2019-11-08,100,98,101,98,6152500
2019-11-11,98,97,99,99,2363200
2019-11-12,99,98,100,100,2247000
2019-11-13,100,98,100,98,3317200
2019-11-14,98,95,98,95,3149200
2019-11-15,95,84,96,84,8312700
2019-11-18,75,55,80,55,23383500
2019-11-19,50,50,65,50,36890700
2019-11-20,50,50,51,51,2766900
2019-11-21,51,50,51,50,822500
2019-11-22,50,50,50,50,157800
2019-11-25,50,50,50,50,320600
2019-11-26,50,50,50,50,302000
2019-11-27,50,50,50,50,2400
2019-11-28,50,50,50,50,101500
2019-11-29,50,50,50,50,4100
2019-12-02,50,50,50,50,5400
2019-12-03,50,50,50,50,116100
2019-12-04,50,50,50,50,211300
2019-12-05,50,50,50,50,7000
2019-12-06,50,50,50,50,253600
2019-12-09,50,50,50,50,35800
2019-12-10,50,50,51,50,1860900
2019-12-11,50,50,50,50,422300
2019-12-12,50,50,50,50,102000
2019-12-13,50,50,50,50,107000
2019-12-16,50,50,50,50,1555600
2019-12-17,50,50,54,51,3189200
2019-12-18,52,51,65,55,21508800
2019-12-19,50,50,73,64,24008600
2019-12-20,66,61,69,61,6089500
2019-12-23,55,55,82,79,18444400
2019-12-24,55,55,82,79,0
2019-12-25,55,55,82,79,0
2019-12-26,69,69,81,73,7219300
2019-12-27,63,63,77,70,4221400
2019-12-30,70,67,75,75,2259100
2019-12-31,70,67,75,75,0
2020-01-01,70,67,75,75,0
2020-01-02,74,70,75,73,247700
2020-01-03,73,71,79,72,1888500
2020-01-06,72,67,74,69,632500
2020-01-07,65,65,72,71,472100
2020-01-08,70,67,73,72,608900
2020-01-09,71,70,73,72,178300
2020-01-10,71,70,73,70,395600
2020-01-13,70,69,70,70,182200
2020-01-14,75,70,75,70,63300
2020-01-15,70,70,90,79,9957000
2020-01-16,79,74,79,74,441700
2020-01-17,70,70,95,85,4839200
2020-01-20,85,85,99,95,4521000
2020-01-21,85,83,96,87,514200
2020-01-22,83,82,87,85,342800
2020-01-23,85,81,85,84,38300
2020-01-24,87,81,90,86,600200
2020-01-27,86,81,86,81,149700
2020-01-28,91,80,91,82,41400
2020-01-29,92,75,92,80,219800
2020-01-30,90,75,90,79,35100
2020-01-31,89,75,89,80,83400
2020-02-03,80,75,80,77,74300
2020-02-04,87,67,87,76,113200
2020-02-05,85,67,85,74,116100
2020-02-06,74,70,74,73,47800
