timestamp,open,low,high,close,volume
2021-07-08,220,220,220,220,111700
2021-07-09,242,242,242,242,5700
2021-07-12,266,266,266,266,56100
2021-07-13,292,292,292,292,33800
2021-07-14,320,300,320,300,1727300
2021-07-15,270,270,270,270,249400
2021-07-16,244,244,296,296,9862000
2021-07-19,294,294,324,324,8028600
2021-07-20,294,294,324,324,0
2021-07-21,324,322,336,330,1944400
2021-07-22,332,330,354,344,6065100
2021-07-23,346,344,358,354,2616500
2021-07-26,352,342,356,344,1377600
2021-07-27,344,336,352,346,3198000
2021-07-28,346,346,352,350,4177100
2021-07-29,350,348,370,366,3445000
2021-07-30,366,366,402,402,9689100
2021-08-02,402,382,404,386,2764200
2021-08-03,386,384,410,404,5720600
2021-08-04,406,404,416,414,3802200
2021-08-05,414,374,434,412,15585400
2021-08-06,414,408,422,412,2572600
2021-08-09,414,408,438,438,4094400
2021-08-10,440,430,440,438,3759200
2021-08-11,440,430,440,438,0
2021-08-12,438,438,440,440,259300
2021-08-13,438,432,440,438,2401100
2021-08-16,438,424,438,426,981600
2021-08-17,438,424,438,426,0
2021-08-18,426,412,430,430,1886100
2021-08-19,430,426,436,432,1898100
2021-08-20,432,426,434,434,1282700
2021-08-23,432,430,438,436,1778300
2021-08-24,436,432,438,436,2369900
2021-08-25,436,432,438,438,2482000
2021-08-26,436,432,440,438,2461900
2021-08-27,434,432,438,438,2390500
2021-08-30,432,432,438,436,2535800
2021-08-31,432,430,466,446,11150500
2021-09-01,444,430,444,430,2644000
2021-09-02,428,388,428,388,1813500
2021-09-03,350,350,388,378,2375900
2021-09-06,372,342,378,342,4203900
2021-09-07,342,342,376,376,6869100
2021-09-08,376,358,378,374,2846700
2021-09-09,372,362,374,370,2503500
2021-09-10,370,368,402,368,4180400
2021-09-13,368,366,378,376,2966000
2021-09-14,368,368,380,380,3172300
2021-09-15,376,370,384,380,2732300
2021-09-16,378,370,382,380,2955600
2021-09-17,378,374,380,378,2664200
2021-09-20,378,370,378,372,2568500
2021-09-21,372,344,372,364,1548200
2021-09-22,364,362,370,364,2621100
