timestamp,open,low,high,close,volume
2021-09-09,154,154,154,154,14255400
2021-09-10,169,154,169,169,72305100
2021-09-13,185,153,185,153,44112300
2021-09-14,143,138,143,138,5501400
2021-09-15,139,125,139,125,35184900
2021-09-16,125,116,125,118,10283800
2021-09-17,117,115,129,129,14189200
2021-09-20,141,129,141,141,19343500
2021-09-21,146,145,155,155,10858200
2021-09-22,170,170,170,170,3312800
2021-09-23,175,175,187,187,4186400
2021-09-24,204,204,204,204,922900
2021-09-27,224,184,224,184,15476500
2021-09-28,166,166,179,166,24403900
2021-09-29,166,166,182,182,22725400
2021-09-30,195,185,200,200,7584200
2021-10-01,218,208,220,220,15116600
2021-10-04,234,198,242,198,25992900
2021-10-05,198,179,198,182,9676300
2021-10-06,182,181,200,200,11346700
2021-10-07,218,191,218,193,10157300
2021-10-08,193,193,206,197,3912300
2021-10-11,199,184,200,185,2951200
2021-10-12,182,170,186,171,3205500
2021-10-13,170,162,175,167,3547900
2021-10-14,168,162,173,162,1427300
2021-10-15,162,158,170,160,1607800
2021-10-18,150,150,169,165,1970500
2021-10-19,155,155,175,175,3705900
2021-10-20,155,155,175,175,0
2021-10-21,176,172,176,173,2032700
2021-10-22,173,171,174,174,1427700
2021-10-25,173,166,174,168,1156400
2021-10-26,167,164,169,164,1060600
2021-10-27,165,164,166,165,1424300
2021-10-28,165,165,171,170,4248500
2021-10-29,171,169,171,170,1509700
2021-11-01,170,168,171,168,1936800
2021-11-02,168,167,169,167,1369000
2021-11-03,168,166,168,166,1012900
2021-11-04,166,166,167,166,688600
2021-11-05,167,166,167,166,310700
2021-11-08,167,166,170,168,3157400
2021-11-09,169,169,172,172,3307900
2021-11-10,173,172,177,177,4489500
2021-11-11,177,177,181,180,4636500
2021-11-12,180,177,182,182,5409300
2021-11-15,183,182,186,186,5868000
2021-11-16,187,186,189,187,5321300
2021-11-17,187,185,188,187,4127800
2021-11-18,187,185,192,192,7448700
2021-11-19,192,192,196,196,6831100
2021-11-22,196,192,196,193,8238100
2021-11-23,193,192,194,193,2546200
2021-11-24,193,189,194,189,5357700
2021-11-25,188,171,188,171,3277400
2021-11-26,171,154,171,154,1192500
2021-11-29,145,139,145,139,6417300
2021-11-30,138,126,139,126,5334700
2021-12-01,126,114,126,114,3238300
2021-12-02,110,103,125,103,12388500
2021-12-03,103,103,113,113,7065500
2021-12-06,124,102,124,102,13706700
2021-12-07,102,96,105,100,4751600
2021-12-08,107,99,109,102,3634300
2021-12-09,107,99,107,105,1868700
2021-12-10,110,102,110,104,2627100
2021-12-13,104,99,106,102,4462300
2021-12-14,105,101,107,103,3230200
2021-12-15,106,100,106,100,1649400
2021-12-16,104,95,104,99,2101400
2021-12-17,99,97,106,101,6118100
2021-12-20,101,100,111,111,4655700
2021-12-21,111,111,122,122,14176100
2021-12-22,130,113,134,117,12327400
2021-12-23,117,106,119,106,6438100
2021-12-24,99,98,112,102,11217500
2021-12-27,109,100,109,103,5054500
2021-12-28,103,103,113,113,4061000
2021-12-29,119,102,123,106,10235900
2021-12-30,100,100,111,108,1689000
2021-12-31,100,100,111,108,0
2022-01-03,102,102,112,108,1565000
2022-01-04,102,102,117,112,2637100
2022-01-05,112,108,120,111,2665000
2022-01-06,111,108,120,111,3125700
2022-01-07,111,109,120,116,4307500
