timestamp,open,low,high,close,volume
2018-07-09,1750,1645,1750,1715,38058200
2018-07-10,1720,1600,1720,1650,13797800
2018-07-11,1650,1620,1650,1650,4746800
2018-07-12,1655,1615,1655,1650,2103400
2018-07-13,1645,1620,1645,1645,1545800
2018-07-16,1645,1620,1645,1630,5209800
2018-07-17,1625,1605,1640,1640,4192400
2018-07-18,1640,1615,1640,1640,4832300
2018-07-19,1640,1625,1645,1645,3113400
2018-07-20,1640,1635,1645,1645,2766400
2018-07-23,1645,1625,1645,1645,1548000
2018-07-24,1645,1635,1650,1645,893900
2018-07-25,1645,1630,1675,1675,1709800
2018-07-26,1665,1665,1690,1685,943800
2018-07-27,1690,1670,1690,1680,699200
2018-07-30,1675,1645,1680,1650,537100
2018-07-31,1650,1635,1690,1690,592100
2018-08-01,1690,1635,1690,1660,387700
2018-08-02,1660,1655,1670,1660,1723500
2018-08-03,1670,1640,1675,1660,404800
2018-08-06,1640,1635,1640,1640,261600
2018-08-07,1635,1630,1635,1630,1730500
2018-08-08,1630,1605,1630,1605,179900
2018-08-09,1605,1590,1640,1640,2042100
2018-08-10,1620,1600,1640,1640,1058900
2018-08-13,1620,1515,1620,1610,2057900
2018-08-14,1600,1450,1600,1600,1304600
2018-08-15,1590,1510,1590,1570,480900
2018-08-16,1570,1520,1570,1520,23800
2018-08-17,1520,1520,1520,1520,0
2018-08-20,1525,1505,1530,1510,66700
2018-08-21,1500,1475,1500,1480,232600
2018-08-22,1480,1480,1480,1480,0
2018-08-23,1485,1435,1485,1435,295400
2018-08-24,1435,1350,1530,1530,1780500
2018-08-27,1500,1435,1500,1485,1329700
2018-08-28,1485,1425,1500,1500,298300
2018-08-29,1445,1430,1600,1600,1065400
2018-08-30,1600,1505,1600,1505,298600
2018-08-31,1440,1435,1495,1435,246600
2018-09-03,1420,1370,1490,1370,544700
2018-09-04,1370,1300,1370,1300,584100
2018-09-05,1350,1100,1350,1120,618900
2018-09-06,1120,995,1185,1125,3481400
2018-09-07,1125,1095,1200,1140,1890500
2018-09-10,1125,1125,1200,1190,1614200
2018-09-11,1190,1190,1190,1190,0
2018-09-12,1190,1190,1435,1395,2243800
2018-09-13,1420,1420,1500,1485,2997000
2018-09-14,1500,1485,1525,1495,3008500
2018-09-17,1495,1370,1495,1380,596000
2018-09-18,1380,1375,1485,1485,2892400
2018-09-19,1485,1460,1525,1525,2438400
2018-09-20,1520,1515,1625,1585,5403100
2018-09-21,1580,1545,1580,1580,2813800
2018-09-24,1600,1550,1610,1595,6599600
2018-09-25,1595,1580,1680,1680,16197500
2018-09-26,1650,1640,1680,1670,4444100
2018-09-27,1665,1610,1670,1610,1410100
2018-09-28,1650,1610,1650,1640,2231800
2018-10-01,1645,1635,1650,1635,765100
2018-10-02,1650,1610,1650,1610,722000
2018-10-03,1650,1610,1650,1620,199300
2018-10-04,1640,1625,1650,1625,1021800
2018-10-05,1625,1550,1650,1650,419400
2018-10-08,1650,1500,1650,1500,1367400
2018-10-09,1500,1495,1600,1600,885000
2018-10-10,1570,1530,1590,1590,452100
2018-10-11,1550,1515,1585,1585,153500
2018-10-12,1600,1570,1600,1590,7000
2018-10-15,1570,1535,1600,1550,606100
2018-10-16,1585,1555,1585,1580,359400
2018-10-17,1595,1535,1595,1535,1985400
2018-10-18,1545,1505,1550,1535,2697800
2018-10-19,1545,1540,1600,1540,1214400
2018-10-22,1540,1535,1575,1535,608100
2018-10-23,1535,1520,1540,1530,645600
2018-10-24,1530,1490,1570,1550,1234500
2018-10-25,1550,1520,1760,1760,13370900
2018-10-26,1760,1590,1760,1590,996100
2018-10-29,1590,1555,1605,1555,1322500
