timestamp,open,low,high,close,volume
2016-06-29,170,165,230,173,209880000
2016-06-30,170,165,230,173,0
2016-07-01,170,165,230,173,0
2016-07-04,170,165,230,173,0
2016-07-05,170,165,230,173,0
2016-07-06,170,165,230,173,0
2016-07-07,170,165,230,173,0
2016-07-08,170,165,230,173,0
2016-07-11,170,168,175,171,25544400
2016-07-12,171,168,173,168,10622500
2016-07-13,160,160,170,160,13100000
2016-07-14,150,150,160,153,7697500
2016-07-15,153,150,156,155,2714400
2016-07-18,156,151,157,153,3397400
2016-07-19,150,148,154,150,5713900
2016-07-20,147,147,155,153,4775600
2016-07-21,149,149,154,152,2442000
2016-07-22,150,149,152,150,2865800
2016-07-25,151,149,152,149,782500
2016-07-26,149,149,154,150,5607300
2016-07-27,150,149,153,151,4559100
2016-07-28,151,149,153,152,19546200
2016-07-29,152,150,154,150,14200000
2016-08-01,150,149,152,150,13882900
2016-08-02,149,148,151,150,3392300
2016-08-03,150,147,150,147,7187100
2016-08-04,153,147,173,153,24360600
2016-08-05,155,150,157,150,17666400
2016-08-08,150,150,155,152,13798800
2016-08-09,152,149,152,150,18544000
2016-08-10,150,147,152,150,24568800
2016-08-11,151,148,152,148,19828300
2016-08-12,147,146,150,148,6047800
2016-08-15,147,145,148,148,10945100
2016-08-16,148,148,151,151,28754200
2016-08-17,148,148,151,151,0
2016-08-18,152,149,152,149,22158200
2016-08-19,149,147,151,148,22689900
2016-08-22,147,147,151,148,3034100
2016-08-23,146,145,150,149,25202200
2016-08-24,147,146,149,148,27101000
2016-08-25,147,145,150,147,20184400
2016-08-26,147,146,148,147,26065100
2016-08-29,147,145,148,148,18370400
2016-08-30,148,145,148,147,30125100
2016-08-31,147,146,148,148,28676700
2016-09-01,148,148,150,148,30986200
2016-09-02,150,147,150,148,18825300
2016-09-05,146,146,148,147,26136300
2016-09-06,147,146,149,149,25883500
2016-09-07,146,145,148,148,35797200
2016-09-08,146,146,147,147,21057800
2016-09-09,145,145,149,147,16538100
