timestamp,open,low,high,close,volume
2019-07-04,254,254,254,254,600
2019-07-05,316,316,316,316,47400
2019-07-08,394,352,394,354,52205700
2019-07-09,354,342,398,390,38512800
2019-07-10,390,374,404,378,12999700
2019-07-11,378,330,378,334,19495700
2019-07-12,334,306,362,358,65342700
2019-07-15,358,354,372,360,16762200
2019-07-16,360,344,360,360,11552600
2019-07-17,360,360,450,450,91836600
2019-07-18,454,444,515,498,104543600
2019-07-19,498,384,515,448,96746100
2019-07-22,442,408,442,424,16164700
2019-07-23,426,408,436,408,23538900
2019-07-24,410,392,422,412,33344900
2019-07-25,406,396,408,402,7500100
2019-07-26,400,394,408,394,5682100
2019-07-29,394,380,402,402,19909800
2019-07-30,398,396,422,420,21145000
2019-07-31,416,404,430,420,19497200
2019-08-01,422,404,444,406,28307200
2019-08-02,408,394,418,400,15794700
2019-08-05,396,388,412,410,31235300
2019-08-06,410,388,410,396,13196200
2019-08-07,396,392,418,406,26439500
2019-08-08,406,400,426,414,17839600
2019-08-09,416,410,424,418,11611400
2019-08-12,418,416,486,480,73531600
2019-08-13,476,460,500,478,39992700
2019-08-14,482,478,525,496,52050200
2019-08-15,488,478,515,500,24618600
2019-08-16,500,490,520,490,22197500
2019-08-19,494,480,498,480,15964800
2019-08-20,482,476,492,486,16967800
2019-08-21,486,476,530,525,44802300
2019-08-22,525,510,585,560,52059500
2019-08-23,555,530,570,540,19001800
2019-08-26,535,520,560,530,25137600
2019-08-27,530,520,550,525,22647200
2019-08-28,530,510,545,540,35175300
2019-08-29,540,530,555,545,23058400
2019-08-30,550,540,565,550,23006300
2019-09-02,545,458,550,458,32186500
2019-09-03,458,344,458,352,15404600
2019-09-04,352,264,366,264,49094700
2019-09-05,262,236,288,270,41197900
2019-09-06,270,270,310,276,50161100
2019-09-09,278,260,278,266,11372500
2019-09-10,266,248,266,252,8021400
2019-09-11,258,252,280,266,43933700
2019-09-12,266,256,268,256,22105200
2019-09-13,256,248,256,248,6576200
2019-09-16,248,200,250,234,26091600
2019-09-17,234,218,254,236,42026800
2019-09-18,236,232,252,238,22777400
2019-09-19,238,226,238,228,8620700
2019-09-20,228,218,232,230,14493900
2019-09-23,230,226,238,230,8116800
2019-09-24,228,218,246,218,49757500
2019-09-25,220,204,226,226,27006400
2019-09-26,222,206,224,212,20636400
2019-09-27,212,208,218,212,6479800
2019-09-30,212,199,218,200,36650400
2019-10-01,200,199,210,202,10432500
2019-10-02,202,192,206,198,30955600
2019-10-03,197,185,197,191,10449900
2019-10-04,191,187,204,194,40061600
2019-10-07,194,178,196,181,19402000
2019-10-08,181,165,184,168,53355500
2019-10-09,168,159,177,173,64262500
2019-10-10,175,169,177,174,22237600
2019-10-11,174,174,180,178,25563800
2019-10-14,178,174,189,186,97095500
2019-10-15,186,180,194,182,111810800
2019-10-16,183,171,189,185,72243400
2019-10-17,185,177,190,179,39992100
2019-10-18,179,170,182,171,23312100
2019-10-21,171,163,172,167,38224700
2019-10-22,168,165,172,168,23128800
2019-10-23,168,157,168,157,35188700
2019-10-24,158,153,160,155,13652700
2019-10-25,155,151,157,156,23568500
2019-10-28,157,155,160,156,17530600
2019-10-29,156,155,159,157,9008400
2019-10-30,157,156,169,161,60233400
2019-10-31,161,156,166,163,31631200
2019-11-01,164,155,166,156,12618400
2019-11-04,156,152,160,154,11232800
2019-11-05,154,151,156,153,10457200
2019-11-06,153,111,153,120,32716400
2019-11-07,121,112,129,115,18185600
2019-11-08,114,75,118,81,19666000
2019-11-11,81,76,109,109,125037000
2019-11-12,117,103,121,113,99630000
2019-11-13,114,107,119,109,47224000
2019-11-14,109,99,116,100,49966300
2019-11-15,100,95,106,96,19019800
2019-11-18,96,93,103,99,37043000
2019-11-19,89,89,103,100,16418600
2019-11-20,100,96,117,109,125458300
2019-11-21,106,95,111,96,45693800
2019-11-22,89,86,104,93,41367500
2019-11-25,92,87,94,87,12440700
2019-11-26,88,83,88,87,14857400
2019-11-27,87,83,96,88,65082100
2019-11-28,89,80,89,83,14032900
2019-11-29,83,77,84,82,9201400
2019-12-02,83,81,88,84,26539600
2019-12-03,82,80,90,85,19655700
2019-12-04,85,81,85,81,7058700
2019-12-05,82,78,83,79,16989300
2019-12-06,79,76,79,76,5279600
2019-12-09,76,74,78,77,10973400
2019-12-10,77,75,79,78,9261100
2019-12-11,79,75,79,78,5701200
2019-12-12,77,75,78,78,6124000
2019-12-13,78,74,78,78,5694300
2019-12-16,77,76,83,81,46275400
2019-12-17,80,77,86,86,34062500
2019-12-18,86,81,87,82,13434600
2019-12-19,82,78,83,79,13019700
2019-12-20,79,78,81,80,7235800
2019-12-23,80,75,80,76,9123800
2019-12-24,80,75,80,76,0
2019-12-25,80,75,80,76,0
2019-12-26,77,73,77,73,9130500
2019-12-27,63,63,74,69,14239200
2019-12-30,59,59,70,68,7120900
2019-12-31,59,59,70,68,0
2020-01-01,59,59,70,68,0
2020-01-02,68,66,69,66,1453100
2020-01-03,66,64,73,67,17138200
2020-01-06,67,65,69,68,14102500
2020-01-07,68,66,70,67,10618700
2020-01-08,57,57,68,65,11976900
2020-01-09,64,63,66,65,6787700
2020-01-10,57,57,70,65,13442300
2020-01-13,65,65,69,67,21166000
2020-01-14,67,65,70,66,13430500
2020-01-15,66,62,89,89,58282200
2020-01-16,96,90,118,111,106799700
2020-01-17,111,87,111,89,32420100
2020-01-20,93,62,94,72,92974800
2020-01-21,63,63,97,91,220848900
2020-01-22,82,79,92,80,44554000
2020-01-23,84,78,91,81,54983200
2020-01-24,80,79,86,79,10779300
2020-01-27,79,73,81,74,7249500
2020-01-28,72,72,93,82,84435400
2020-01-29,81,80,87,83,14506700
2020-01-30,79,79,86,81,4729600
2020-01-31,81,77,81,79,3528800
2020-02-03,78,69,79,73,5183800
2020-02-04,75,75,89,80,29242700
2020-02-05,81,74,82,76,10997100
2020-02-06,78,76,80,78,4713400
2020-02-07,78,75,79,76,2605100
2020-02-10,76,74,80,78,7820300
2020-02-11,79,75,79,75,5152200
2020-02-12,76,70,76,70,5059200
2020-02-13,71,66,76,69,7644400
2020-02-14,70,66,71,68,2377400
2020-02-17,68,65,69,66,4289300
2020-02-18,63,63,68,65,2671800
2020-02-19,55,55,66,63,4445900
2020-02-20,62,62,73,65,22280500
2020-02-21,66,63,67,64,5093900
2020-02-24,65,61,66,61,2888400
2020-02-25,61,61,65,63,2334400
2020-02-26,62,57,63,57,3469100
2020-02-27,57,50,58,52,12886800
2020-02-28,52,50,52,50,4146500
2020-03-02,50,50,53,50,2751000
2020-03-03,51,50,62,61,6631800
2020-03-04,61,57,63,59,3768600
2020-03-05,59,56,60,56,2174600
2020-03-06,56,54,56,55,655400
2020-03-09,52,50,55,53,3910100
2020-03-10,53,51,62,53,5275500
2020-03-11,53,51,55,52,1887000
2020-03-12,52,50,52,50,2970100
2020-03-13,50,50,51,50,3439000
2020-03-16,50,50,50,50,160300
2020-03-17,50,50,50,50,83900
2020-03-18,50,50,50,50,36300
2020-03-19,50,50,50,50,27000
2020-03-20,50,50,50,50,188300
2020-03-23,50,50,50,50,9200
2020-03-24,50,50,50,50,592300
2020-03-25,50,50,50,50,0
2020-03-26,50,50,57,51,9880000
2020-03-27,51,50,52,50,4099100
2020-03-30,50,50,52,50,722500
2020-03-31,50,50,51,50,205000
2020-04-01,50,50,51,50,1061400
2020-04-02,50,50,51,50,809500
2020-04-03,50,50,50,50,147900
2020-04-06,50,50,50,50,986500
2020-04-07,50,50,59,53,22801000
2020-04-08,55,50,55,50,4601200
2020-04-09,51,50,52,50,2965500
2020-04-10,51,50,52,50,0
2020-04-13,50,50,51,50,1334200
2020-04-14,50,50,51,51,970200
2020-04-15,51,50,51,50,958600
2020-04-16,50,50,51,50,509700
2020-04-17,50,50,50,50,137300
2020-04-20,50,50,51,50,30000
2020-04-21,50,50,50,50,14700
2020-04-22,50,50,50,50,24100
2020-04-23,50,50,50,50,49900
2020-04-24,50,50,50,50,30300
2020-04-27,50,50,50,50,24400
2020-04-28,50,50,51,50,1003100
2020-04-29,50,50,55,50,5463900
2020-04-30,51,50,51,50,966600
2020-05-01,51,50,51,50,0
2020-05-04,50,50,51,51,996200
2020-05-05,51,50,51,50,1423200
2020-05-06,51,50,51,50,675200
2020-05-07,51,50,51,50,0
2020-05-08,50,50,51,50,559000
2020-05-11,50,50,51,50,423400
2020-05-12,50,50,50,50,11000
2020-05-13,50,50,50,50,25000
2020-05-14,50,50,50,50,23500
2020-05-15,50,50,50,50,3300
2020-05-18,50,50,50,50,130000
2020-05-19,50,50,50,50,35900
2020-05-20,50,50,50,50,46500
2020-05-21,50,50,50,50,0
2020-05-22,50,50,50,50,0
2020-05-25,50,50,50,50,0
2020-05-26,50,50,50,50,181300
2020-05-27,50,50,50,50,185600
2020-05-28,50,50,50,50,313500
2020-05-29,50,50,51,50,1147900
2020-06-01,50,50,51,50,0
2020-06-02,50,50,51,50,248200
2020-06-03,50,50,50,50,404800
2020-06-04,50,50,52,50,1975800
2020-06-05,50,50,51,50,783200
2020-06-08,50,50,52,52,4487400
2020-06-09,52,51,54,51,1971100
2020-06-10,51,50,52,51,1084700
2020-06-11,52,50,52,50,1085500
2020-06-12,50,50,51,51,182000
2020-06-15,51,50,51,50,524600
2020-06-16,50,50,51,51,1096500
2020-06-17,51,50,51,51,1198400
2020-06-18,50,50,50,50,210700
2020-06-19,50,50,51,50,359400
2020-06-22,50,50,50,50,7000
2020-06-23,50,50,50,50,82100
2020-06-24,50,50,51,50,789000
2020-06-25,50,50,51,50,1120300
2020-06-26,50,50,50,50,561300
2020-06-29,50,50,50,50,359700
2020-06-30,50,50,50,50,722800
2020-07-01,50,50,50,50,2300
2020-07-02,50,50,50,50,7500
2020-07-03,50,50,50,50,16600
2020-07-06,50,50,50,50,329500
2020-07-07,50,50,50,50,73800
2020-07-08,50,50,50,50,842900
2020-07-09,50,50,51,50,1403600
2020-07-10,50,50,51,50,138000
2020-07-13,50,50,51,50,388900
2020-07-14,50,50,62,53,23202800
2020-07-15,53,52,56,52,6682700
2020-07-16,52,52,56,53,1518000
2020-07-17,53,52,54,54,1818800
2020-07-20,54,52,56,53,1544000
2020-07-21,53,52,54,52,2068800
2020-07-22,53,52,54,53,1878200
2020-07-23,52,51,53,52,575700
2020-07-24,53,51,70,53,10918400
2020-07-27,54,52,54,53,2020000
2020-07-28,53,52,54,53,1346400
2020-07-29,53,52,54,52,547500
2020-07-30,52,50,53,51,1308300
2020-07-31,52,50,53,51,0
2020-08-03,50,50,51,50,2212900
2020-08-04,50,50,51,50,134300
2020-08-05,50,50,51,50,484400
2020-08-06,50,50,50,50,371100
2020-08-07,50,50,51,50,246900
2020-08-10,50,50,50,50,358300
2020-08-11,50,50,51,51,108900
2020-08-12,50,50,51,50,508300
2020-08-13,50,50,51,50,111500
2020-08-14,50,50,50,50,157400
2020-08-17,50,50,50,50,0
2020-08-18,50,50,51,50,172600
2020-08-19,50,50,50,50,36600
2020-08-20,50,50,50,50,0
2020-08-21,50,50,50,50,0
2020-08-24,50,50,50,50,260400
2020-08-25,50,50,50,50,86800
2020-08-26,50,50,50,50,121000
2020-08-27,50,50,50,50,2900
2020-08-28,50,50,50,50,10000
2020-08-31,50,50,51,50,353800
2020-09-01,50,50,50,50,124200
2020-09-02,50,50,50,50,300600
2020-09-03,50,50,50,50,22700
2020-09-04,50,50,50,50,63200
2020-09-07,50,50,50,50,1500
2020-09-08,50,50,50,50,800
2020-09-09,50,50,50,50,2900
2020-09-10,50,50,50,50,3300
2020-09-11,50,50,50,50,81500
2020-09-14,50,50,50,50,3000
2020-09-15,50,50,50,50,1000
2020-09-16,50,50,50,50,5100
2020-09-17,50,50,50,50,3100
2020-09-18,50,50,50,50,93200
2020-09-21,50,50,50,50,146000
2020-09-22,50,50,50,50,2000
2020-09-23,50,50,50,50,1500
2020-09-24,50,50,50,50,1600
2020-09-25,50,50,50,50,2800
2020-09-28,50,50,50,50,4200
2020-09-29,50,50,50,50,4500
2020-09-30,50,50,50,50,0
2020-10-01,50,50,56,50,16774200
2020-10-02,51,50,52,51,3160300
2020-10-05,51,51,53,52,3784900
2020-10-06,52,52,70,70,26731300
2020-10-07,73,70,94,94,32532900
2020-10-08,99,88,113,88,58751500
2020-10-09,82,82,82,82,878700
2020-10-12,77,77,77,77,508700
2020-10-13,72,72,72,72,478100
2020-10-14,67,67,67,67,341600
2020-10-15,63,63,63,63,221300
2020-10-16,59,59,66,59,26806500
2020-10-19,55,55,55,55,1786400
2020-10-20,52,52,52,52,1827300
2020-10-21,50,50,59,50,38504000
2020-10-22,50,50,55,51,9707800
2020-10-23,52,50,52,50,2251500
2020-10-26,50,50,54,51,4447400
2020-10-27,51,50,53,51,1598000
2020-10-28,51,50,53,51,0
2020-10-29,51,50,53,51,0
2020-10-30,51,50,53,51,0
2020-11-02,51,50,51,50,3698500
2020-11-03,50,50,59,51,13082600
2020-11-04,51,50,54,51,2789000
2020-11-05,51,51,64,55,30752400
2020-11-06,56,52,60,57,10784800
2020-11-09,57,57,64,58,11590900
2020-11-10,58,55,60,55,3355300
2020-11-11,55,52,57,53,3524800
2020-11-12,53,53,55,53,1192900
2020-11-13,54,53,55,54,1664300
2020-11-16,55,53,55,53,1719700
2020-11-17,54,53,54,53,543300
2020-11-18,53,52,58,58,11030100
2020-11-19,59,58,64,58,16111900
2020-11-20,59,56,61,56,5612100
2020-11-23,55,55,58,57,3826200
2020-11-24,57,56,64,58,11063700
2020-11-25,59,58,66,61,10885600
2020-11-26,62,62,79,75,37568500
2020-11-27,76,70,78,71,14659000
2020-11-30,71,68,76,69,9524600
2020-12-01,68,65,74,70,9315900
2020-12-02,70,69,76,70,8887100
2020-12-03,71,69,71,70,1758200
2020-12-04,72,69,75,70,10648200
2020-12-07,70,70,78,76,15553800
2020-12-08,76,76,87,81,16615000
2020-12-09,76,76,87,81,0
2020-12-10,83,81,99,85,39047300
2020-12-11,87,80,88,82,12286100
2020-12-14,83,82,90,84,14402600
2020-12-15,90,83,91,85,9590500
2020-12-16,86,84,89,85,10353300
2020-12-17,86,83,87,84,3579200
2020-12-18,84,83,87,85,6519800
2020-12-21,85,84,87,84,2958100
2020-12-22,84,80,85,81,2821400
2020-12-23,81,76,81,78,2965800
2020-12-24,81,76,81,78,0
2020-12-25,81,76,81,78,0
2020-12-28,79,78,84,82,6921500
2020-12-29,83,79,84,80,3014200
2020-12-30,81,76,81,77,2208100
2020-12-31,81,76,81,77,0
2021-01-01,81,76,81,77,0
2021-01-04,77,73,79,78,1257700
2021-01-05,79,76,82,77,4070900
2021-01-06,77,76,82,81,3233700
2021-01-07,81,78,83,80,797900
2021-01-08,80,80,83,81,2189600
2021-01-11,82,79,85,80,3967900
2021-01-12,84,75,84,75,7215100
2021-01-13,74,70,82,79,12469800
2021-01-14,80,76,95,88,46601300
2021-01-15,88,85,98,88,14264700
2021-01-18,89,86,97,88,17785500
2021-01-19,90,85,90,87,5874700
2021-01-20,86,81,88,84,7590800
2021-01-21,85,82,85,82,3050300
