timestamp,open,low,high,close,volume
2020-09-07,374,374,374,374,11000
2020-09-08,466,466,466,466,23600
2020-09-09,580,530,580,580,1389300
2020-09-10,700,540,725,600,4928900
2020-09-11,580,560,600,600,1511600
2020-09-14,600,560,600,600,1602200
2020-09-15,560,560,585,560,458500
2020-09-16,560,525,560,525,466900
2020-09-17,498,490,580,530,287000
2020-09-18,540,494,580,510,153900
2020-09-21,560,478,560,500,145400
2020-09-22,550,472,550,500,68700
2020-09-23,550,520,550,520,7800
2020-09-24,570,484,570,525,298200
2020-09-25,570,490,570,540,193400
2020-09-28,590,520,590,520,11600
2020-09-29,550,505,600,565,202900
2020-09-30,605,530,605,565,45900
2020-10-01,615,540,615,560,32300
2020-10-02,600,545,600,565,1900
2020-10-05,595,545,595,565,26800
2020-10-06,590,565,590,580,7400
2020-10-07,590,580,590,580,1800
2020-10-08,600,560,600,560,20000
2020-10-09,580,540,580,580,131800
2020-10-12,585,550,585,580,33700
2020-10-13,595,560,595,580,115100
2020-10-14,590,550,590,580,13500
2020-10-15,595,550,595,575,27400
2020-10-16,625,570,625,580,43800
2020-10-19,630,550,630,585,58300
2020-10-20,595,580,595,585,11600
2020-10-21,635,560,635,570,6000
2020-10-22,595,545,595,590,47300
2020-10-23,590,565,590,575,7400
2020-10-26,590,570,590,570,4800
2020-10-27,580,580,580,580,300
2020-10-28,580,580,580,580,0
2020-10-29,580,580,580,580,0
2020-10-30,580,580,580,580,0
2020-11-02,630,545,630,575,22500
2020-11-03,625,555,625,585,37400
2020-11-04,635,565,635,575,21700
2020-11-05,625,550,625,570,30700
2020-11-06,580,550,580,570,33200
2020-11-09,590,550,590,575,65800
2020-11-10,595,550,595,575,97200
2020-11-11,625,540,625,560,71800
2020-11-12,570,540,570,550,4700
2020-11-13,560,530,560,550,21800
2020-11-16,600,545,600,550,3200
2020-11-17,550,515,550,540,33900
2020-11-18,550,505,550,540,18800
2020-11-19,590,505,590,505,205800
2020-11-20,555,470,555,492,92000
2020-11-23,530,458,530,458,422400
2020-11-24,478,426,525,428,537300
2020-11-25,448,400,448,400,395100
2020-11-26,420,388,420,400,83900
2020-11-27,420,390,428,428,82000
2020-11-30,448,400,448,416,54000
2020-12-01,436,400,436,418,31400
2020-12-02,438,400,438,404,45400
2020-12-03,424,396,424,406,7500
2020-12-04,426,406,426,406,2600
2020-12-07,426,390,426,390,14600
2020-12-08,406,390,414,414,273700
2020-12-09,406,390,414,414,0
2020-12-10,420,406,505,498,237100
2020-12-11,515,492,515,496,14400
2020-12-14,515,462,515,462,152000
2020-12-15,482,462,482,480,6000
2020-12-16,470,462,470,462,6000
2020-12-17,482,466,482,466,500
2020-12-18,466,466,470,470,1900
2020-12-21,472,450,472,470,132400
2020-12-22,490,440,490,440,65800
2020-12-23,460,410,472,460,139300
2020-12-24,460,410,472,460,0
2020-12-25,460,410,472,460,0
2020-12-28,480,428,480,448,60200
2020-12-29,468,430,468,466,2900
2020-12-30,486,466,486,470,101100
2020-12-31,486,466,486,470,0
2021-01-01,486,466,486,470,0
2021-01-04,472,468,472,468,1100
2021-01-05,488,456,488,488,185300
2021-01-06,505,464,505,500,116800
2021-01-07,520,476,585,500,51300
2021-01-08,550,500,550,540,47200
2021-01-11,560,515,560,515,80700
2021-01-12,525,480,525,520,14400
2021-01-13,570,500,570,530,1700
2021-01-14,580,500,580,550,102100
2021-01-15,600,515,600,530,5400
2021-01-18,580,540,580,540,700
2021-01-19,590,520,590,540,56300
2021-01-20,540,540,540,540,100
2021-01-21,590,505,590,505,10300
2021-01-22,550,535,550,535,3400
2021-01-25,535,498,540,540,42200
2021-01-26,560,540,560,540,1100
2021-01-27,560,505,560,535,2400
