timestamp,open,low,high,close,volume
2008-04-09,178,169,198,196,237226600
2008-04-10,208,200,226,208,164533950
2008-04-11,208,160,213,191,103628225
2008-04-14,173,165,191,173,5463650
2008-04-15,165,160,182,165,7194975
2008-04-16,165,134,165,134,8826825
2008-04-17,134,121,146,141,23308200
2008-04-18,141,139,155,152,30226025
2008-04-21,156,152,160,156,26771425
2008-04-22,156,152,160,156,13403825
2008-04-23,161,155,162,161,20593050
2008-04-24,159,157,162,159,4651750
2008-04-25,154,153,159,154,3818000
2008-04-28,150,149,154,150,4608625
2008-04-29,150,149,153,150,6371000
2008-04-30,150,146,150,146,2664550
2008-05-01,150,146,150,146,0
2008-05-02,150,146,150,146,0
2008-05-05,147,144,147,145,3078550
2008-05-06,145,145,149,147,3027950
2008-05-07,147,146,149,146,2615675
2008-05-08,146,145,146,145,903900
2008-05-09,145,145,147,146,2044125
2008-05-12,146,145,153,146,4750650
2008-05-13,146,145,149,146,3256225
2008-05-14,146,145,146,146,406525
2008-05-15,146,142,146,145,4467750
2008-05-16,146,139,146,145,62675
2008-05-19,146,139,146,145,0
2008-05-20,146,139,146,145,0
2008-05-21,135,135,145,135,796950
2008-05-22,132,130,138,135,103500
2008-05-23,130,129,136,135,148350
2008-05-26,130,126,132,126,292100
2008-05-27,130,121,130,121,607775
2008-05-28,121,121,129,122,13800
2008-05-29,121,121,126,121,359375
2008-05-30,122,121,128,128,22425
2008-06-02,121,113,121,120,133975
2008-06-03,123,115,126,123,43700
2008-06-04,122,115,122,122,13225
2008-06-05,120,120,123,120,39100
2008-06-06,113,113,117,113,139150
2008-06-09,114,113,120,114,66125
2008-06-10,108,106,109,106,132250
2008-06-11,109,104,111,109,32200
2008-06-12,111,100,112,104,73600
2008-06-13,104,103,117,113,101775
2008-06-16,120,104,120,104,73600
2008-06-17,100,93,110,106,268525
2008-06-18,104,93,104,94,45425
2008-06-19,91,90,95,91,49450
2008-06-20,95,79,95,95,1283975
2008-06-23,82,82,95,95,72450
2008-06-24,82,82,86,86,822825
2008-06-25,91,85,91,85,546825
2008-06-26,86,86,87,86,817075
2008-06-27,78,78,86,86,104650
2008-06-30,85,83,86,85,456550
2008-07-01,78,78,95,86,784875
2008-07-02,88,87,88,88,109250
2008-07-03,78,76,86,86,373750
2008-07-04,86,86,86,86,2875
2008-07-07,80,78,88,80,431825
2008-07-08,79,79,84,79,124775
2008-07-09,86,85,86,86,66125
2008-07-10,79,79,82,79,265075
2008-07-11,79,79,79,79,494500
2008-07-14,78,78,78,78,115000
2008-07-15,76,76,77,76,63250
2008-07-16,76,69,76,76,158125
2008-07-17,76,76,76,76,2
2008-07-18,53,53,78,77,120750
2008-07-21,77,77,77,77,2
2008-07-22,78,78,86,86,83375
2008-07-23,86,86,86,86,0
2008-07-24,78,78,86,86,324300
2008-07-25,86,86,86,86,2
2008-07-28,78,78,78,78,57500
2008-07-29,69,69,79,78,83950
2008-07-30,69,69,79,78,0
2008-07-31,82,78,82,78,55200
