timestamp,open,low,high,close,volume
2019-07-09,340,340,340,340,107900
2019-07-10,424,360,424,424,7780800
2019-07-11,440,364,464,426,15314700
2019-07-12,428,424,432,428,1618200
2019-07-15,428,350,446,432,1447800
2019-07-16,436,432,450,442,12912300
2019-07-17,442,412,442,414,13454300
2019-07-18,412,408,416,408,13220800
2019-07-19,408,404,410,404,12641400
2019-07-22,404,402,404,404,260700
2019-07-23,404,402,404,402,171200
2019-07-24,404,402,404,402,284300
2019-07-25,404,402,404,402,113100
2019-07-26,402,402,404,402,336200
2019-07-29,404,402,404,402,103900
2019-07-30,404,402,406,404,1621800
2019-07-31,404,402,406,404,9693300
2019-08-01,404,404,410,406,10243800
2019-08-02,404,402,410,408,10889300
2019-08-05,408,402,408,402,3990300
2019-08-06,398,398,400,398,492400
2019-08-07,400,396,400,396,3124000
2019-08-08,396,396,402,400,4086200
2019-08-09,396,396,402,400,2606200
2019-08-12,398,398,404,404,4408100
2019-08-13,402,400,406,404,5016900
2019-08-14,402,400,410,408,14178400
2019-08-15,406,400,406,406,12116800
2019-08-16,404,402,408,406,12146900
2019-08-19,406,404,412,406,15283900
2019-08-20,404,404,406,404,222600
2019-08-21,402,400,498,490,8567300
2019-08-22,490,482,490,482,4518700
2019-08-23,480,472,480,474,9767700
2019-08-26,450,446,452,452,6813600
2019-08-27,452,450,456,454,1335200
2019-08-28,452,450,456,450,14986500
2019-08-29,450,450,454,452,3214400
2019-08-30,450,450,470,470,10304800
2019-09-02,470,466,470,470,6002000
2019-09-03,468,466,472,470,8896400
2019-09-04,470,470,490,488,13860200
2019-09-05,488,486,550,505,2613600
2019-09-06,505,490,510,490,12180200
2019-09-09,500,470,500,476,8275800
2019-09-10,474,460,478,464,3532300
2019-09-11,458,448,460,450,22305400
2019-09-12,452,448,452,450,14030900
2019-09-13,450,450,452,450,13418700
2019-09-16,452,450,490,478,13678000
2019-09-17,486,480,570,550,5315100
2019-09-18,565,565,605,600,15480300
2019-09-19,605,595,610,595,11499800
2019-09-20,570,550,605,595,9190000
2019-09-23,595,595,600,595,8843300
2019-09-24,595,595,600,595,9393700
2019-09-25,600,600,620,620,5414900
2019-09-26,620,615,650,640,8322100
2019-09-27,640,625,640,625,4732000
2019-09-30,625,605,630,605,6502800
2019-10-01,605,600,620,620,9316900
2019-10-02,620,615,635,620,9325900
2019-10-03,600,600,630,600,11475500
2019-10-04,600,580,600,585,3792700
2019-10-07,585,580,605,595,6382900
2019-10-08,595,595,620,605,11115500
2019-10-09,600,600,620,620,8554400
2019-10-10,610,610,625,615,13878400
2019-10-11,615,610,630,625,8273000
2019-10-14,625,615,625,620,1792800
2019-10-15,625,620,635,620,9682900
2019-10-16,620,615,700,670,20250400
2019-10-17,675,660,680,660,12842400
2019-10-18,670,660,685,670,14384300
2019-10-21,660,655,665,660,740300
2019-10-22,660,635,680,650,10338200
2019-10-23,645,645,655,650,2942500
2019-10-24,650,645,665,650,13470600
2019-10-25,650,645,670,660,7264600
2019-10-28,660,655,750,685,12321800
2019-10-29,685,680,720,705,11773600
2019-10-30,685,680,695,690,8402600
2019-10-31,690,685,695,690,19404100
2019-11-01,685,645,685,645,9219200
2019-11-04,645,605,645,605,6664000
2019-11-05,610,610,625,620,8234900
2019-11-06,615,610,620,610,5746200
2019-11-07,610,600,610,610,13322800
2019-11-08,605,605,620,610,10763900
2019-11-11,610,605,615,610,9316900
2019-11-12,610,600,615,600,13095000
2019-11-13,595,595,610,600,8445300
2019-11-14,605,605,625,620,14416500
2019-11-15,615,610,620,610,4205700
2019-11-18,605,560,615,615,3600200
2019-11-19,610,605,615,615,10214200
2019-11-20,620,615,625,620,11101300
2019-11-21,615,610,615,610,2820800
2019-11-22,610,610,625,610,16623900
2019-11-25,610,610,615,615,8766800
2019-11-26,615,610,625,610,10539700
2019-11-27,595,575,600,580,25798400
2019-11-28,550,540,580,540,16216100
2019-11-29,500,500,675,675,46801700
2019-12-02,695,695,720,710,19549100
2019-12-03,740,740,755,755,8938300
2019-12-04,760,760,800,800,9285200
2019-12-05,800,790,810,800,17513900
2019-12-06,800,790,805,790,23108300
2019-12-09,785,750,785,750,3629000
2019-12-10,745,745,755,750,783500
2019-12-11,750,740,755,745,4226800
2019-12-12,750,745,755,745,7025500
2019-12-13,750,750,775,765,28223700
2019-12-16,755,750,765,755,29589300
2019-12-17,745,730,745,735,13531600
2019-12-18,735,725,735,730,22804700
2019-12-19,775,725,775,730,19289700
2019-12-20,730,725,735,730,5688900
2019-12-23,730,730,740,735,8308000
2019-12-24,730,730,740,735,0
2019-12-25,730,730,740,735,0
2019-12-26,750,750,770,770,13784300
2019-12-27,770,770,825,825,16646500
2019-12-30,840,825,845,835,22610800
2019-12-31,840,825,845,835,0
2020-01-01,840,825,845,835,0
2020-01-02,835,820,840,825,16392500
2020-01-03,825,815,830,815,21019600
2020-01-06,825,815,840,815,21162200
2020-01-07,815,805,820,810,19396100
2020-01-08,810,805,815,810,23749400
2020-01-09,805,740,810,740,18286900
2020-01-10,700,555,740,700,26648900
2020-01-13,700,530,700,690,31958000
2020-01-14,685,570,690,680,30325700
2020-01-15,650,645,705,705,29310600
2020-01-16,705,675,705,690,34694400
2020-01-17,675,665,685,670,31490400
2020-01-20,665,580,665,645,31587300
2020-01-21,630,625,645,640,35239900
2020-01-22,630,620,635,625,30279900
2020-01-23,605,600,630,610,30331400
2020-01-24,605,600,720,720,36364700
2020-01-27,720,700,750,720,16777600
2020-01-28,695,690,740,740,18626800
2020-01-29,745,735,770,765,24335900
2020-01-30,770,760,770,760,16675100
2020-01-31,765,755,770,770,17494500
2020-02-03,750,665,765,755,15538100
2020-02-04,760,755,760,755,14216200
2020-02-05,760,750,760,750,16618000
2020-02-06,750,745,755,750,8879700
2020-02-07,755,710,755,740,9401800
2020-02-10,740,675,740,695,9218900
2020-02-11,700,695,705,705,7547300
2020-02-12,705,695,705,700,7431400
2020-02-13,700,695,700,700,7329100
2020-02-14,700,650,720,720,9146800
2020-02-17,705,680,710,700,7477200
2020-02-18,700,690,700,700,8900200
2020-02-19,695,685,700,700,7448500
2020-02-20,695,695,800,725,9420200
2020-02-21,710,690,750,690,10933900
2020-02-24,690,680,750,720,11155400
2020-02-25,695,690,710,700,11522200
2020-02-26,685,630,690,675,8922700
2020-02-27,665,650,680,680,9978100
2020-02-28,665,640,665,665,10870400
2020-03-02,660,650,695,670,9276200
2020-03-03,710,670,710,670,7535200
2020-03-04,710,650,710,700,8378900
2020-03-05,675,670,675,670,9105300
2020-03-06,660,660,690,690,8050100
2020-03-09,690,615,695,665,8613000
2020-03-10,665,620,665,620,7881900
2020-03-11,665,600,665,600,5017000
2020-03-12,580,580,590,590,8514200
2020-03-13,585,550,585,550,33500
2020-03-16,515,515,515,515,30600
2020-03-17,480,480,500,482,5017000
2020-03-18,450,450,450,450,9600
2020-03-19,450,450,450,450,100
2020-03-20,440,420,440,420,15001500
2020-03-23,392,392,394,392,850400
2020-03-24,380,378,380,378,151500
2020-03-25,380,378,380,378,0
2020-03-26,380,380,450,450,1856900
2020-03-27,420,420,430,420,1203900
2020-03-30,420,420,420,420,200000
2020-03-31,420,420,520,515,3672400
2020-04-01,525,515,525,525,500
2020-04-02,520,520,525,525,300
2020-04-03,520,492,520,520,12500
2020-04-06,525,490,525,525,11400
2020-04-07,525,520,525,525,400
2020-04-08,525,520,525,520,300
2020-04-09,520,520,520,520,0
2020-04-10,520,520,520,520,0
2020-04-13,484,484,488,486,2500
2020-04-14,486,486,496,486,3200
2020-04-15,500,486,500,486,6900
2020-04-16,500,500,500,500,500
2020-04-17,470,470,500,500,50400
2020-04-20,500,500,520,515,30200
2020-04-21,515,515,515,515,0
2020-04-22,500,500,500,500,500
2020-04-23,510,476,510,505,2400600
2020-04-24,498,470,500,470,2405400
2020-04-27,498,480,500,500,2805700
2020-04-28,466,466,500,500,3200500
2020-04-29,498,470,498,470,2425100
2020-04-30,470,440,500,500,281700
2020-05-01,470,440,500,500,0
2020-05-04,498,470,498,470,2003900
2020-05-05,490,464,490,470,7007600
2020-05-06,480,468,480,478,7016400
2020-05-07,480,468,480,478,0
2020-05-08,470,452,480,480,7013500
2020-05-11,470,450,480,470,5017000
2020-05-12,478,476,480,480,1001100
2020-05-13,478,470,480,480,2000600
2020-05-14,470,470,480,470,6350800
2020-05-15,470,462,470,466,5250300
2020-05-18,468,466,468,466,4003000
2020-05-19,436,434,505,500,4836000
2020-05-20,500,492,620,600,4325900
2020-05-21,500,492,620,600,0
2020-05-22,500,492,620,600,0
2020-05-25,500,492,620,600,0
2020-05-26,600,575,630,620,9857700
2020-05-27,620,600,655,650,12675900
2020-05-28,680,650,680,680,8507400
2020-05-29,680,670,700,700,14983100
2020-06-01,680,670,700,700,0
2020-06-02,690,660,720,660,7302500
2020-06-03,670,620,680,665,7134600
2020-06-04,665,660,715,690,15454800
2020-06-05,690,670,690,685,11572800
2020-06-08,685,655,690,655,10577200
2020-06-09,655,640,670,665,10829300
2020-06-10,660,640,660,655,12313000
2020-06-11,660,640,660,650,9019000
2020-06-12,640,630,645,635,15976900
2020-06-15,635,620,650,650,9615000
2020-06-16,645,630,665,665,9053500
2020-06-17,650,630,650,640,9429100
2020-06-18,640,630,655,650,8522200
2020-06-19,645,630,665,630,8099400
2020-06-22,640,635,665,640,9186600
2020-06-23,650,640,660,650,8693700
2020-06-24,655,650,660,660,8506000
2020-06-25,660,640,660,640,8317200
2020-06-26,640,630,655,650,8057800
2020-06-29,635,625,650,650,7920400
2020-06-30,650,640,665,650,7973300
2020-07-01,645,635,655,650,12540800
2020-07-02,650,645,660,660,13820300
2020-07-03,660,645,675,645,12985700
2020-07-06,640,635,645,640,8288000
2020-07-07,635,630,645,635,7853600
2020-07-08,625,625,645,640,8800700
2020-07-09,640,625,640,640,7784100
2020-07-10,635,620,640,620,8276100
2020-07-13,625,620,635,630,7739400
2020-07-14,630,625,650,645,8536400
2020-07-15,645,635,650,645,8188900
2020-07-16,645,635,650,635,8010100
2020-07-17,635,620,640,620,7910900
2020-07-20,620,610,625,620,7964100
2020-07-21,625,620,635,635,7749600
2020-07-22,635,630,640,630,7939500
2020-07-23,620,620,635,625,7863500
2020-07-24,620,615,640,640,16146800
2020-07-27,645,630,650,640,14050600
2020-07-28,630,625,640,630,12050500
2020-07-29,630,630,650,650,13228800
2020-07-30,650,640,675,670,16278500
2020-07-31,650,640,675,670,0
2020-08-03,670,625,670,625,8184400
2020-08-04,625,615,635,625,8203500
2020-08-05,620,620,640,630,8484900
2020-08-06,635,630,650,645,12210000
2020-08-07,645,630,645,635,15665100
2020-08-10,625,625,645,640,10865400
2020-08-11,640,630,640,640,11033200
2020-08-12,640,635,650,645,10922600
2020-08-13,645,635,645,640,11008500
2020-08-14,640,630,645,630,10873700
2020-08-17,640,630,645,630,0
2020-08-18,620,620,640,630,8077600
2020-08-19,630,625,640,635,8153400
2020-08-20,630,625,640,635,0
2020-08-21,630,625,640,635,0
2020-08-24,625,625,640,635,12714500
2020-08-25,635,625,645,640,8544900
2020-08-26,635,625,645,635,8198600
2020-08-27,635,630,645,645,8095800
2020-08-28,645,645,655,650,7988800
2020-08-31,650,635,655,640,8391100
2020-09-01,640,635,650,645,8174500
2020-09-02,645,635,655,650,8095400
2020-09-03,650,635,655,635,8495000
2020-09-04,625,625,645,635,8435100
2020-09-07,635,625,640,635,8188800
2020-09-08,630,615,635,615,8459600
2020-09-09,605,595,615,595,8198200
2020-09-10,590,580,605,605,9142000
2020-09-11,605,595,605,600,8498900
2020-09-14,600,595,610,605,8018700
2020-09-15,600,600,610,600,8857000
2020-09-16,590,590,605,600,8152000
2020-09-17,600,595,605,595,8592700
2020-09-18,595,585,605,605,18962900
2020-09-21,605,600,610,605,8556300
2020-09-22,605,590,605,600,8640700
2020-09-23,600,595,605,600,8712600
2020-09-24,600,595,605,595,8504300
2020-09-25,595,590,605,605,8571400
2020-09-28,605,600,610,600,8447300
2020-09-29,600,580,605,605,6693400
2020-09-30,600,565,605,565,6750600
2020-10-01,580,530,580,530,38700
2020-10-02,520,494,600,600,294700
2020-10-05,600,560,600,560,44400
2020-10-06,550,525,580,560,107000
2020-10-07,525,525,545,535,138700
2020-10-08,500,498,515,500,174600
2020-10-09,466,466,498,498,260700
2020-10-12,500,464,500,500,303600
2020-10-13,468,466,472,466,281600
2020-10-14,460,434,466,450,315700
2020-10-15,434,420,434,420,290200
2020-10-16,400,392,400,392,73000
2020-10-19,392,366,392,366,198900
2020-10-20,342,342,388,342,162500
2020-10-21,342,320,342,320,42100
2020-10-22,298,298,304,298,72400
2020-10-23,294,278,294,278,15500
2020-10-26,278,260,278,260,186300
2020-10-27,260,242,324,324,471000
2020-10-28,260,242,324,324,0
2020-10-29,260,242,324,324,0
2020-10-30,260,242,324,324,0
2020-11-02,324,302,326,302,74400
2020-11-03,302,282,302,302,213500
2020-11-04,284,282,284,282,35400
2020-11-05,280,264,280,272,484600
2020-11-06,270,254,270,254,139000
2020-11-09,242,238,242,238,105900
2020-11-10,230,222,238,238,793800
2020-11-11,238,222,238,222,79200
2020-11-12,208,208,208,208,55900
2020-11-13,208,208,208,208,0
2020-11-16,198,194,240,240,2601900
2020-11-17,240,224,240,240,1915700
2020-11-18,240,224,240,238,1308600
2020-11-19,238,222,238,222,1154600
2020-11-20,224,208,224,222,1985500
2020-11-23,222,208,222,208,781300
2020-11-24,194,194,210,210,1841900
2020-11-25,210,196,210,196,418000
2020-11-26,196,196,216,206,152900
2020-11-27,202,196,214,196,61700
2020-11-30,196,196,208,198,140800
2020-12-01,198,194,204,204,169800
2020-12-02,200,196,204,200,247300
2020-12-03,200,186,204,186,640600
2020-12-04,186,173,186,173,1462800
2020-12-07,171,161,175,175,2375500
2020-12-08,175,163,177,163,2135100
2020-12-09,175,163,177,163,0
2020-12-10,166,152,166,159,5862200
2020-12-11,159,148,164,160,2573000
2020-12-14,160,154,173,163,2720800
2020-12-15,172,158,184,163,1543100
2020-12-16,163,158,174,158,2551600
2020-12-17,165,165,212,208,6388100
2020-12-18,220,220,260,260,3209700
2020-12-21,290,290,324,324,15924100
2020-12-22,370,360,404,398,27196000
2020-12-23,404,388,416,410,23948000
2020-12-24,404,388,416,410,0
2020-12-25,404,388,416,410,0
2020-12-28,410,382,414,384,18455700
2020-12-29,384,358,392,358,86562500
2020-12-30,358,334,358,338,94567400
2020-12-31,358,334,358,338,0
2021-01-01,358,334,358,338,0
2021-01-04,338,316,340,316,26628000
2021-01-05,316,294,330,300,161394600
2021-01-06,300,286,312,286,183643800
2021-01-07,288,282,316,296,216856100
2021-01-08,300,286,320,288,205038400
2021-01-11,290,268,310,272,210793700
2021-01-12,272,264,274,264,246912600
2021-01-13,264,260,322,314,259506500
2021-01-14,316,316,376,372,216032900
2021-01-15,374,362,388,364,124526500
2021-01-18,372,364,448,448,224888900
2021-01-19,444,418,492,454,275100100
2021-01-20,458,448,488,452,76184400
2021-01-21,450,436,452,452,2858500
2021-01-22,448,428,565,490,81511200
2021-01-25,490,468,500,468,74147600
2021-01-26,468,454,478,454,68012700
2021-01-27,454,440,484,442,82113300
2021-01-28,450,450,496,490,93924300
2021-01-29,490,486,535,530,106832500
2021-02-01,530,505,635,635,204179200
2021-02-02,635,630,785,735,70642900
2021-02-03,735,700,775,715,39327500
2021-02-04,700,670,700,675,41361900
2021-02-05,675,640,685,650,52217800
2021-02-08,650,620,680,670,49794100
2021-02-09,670,665,750,715,65988800
2021-02-10,710,680,710,685,36186400
2021-02-11,690,655,725,725,88560400
2021-02-12,690,655,725,725,0
2021-02-15,720,710,790,785,132877300
2021-02-16,785,770,830,830,81526500
2021-02-17,830,775,860,805,81348500
2021-02-18,805,750,805,760,68662200
2021-02-19,760,730,795,745,46115500
2021-02-22,755,730,770,740,49194700
2021-02-23,740,720,775,735,36676000
2021-02-24,735,730,760,755,36635300
2021-02-25,755,725,770,725,27826200
2021-02-26,725,675,735,710,21546800
2021-03-01,710,705,750,725,32393700
2021-03-02,725,720,750,740,45576300
2021-03-03,740,730,775,775,46962600
2021-03-04,770,755,775,760,61779800
2021-03-05,760,755,780,780,86416400
2021-03-08,785,775,805,780,88499000
2021-03-09,780,730,790,740,34059600
2021-03-10,735,695,740,700,21351800
2021-03-11,735,695,740,700,0
2021-03-12,695,655,700,665,46809000
2021-03-15,665,620,665,620,39583700
2021-03-16,620,580,620,590,30762800
2021-03-17,590,570,590,575,63464600
2021-03-18,575,560,575,565,124834100
2021-03-19,565,550,565,555,87214700
2021-03-22,555,520,555,520,7626900
2021-03-23,520,484,520,486,14606800
2021-03-24,486,484,510,510,122019400
2021-03-25,510,476,535,476,132826700
2021-03-26,476,444,500,496,20490000
2021-03-29,494,484,530,525,64976200
2021-03-30,525,498,575,498,59455800
2021-03-31,498,488,530,494,57613300
2021-04-01,494,476,498,476,25501400
2021-04-02,494,476,498,476,0
2021-04-05,476,444,478,444,17055900
2021-04-06,444,414,450,450,10721300
2021-04-07,450,420,450,420,49265700
2021-04-08,420,396,420,414,71030300
2021-04-09,414,412,434,430,119947000
2021-04-12,430,400,430,400,18663600
2021-04-13,400,372,400,376,69965100
2021-04-14,376,368,400,398,169496300
2021-04-15,398,372,398,374,67030800
2021-04-16,374,348,374,348,90962800
2021-04-19,346,324,348,330,44466700
2021-04-20,330,310,330,328,126460800
2021-04-21,328,306,328,306,1077986600
2021-04-22,306,286,332,322,834400500
2021-04-23,322,310,364,332,1081745900
2021-04-26,332,330,392,356,1127503400
2021-04-27,358,350,388,356,1029366900
2021-04-28,356,352,380,360,1630285100
2021-04-29,360,336,370,336,305880800
2021-04-30,318,314,344,314,544088200
2021-05-03,314,294,326,294,739859000
2021-05-04,294,274,304,282,187804100
2021-05-05,282,280,298,290,161995800
2021-05-06,290,288,322,322,380977600
2021-05-07,322,300,330,300,291507900
2021-05-10,300,280,308,286,157559300
2021-05-11,284,266,296,270,558810800
2021-05-12,284,266,296,270,0
2021-05-13,284,266,296,270,0
2021-05-14,284,266,296,270,0
2021-05-17,270,262,288,276,2119387500
2021-05-18,276,272,292,280,3592397000
2021-05-19,280,262,294,262,766952900
2021-05-20,244,244,244,244,19305700
2021-05-21,228,228,228,228,29598100
2021-05-24,214,214,244,224,346770600
2021-05-25,226,210,228,214,455420300
2021-05-26,226,210,228,214,0
2021-05-27,214,202,214,204,151887200
2021-05-28,204,190,206,194,105380700
2021-05-31,194,183,212,198,625280700
2021-06-01,194,183,212,198,0
2021-06-02,195,195,210,200,333443100
2021-06-03,200,186,210,202,278213900
2021-06-04,202,197,208,208,49774000
2021-06-07,208,208,222,216,56792100
2021-06-08,216,202,216,210,154179100
2021-06-09,210,206,218,212,49633100
2021-06-10,212,202,212,204,23730600
2021-06-11,200,199,204,202,23116100
2021-06-14,202,193,210,202,147571600
2021-06-15,202,192,202,194,35686800
2021-06-16,194,181,194,181,60345300
2021-06-17,181,169,181,171,34574600
2021-06-18,173,160,173,168,27425200
2021-06-21,168,157,169,162,14133900
2021-06-22,162,160,175,175,45663700
2021-06-23,175,169,175,174,19115300
2021-06-24,174,166,174,168,24777700
2021-06-25,168,157,168,161,14872100
2021-06-28,160,150,161,151,27456300
2021-06-29,151,141,151,141,12067600
2021-06-30,135,132,148,145,43048300
2021-07-01,145,143,150,146,18254800
2021-07-02,146,136,147,138,77893300
2021-07-05,138,129,139,131,33058200
2021-07-06,132,122,132,123,20230800
2021-07-07,128,115,128,119,38525000
2021-07-08,133,115,133,127,546052500
2021-07-09,127,119,129,122,46123300
2021-07-12,122,117,122,119,30347600
2021-07-13,119,114,119,118,31024300
2021-07-14,118,111,123,112,41942500
2021-07-15,112,109,114,111,37239900
2021-07-16,111,107,112,108,36102700
2021-07-19,108,101,108,101,27679200
2021-07-20,108,101,108,101,0
2021-07-21,101,95,108,107,55650000
2021-07-22,107,104,119,117,65932600
2021-07-23,117,112,122,121,58805200
2021-07-26,121,118,160,156,303361300
2021-07-27,158,150,167,160,193236200
2021-07-28,160,153,173,170,163987000
2021-07-29,163,159,169,165,134011300
2021-07-30,165,154,165,154,89451100
2021-08-02,154,144,164,161,151559300
2021-08-03,161,150,162,155,86288500
2021-08-04,156,153,177,176,177971900
2021-08-05,176,170,195,186,204620200
2021-08-06,187,180,194,187,146990300
2021-08-09,187,176,188,179,66110600
2021-08-10,179,174,187,183,60035700
2021-08-11,179,174,187,183,0
2021-08-12,183,176,189,185,81075900
2021-08-13,185,181,189,184,48305900
2021-08-16,184,184,200,194,217448500
2021-08-17,184,184,200,194,0
2021-08-18,194,186,212,212,483690300
2021-08-19,212,198,220,220,314437500
2021-08-20,220,208,224,214,118309600
2021-08-23,214,204,220,214,83897800
2021-08-24,214,200,216,202,81701700
2021-08-25,202,189,210,204,241626900
2021-08-26,204,196,216,206,209742300
2021-08-27,206,194,210,200,148945400
2021-08-30,200,186,202,198,263990300
2021-08-31,198,185,198,188,349685500
2021-09-01,188,175,188,176,381977800
2021-09-02,176,164,176,164,67743900
2021-09-03,153,153,153,153,16988200
2021-09-06,144,143,164,161,219461300
2021-09-07,161,151,172,171,363733300
2021-09-08,173,160,179,176,255072300
2021-09-09,175,166,180,174,257922700
2021-09-10,174,165,177,172,220717200
2021-09-13,172,166,206,206,414105400
