timestamp,open,low,high,close,volume
2002-06-28,10,6,10,6,924819078
2002-07-01,6,6,7,6,388212162
2002-07-02,6,6,6,6,68626737
2002-07-03,6,6,6,6,146126667
2002-07-04,6,6,6,6,39276603
2002-07-05,6,6,6,6,84264357
2002-07-08,6,6,6,6,35253794
2002-07-09,6,6,6,6,25030813
2002-07-10,6,5,6,5,261827797
2002-07-11,5,4,5,4,5467745
2002-07-12,4,4,4,4,35041368
2002-07-15,4,4,4,4,21680685
2002-07-16,4,4,4,4,8680682
2002-07-17,4,4,4,4,4414468
2002-07-18,4,4,4,4,27838814
2002-07-19,4,4,4,4,15318981
2002-07-22,4,4,4,4,14520173
2002-07-23,4,4,4,4,16350130
2002-07-24,4,4,4,4,19574131
2002-07-25,4,4,4,4,16285960
2002-07-26,4,3,4,4,19020939
2002-07-29,4,3,4,4,9636597
2002-07-30,4,4,4,4,34286815
2002-07-31,4,4,4,4,23616855
2002-08-01,4,4,4,4,16755067
2002-08-02,4,4,4,4,9625533
2002-08-05,4,4,4,4,6806469
2002-08-06,4,3,4,3,8722725
2002-08-07,4,4,4,4,3668766
2002-08-08,4,3,4,4,6051916
2002-08-09,4,4,4,4,1360851
2002-08-12,4,4,4,4,796595
2002-08-13,4,4,4,4,5115915
2002-08-14,3,3,4,4,159319
2002-08-15,4,3,4,4,5934639
2002-08-16,3,3,4,4,147744199
2002-08-19,4,4,4,4,38477794
2002-08-20,4,4,4,4,15850045
2002-08-21,4,4,5,5,43275072
2002-08-22,5,5,6,5,61275927
2002-08-23,5,5,5,5,0
2002-08-26,5,4,5,4,8583320
2002-08-27,4,4,5,4,11754215
2002-08-28,4,4,4,4,20753536
2002-08-29,4,4,4,4,37413454
2002-08-30,4,4,4,4,14542300
2002-09-02,4,4,4,4,0
2002-09-03,4,4,4,4,7563235
2002-09-04,4,4,4,4,13774470
2002-09-05,3,3,4,4,11508598
2002-09-06,4,4,4,4,2679660
2002-09-09,4,4,4,4,2819064
2002-09-10,4,4,4,4,1531234
2002-09-11,4,4,4,4,849702
2002-09-12,4,4,4,4,1382979
2002-09-13,3,3,4,4,5498724
2002-09-16,4,4,4,4,0
2002-09-17,4,3,4,4,2148596
2002-09-18,3,3,4,3,6700256
2002-09-19,3,3,4,3,5646979
2002-09-20,3,3,3,3,50285116
2002-09-23,3,3,3,3,1062127
2002-09-24,3,3,3,3,2285787
2002-09-25,3,3,3,3,6892767
2002-09-26,3,3,3,3,53106
2002-09-27,3,3,3,3,1179404
2002-09-30,3,3,3,3,1701617
2002-10-01,3,3,3,3,243404
2002-10-02,3,3,3,3,3350128
2002-10-03,3,3,4,3,13212428
2002-10-04,3,3,3,3,0
2002-10-07,3,3,3,3,285446
2002-10-08,3,3,3,3,4892426
2002-10-09,3,3,3,3,4414468
2002-10-10,3,3,3,3,6968001
2002-10-11,3,3,3,3,6968001
2002-10-14,3,3,3,3,10466385
2002-10-15,2,2,3,3,690383
2002-10-16,3,3,3,3,1062127
2002-10-17,3,3,3,3,2584511
2002-10-18,3,3,3,3,2414128
2002-10-21,3,3,3,3,1413957
2002-10-22,3,3,3,3,1827745
2002-10-23,3,3,3,3,148255
2002-10-24,3,3,3,3,531063
2002-10-25,3,3,3,3,0
2002-10-28,3,3,3,3,2872170
2002-10-29,3,3,3,3,391659
2002-10-30,3,3,3,3,0
2002-10-31,3,3,3,3,2179574
2002-11-01,3,3,3,3,531063
2002-11-04,3,3,3,3,0
2002-11-05,3,3,3,3,190297
2002-11-06,3,3,3,3,0
2002-11-07,3,3,3,3,0
2002-11-08,3,3,3,3,4264000
2002-11-11,3,3,3,3,0
2002-11-12,3,3,3,3,1827745
2002-11-13,3,3,3,3,818723
2002-11-14,3,3,3,3,3020426
2002-11-15,3,3,3,3,1062127
2002-11-18,3,3,3,3,212425
2002-11-19,3,3,3,3,2657532
2002-11-20,3,3,3,3,8851
2002-11-21,3,3,3,3,0
2002-11-22,3,3,3,3,0
2002-11-25,3,3,3,3,46806647
2002-11-26,3,3,3,3,2285787
2002-11-27,3,3,3,3,0
2002-11-28,3,3,3,3,9169703
2002-11-29,3,3,3,3,371744
2002-12-02,3,3,3,3,0
2002-12-03,3,3,3,3,796595
2002-12-04,3,3,3,3,0
2002-12-05,3,3,3,3,0
2002-12-06,3,3,3,3,0
2002-12-09,3,3,3,3,0
2002-12-10,3,3,3,3,0
2002-12-11,3,3,3,3,0
2002-12-12,3,3,3,3,265531
2002-12-13,3,3,3,3,3190809
2002-12-16,3,3,3,3,10636768
2002-12-17,3,3,3,3,0
2002-12-18,2,2,3,3,9988427
2002-12-19,3,2,3,2,2168511
2002-12-20,2,2,3,3,2403064
2002-12-23,3,3,3,3,0
2002-12-24,3,3,3,3,0
2002-12-25,3,3,3,3,0
2002-12-26,3,3,3,3,0
2002-12-27,2,2,2,2,8350980
2002-12-30,2,2,2,2,0
2002-12-31,2,2,2,2,0
2003-01-01,2,2,2,2,0
2003-01-02,2,2,2,2,276595
2003-01-03,2,2,2,2,531063
2003-01-06,2,2,2,2,23296004
2003-01-07,2,2,3,3,18051748
2003-01-08,2,2,2,2,1106383
2003-01-09,2,2,2,2,0
2003-01-10,2,2,2,2,1327659
2003-01-13,2,2,2,2,2914213
2003-01-14,2,2,2,2,796595
2003-01-15,2,2,2,2,2232681
2003-01-16,2,2,2,2,11488683
2003-01-17,2,2,2,2,2232681
2003-01-20,2,2,2,2,1020085
2003-01-21,2,2,2,2,2498213
2003-01-22,2,2,2,2,2721702
2003-01-23,2,2,2,2,1604255
2003-01-24,2,2,2,2,19914
2003-01-27,2,2,2,2,11723236
2003-01-28,2,2,2,2,19914
2003-01-29,2,2,2,2,19914
2003-01-30,2,2,2,2,637276
2003-01-31,2,2,2,2,3201872
2003-02-03,2,2,2,2,489021
2003-02-04,2,2,2,2,0
2003-02-05,2,2,2,2,924936
2003-02-06,2,2,2,2,0
2003-02-07,2,2,2,2,0
2003-02-10,2,2,2,2,4179915
2003-02-11,2,2,2,2,1604255
2003-02-12,2,2,2,2,0
2003-02-13,2,2,2,2,0
2003-02-14,2,2,2,2,0
2003-02-17,2,2,2,2,0
2003-02-18,2,2,2,2,701446
2003-02-19,2,2,2,2,1221447
2003-02-20,2,2,2,2,265531
2003-02-21,2,2,2,2,61957
2003-02-24,2,2,2,2,584170
2003-02-25,2,2,2,2,2009191
2003-02-26,2,2,2,2,10902300
2003-02-27,2,2,2,2,2179574
2003-02-28,2,2,2,2,115063
2003-03-03,2,2,2,2,0
2003-03-04,2,2,2,2,61957
2003-03-05,2,2,2,2,2126468
2003-03-06,2,2,2,2,115063
2003-03-07,2,2,2,2,276595
2003-03-10,2,2,2,2,1509106
2003-03-11,2,2,3,3,10636768
2003-03-12,2,2,2,2,212425
2003-03-13,2,2,2,2,5839490
2003-03-14,2,2,2,2,106212
2003-03-17,2,2,2,2,0
2003-03-18,2,2,2,2,701446
2003-03-19,2,2,2,2,0
2003-03-20,2,2,2,2,2925277
2003-03-21,2,2,2,2,0
2003-03-24,2,2,2,2,0
2003-03-25,3,3,3,3,212425
2003-03-26,2,2,3,3,8510299
2003-03-27,3,3,3,3,0
2003-03-28,2,2,3,3,7350809
2003-03-31,3,3,3,3,2190638
2003-04-01,3,2,3,2,2104340
2003-04-02,2,2,2,2,0
2003-04-03,3,3,3,3,53106
2003-04-04,3,3,3,3,0
2003-04-07,3,3,3,3,0
2003-04-08,3,3,3,3,0
2003-04-09,3,3,3,3,318638
2003-04-10,3,3,3,3,3850213
2003-04-11,3,3,3,3,3031489
2003-04-14,3,3,3,3,3987405
2003-04-15,3,3,3,3,2137532
2003-04-16,3,3,3,3,1062127
2003-04-17,3,3,3,3,531063
2003-04-18,3,3,3,3,0
2003-04-21,3,3,4,4,7658384
2003-04-22,4,4,4,4,29190814
2003-04-23,4,4,4,4,3903319
2003-04-24,4,4,4,4,11265193
2003-04-25,4,4,4,4,743489
2003-04-28,4,4,5,5,34359836
2003-04-29,4,4,5,5,9413108
2003-04-30,5,5,5,5,637276
2003-05-01,5,5,5,5,20350812
2003-05-02,5,5,5,5,7392852
2003-05-05,5,5,5,5,8094299
2003-05-06,5,5,5,5,2445106
2003-05-07,5,5,5,5,7881873
2003-05-08,5,5,5,5,8924086
2003-05-09,5,5,5,5,0
2003-05-12,5,5,5,5,9306895
2003-05-13,5,5,5,5,9625533
2003-05-14,5,5,5,5,3456341
2003-05-15,5,5,5,5,0
2003-05-16,5,5,5,5,0
2003-05-19,5,5,5,5,3403234
2003-05-20,5,5,5,5,1274553
2003-05-21,5,5,5,5,5764256
2003-05-22,5,5,5,5,1489191
2003-05-23,5,4,5,4,6594043
2003-05-26,4,4,4,4,5945703
2003-05-27,5,5,5,5,2498213
2003-05-28,5,5,6,5,24807324
2003-05-29,5,5,6,5,16434216
2003-05-30,5,5,5,5,0
2003-06-02,5,5,6,5,9094469
2003-06-03,5,5,5,5,531063
2003-06-04,5,5,5,5,212425
2003-06-05,5,5,6,6,19414812
2003-06-06,6,5,6,5,1168340
2003-06-09,6,6,6,6,7339746
2003-06-10,6,6,6,6,5157958
2003-06-11,6,5,6,6,4487490
2003-06-12,6,5,6,6,2925277
2003-06-13,6,6,6,6,24094813
2003-06-16,6,6,6,6,477957
2003-06-17,6,6,6,6,7552171
2003-06-18,5,5,6,6,497872
2003-06-19,6,6,6,6,4403405
2003-06-20,6,6,6,6,0
2003-06-23,5,5,5,5,4255149
2003-06-24,5,5,5,5,531063
2003-06-25,5,5,5,5,1062127
2003-06-26,5,5,5,5,10105704
2003-06-27,5,5,5,5,0
2003-06-30,5,5,5,5,2361021
2003-07-01,5,5,5,5,0
2003-07-02,5,5,5,5,8786895
2003-07-03,5,5,5,5,0
2003-07-04,5,5,5,5,0
2003-07-07,5,5,5,5,5157958
2003-07-08,5,5,5,5,318638
2003-07-09,5,5,5,5,265531
2003-07-10,5,5,5,5,0
2003-07-11,5,5,5,5,0
2003-07-14,5,4,5,4,4786213
2003-07-15,4,4,5,5,12019747
2003-07-16,5,5,5,5,0
2003-07-17,4,4,5,5,318638
2003-07-18,4,4,4,4,5744341
2003-07-21,4,4,4,4,2126468
2003-07-22,4,4,4,4,0
2003-07-23,4,4,4,4,19914
2003-07-24,4,4,5,5,3009362
2003-07-25,5,4,5,4,668255
2003-07-28,4,4,4,4,3243915
2003-07-29,4,4,4,4,2338894
2003-07-30,4,4,4,4,1542298
2003-07-31,4,4,4,4,1062127
2003-08-01,4,4,4,4,0
2003-08-04,4,4,4,4,106212
2003-08-05,4,4,4,4,0
2003-08-06,4,4,4,4,0
2003-08-07,4,4,4,4,0
2003-08-08,4,4,4,4,0
2003-08-11,4,4,4,4,0
2003-08-12,4,4,4,4,0
2003-08-13,4,4,4,4,1274553
2003-08-14,4,4,4,4,0
2003-08-15,4,4,4,4,0
2003-08-18,4,4,4,4,0
2003-08-19,4,4,4,4,0
2003-08-20,3,3,3,3,2551319
2003-08-21,3,3,3,3,1668425
2003-08-22,3,3,3,3,0
2003-08-25,4,4,4,4,168170
2003-08-26,3,3,4,4,1967149
2003-08-27,4,4,4,4,0
2003-08-28,4,4,4,4,0
2003-08-29,4,4,4,4,3350128
2003-09-01,4,4,4,4,3073532
2003-09-02,5,5,5,5,1382979
2003-09-03,5,5,5,5,1520170
2003-09-04,5,5,5,5,1009021
2003-09-05,5,4,5,4,1774638
2003-09-08,4,4,4,4,0
2003-09-09,4,4,4,4,0
2003-09-10,5,5,5,5,265531
2003-09-11,4,4,4,4,1542298
2003-09-12,4,4,4,4,1436085
2003-09-15,4,4,4,4,3137702
2003-09-16,4,4,4,4,1168340
2003-09-17,4,4,4,4,265531
2003-09-18,4,4,4,4,265531
2003-09-19,4,4,4,4,1604255
2003-09-22,4,4,4,4,0
2003-09-23,4,4,4,4,0
2003-09-24,4,4,4,4,606297
2003-09-25,4,4,4,4,318638
2003-09-26,4,4,4,4,0
2003-09-29,4,4,4,4,1690553
2003-09-30,4,4,4,4,0
2003-10-01,4,4,4,4,318638
2003-10-02,4,4,4,4,1914042
2003-10-03,4,4,4,4,212425
2003-10-06,4,4,4,4,2285787
2003-10-07,5,4,5,4,1115234
2003-10-08,4,4,4,4,212425
2003-10-09,4,4,4,4,785532
2003-10-10,4,4,4,4,989106
2003-10-13,4,4,4,4,0
2003-10-14,4,4,4,4,637276
2003-10-15,4,4,4,4,0
2003-10-16,4,4,4,4,179234
2003-10-17,4,4,4,4,265531
