timestamp,open,low,high,close,volume
2019-07-09,5925,5925,6237,6050,5279200
2019-07-10,6100,6050,6150,6050,1372200
2019-07-11,6050,6050,6100,6075,483200
2019-07-12,6050,6050,6062,6050,1042000
2019-07-15,6050,5800,6050,5825,101000
2019-07-16,5825,5525,6075,6050,786200
2019-07-17,6000,6000,6050,6050,597000
2019-07-18,6050,6050,6075,6075,564200
2019-07-19,5887,5887,6100,6100,257400
2019-07-22,5950,5950,6125,6125,321600
2019-07-23,6125,6075,6150,6150,155000
2019-07-24,6150,6100,6150,6100,20800
2019-07-25,6150,6150,6150,6150,80000
2019-07-26,6125,6125,6175,6175,597800
2019-07-29,6150,6050,6175,6125,48200
2019-07-30,6050,6050,6150,6125,107000
2019-07-31,6100,6100,6100,6100,2800
2019-08-01,6100,6050,6100,6100,3600
2019-08-02,6100,6075,6100,6075,5200
2019-08-05,6050,6050,6075,6050,62200
2019-08-06,6000,6000,6000,6000,400
2019-08-07,6000,6000,6000,6000,12000
2019-08-08,6000,5900,6000,5937,10800
2019-08-09,5937,5937,5937,5937,0
2019-08-12,5937,5937,5937,5937,3200
2019-08-13,5937,5937,5937,5937,41200
2019-08-14,5875,5725,5875,5725,66400
2019-08-15,5712,5712,5712,5712,6000
2019-08-16,5725,5712,5800,5800,216200
2019-08-19,5762,5762,5800,5800,400
2019-08-20,5800,5750,5950,5750,21800
2019-08-21,5750,5737,5750,5750,1800
2019-08-22,5712,5712,5950,5937,209600
2019-08-23,5950,5937,5950,5937,26200
2019-08-26,5937,5937,5937,5937,0
2019-08-27,5850,5850,5937,5937,1400
2019-08-28,5850,5850,5937,5937,4600
2019-08-29,5937,5512,5937,5875,24600
2019-08-30,5875,5875,6250,6000,784800
2019-09-02,6050,5850,6050,5900,6000
2019-09-03,5987,5900,6000,5900,5000
2019-09-04,5912,5775,6037,6000,29800
2019-09-05,6000,5800,6000,6000,6000
2019-09-06,6000,5825,6137,6137,702200
2019-09-09,6137,6100,6250,6250,833200
2019-09-10,6250,6137,6250,6225,9400
2019-09-11,6137,6125,6200,6125,13800
2019-09-12,6125,5950,6262,6250,345800
2019-09-13,6250,6200,6262,6250,436600
2019-09-16,6250,6100,6300,6300,131400
2019-09-17,6150,6125,6250,6125,3400
2019-09-18,6250,6250,6250,6250,36400
2019-09-19,6250,6100,6250,6250,65500
2019-09-20,6125,6125,6250,6250,18000
2019-09-23,6250,6250,6250,6250,400
2019-09-24,6150,6125,6250,6225,28100
2019-09-25,6125,6100,6250,6225,48100
2019-09-26,6125,6100,6250,6250,329100
2019-09-27,6125,6125,6125,6125,7700
2019-09-30,6100,6100,6250,6250,135900
2019-10-01,6250,6125,6250,6225,10600
2019-10-02,6125,6125,6150,6125,24500
2019-10-03,6125,6125,6125,6125,11800
2019-10-04,6125,6100,6125,6100,3900
2019-10-07,6100,6100,6100,6100,6600
2019-10-08,6000,6000,6025,6000,2200
2019-10-09,5900,5900,5950,5950,900
2019-10-10,5950,5900,5950,5900,5000
2019-10-11,5900,5900,6100,5900,300
2019-10-14,5850,5850,5900,5900,200
2019-10-15,5900,5900,5900,5900,0
2019-10-16,5900,5900,5900,5900,0
2019-10-17,5900,5900,5900,5900,0
2019-10-18,5900,5900,5900,5900,500
2019-10-21,5900,5800,5900,5900,51200
2019-10-22,5800,5800,5875,5875,1100
2019-10-23,5800,5800,5875,5875,3200
2019-10-24,5800,5800,5850,5800,14800
2019-10-25,5800,5800,5800,5800,7600
2019-10-28,5800,5700,5800,5700,2300
2019-10-29,5700,5500,5700,5575,11100
2019-10-30,5500,5325,5500,5325,12100
2019-10-31,5275,5050,5750,5100,14600
2019-11-01,5250,5250,5800,5500,1000
2019-11-04,5500,5050,5500,5125,11400
2019-11-05,5100,5000,5100,5025,7200
2019-11-06,5200,4990,5375,5000,11000
2019-11-07,5000,4900,5500,5375,61400
2019-11-08,5100,5050,5100,5050,8000
2019-11-11,4950,4850,4950,4850,3800
2019-11-12,4850,4750,4850,4750,14900
2019-11-13,4750,4570,4750,4570,6500
2019-11-14,4570,4500,4570,4500,5900
2019-11-15,4410,4200,4640,4630,28900
2019-11-18,4530,4500,5150,5150,25300
2019-11-19,5150,5150,5975,5500,40000
2019-11-20,5525,5500,5525,5500,79700
2019-11-21,5500,5450,5875,5525,167900
2019-11-22,5500,5500,5500,5500,275100
2019-11-25,5500,5500,5500,5500,100
2019-11-26,5750,5525,6000,5975,160700
2019-11-27,5675,5600,5975,5900,30800
2019-11-28,5725,5725,5875,5725,300
2019-11-29,5700,5625,5700,5625,200
2019-12-02,5700,5700,5700,5700,1000000
2019-12-03,5700,5700,5800,5700,98000
