timestamp,open,low,high,close,volume
2013-01-16,94,92,95,94,0
2013-01-17,94,92,95,94,0
2013-01-18,94,92,95,94,0
2013-01-21,94,92,95,94,0
2013-01-22,94,92,95,94,0
2013-01-23,94,92,95,94,0
2013-01-24,94,92,95,94,0
2013-01-25,94,92,95,94,10191000
2013-01-28,97,91,97,97,24825000
2013-01-29,98,96,98,98,16139000
2013-01-30,100,96,100,100,14001000
2013-01-31,105,98,106,105,29814000
2013-02-01,109,106,110,109,28197500
2013-02-04,109,105,109,109,16661500
2013-02-05,111,105,112,111,42476500
2013-02-06,113,107,113,113,20415000
2013-02-07,113,111,115,113,34183000
2013-02-08,115,110,115,115,15606500
2013-02-11,113,111,114,113,8779500
2013-02-12,114,110,115,114,21155500
2013-02-13,114,112,114,114,6184000
2013-02-14,117,110,117,117,35893500
2013-02-15,117,115,117,117,20055000
2013-02-18,118,115,118,118,42549500
2013-02-19,120,116,120,120,23093000
2013-02-20,124,120,124,124,31360500
2013-02-21,125,124,126,125,17692500
2013-02-22,126,125,128,126,11631000
2013-02-25,127,126,128,127,5386000
2013-02-26,126,123,128,126,15633000
2013-02-27,127,126,128,127,6509500
2013-02-28,127,125,128,127,6494500
2013-03-01,128,126,129,128,15336500
2013-03-04,126,125,128,126,7096000
2013-03-05,126,124,128,126,4401500
2013-03-06,125,124,126,125,5532500
2013-03-07,126,124,127,126,13546500
2013-03-08,125,124,126,125,6285500
2013-03-11,128,121,128,128,25532000
2013-03-12,128,121,128,128,0
2013-03-13,132,128,133,132,36060000
2013-03-14,132,131,135,132,20884000
2013-03-15,129,128,132,129,10344000
2013-03-18,133,126,133,133,6459500
2013-03-19,131,130,133,131,7467500
2013-03-20,132,129,132,132,3416500
2013-03-21,129,129,130,129,2016500
2013-03-22,130,127,131,130,2160000
2013-03-25,129,128,130,129,828500
2013-03-26,130,121,131,130,14662000
2013-03-27,141,129,141,141,28273500
2013-03-28,142,139,145,142,10472000
2013-03-29,142,139,145,142,0
2013-04-01,140,131,145,140,7338500
2013-04-02,140,130,142,140,5361500
2013-04-03,141,139,141,141,2
2013-04-04,142,139,142,142,4012000
2013-04-05,141,139,142,141,1051500
2013-04-08,145,139,145,145,8607000
2013-04-09,144,141,145,144,3497500
2013-04-10,143,141,144,143,1633500
2013-04-11,150,143,150,150,37764500
2013-04-12,150,146,151,150,4360500
2013-04-15,150,148,150,150,1687000
2013-04-16,150,145,150,150,4414500
2013-04-17,147,146,151,147,19176500
2013-04-18,149,147,150,149,6615500
2013-04-19,155,148,156,155,18615500
2013-04-22,155,152,156,154,3918500
2013-04-23,154,153,154,154,1570500
2013-04-24,154,153,155,155,1147000
2013-04-25,154,152,156,156,7335500
2013-04-26,156,155,156,156,2471000
2013-04-29,156,154,156,155,485500
2013-04-30,155,153,158,157,20061500
2013-05-01,157,154,157,154,4576500
2013-05-02,154,149,155,154,7079000
2013-05-03,154,151,154,153,9260500
2013-05-06,152,149,152,152,1504500
2013-05-07,152,147,152,150,6741000
2013-05-08,148,146,150,149,2895000
2013-05-09,148,146,150,149,0
2013-05-10,149,147,150,149,2577000
2013-05-13,149,145,149,145,965500
2013-05-14,145,141,145,145,4918500
2013-05-15,144,143,148,148,8176000
2013-05-16,147,147,148,148,3492500
2013-05-17,148,146,150,150,4974500
2013-05-20,150,146,150,150,6426500
2013-05-21,149,146,149,148,3569000
2013-05-22,147,146,148,148,3408000
2013-05-23,148,144,148,145,2676000
2013-05-24,145,141,146,145,4383000
2013-05-27,145,143,146,145,3977000
2013-05-28,145,139,145,144,11376500
2013-05-29,144,141,144,144,2679500
2013-05-30,144,142,144,143,1519000
2013-05-31,143,140,143,143,2112000
2013-06-03,141,138,143,140,2411000
2013-06-04,139,132,142,140,4634000
2013-06-05,139,137,140,137,1338500
2013-06-06,139,137,140,137,0
2013-06-07,135,133,136,134,196500
2013-06-10,135,130,135,135,1170500
2013-06-11,133,131,136,136,1441500
2013-06-12,135,134,139,138,1969000
2013-06-13,137,134,137,134,1702000
2013-06-14,134,133,135,135,922500
2013-06-17,134,133,145,135,1339500
2013-06-18,135,133,135,133,928500
2013-06-19,133,131,135,135,755000
2013-06-20,132,132,134,133,335000
2013-06-21,130,127,131,131,672000
2013-06-24,131,128,133,133,816000
2013-06-25,132,127,133,130,573500
2013-06-26,131,127,131,129,599000
2013-06-27,131,129,132,130,1218500
2013-06-28,131,129,135,135,2444500
2013-07-01,137,134,137,136,1128500
2013-07-02,135,135,137,137,533500
2013-07-03,136,135,137,137,308500
2013-07-04,136,134,136,136,366500
2013-07-05,136,135,136,136,383000
2013-07-08,136,135,136,135,270000
2013-07-09,135,134,135,135,377500
2013-07-10,134,130,135,135,1501500
2013-07-11,135,130,140,140,2759000
2013-07-12,136,136,140,140,611000
2013-07-15,137,136,140,140,459500
2013-07-16,145,140,145,141,1373500
2013-07-17,140,137,141,139,543500
2013-07-18,138,132,140,136,1325500
2013-07-19,138,135,138,137,600000
2013-07-22,137,131,139,139,769500
2013-07-23,139,138,139,138,52000
2013-07-24,138,138,138,138,52000
2013-07-25,138,138,138,138,52000
2013-07-26,138,130,138,137,604000
2013-07-29,137,135,137,136,23000
2013-07-30,136,134,136,136,15000
2013-07-31,136,134,136,136,526500
2013-08-01,136,136,136,136,525000
2013-08-02,136,134,136,136,382500
2013-08-05,136,134,136,136,0
2013-08-06,136,134,136,136,0
2013-08-07,136,134,136,136,0
2013-08-08,136,134,136,136,0
2013-08-09,136,134,136,136,0
2013-08-12,135,133,136,136,262000
2013-08-13,135,134,140,140,1467000
2013-08-14,140,130,140,134,3350000
2013-08-15,134,131,134,132,166000
2013-08-16,132,126,132,130,168500
2013-08-19,131,128,131,131,16500
2013-08-20,135,129,140,134,1462000
2013-08-21,134,124,134,134,668500
2013-08-22,130,130,133,133,2000
2013-08-23,133,130,134,134,876000
2013-08-26,134,130,138,133,3458500
2013-08-27,134,119,134,134,1751500
2013-08-28,134,127,134,133,106500
2013-08-29,133,131,134,134,260000
2013-08-30,134,133,134,134,10000
2013-09-02,134,130,134,133,262500
2013-09-03,133,131,134,133,1350000
2013-09-04,133,131,133,133,4000
2013-09-05,133,131,133,133,42500
2013-09-06,132,130,133,133,634000
2013-09-09,130,129,133,133,258000
2013-09-10,131,127,132,131,523000
2013-09-11,131,130,133,133,735000
2013-09-12,130,129,132,132,9500
2013-09-13,132,132,132,132,2500
2013-09-16,132,132,132,132,1000
2013-09-17,130,129,132,132,519500
2013-09-18,132,130,132,132,109500
2013-09-19,132,130,132,131,712500
2013-09-20,131,129,132,132,252500
2013-09-23,132,132,132,132,252500
2013-09-24,129,125,131,126,819500
2013-09-25,128,125,131,130,2608000
2013-09-26,128,128,130,130,350000
2013-09-27,129,129,130,130,100500
2013-09-30,128,123,130,123,620500
2013-10-01,130,125,130,129,347500
2013-10-02,129,125,130,129,1370000
2013-10-03,129,125,129,129,336000
2013-10-04,129,127,130,130,319500
2013-10-07,129,125,130,129,547000
2013-10-08,127,122,129,129,1275500
2013-10-09,127,124,128,128,1102500
2013-10-10,127,125,128,128,801000
2013-10-11,128,123,129,128,3854500
2013-10-14,128,123,129,128,0
2013-10-15,128,123,129,128,0
2013-10-16,126,124,129,129,951000
2013-10-17,127,125,127,127,252000
2013-10-18,126,124,128,126,760000
2013-10-21,126,120,126,123,2378500
2013-10-22,122,122,124,122,251000
2013-10-23,122,121,123,123,533500
2013-10-24,124,123,128,127,869000
2013-10-25,128,128,130,130,269500
2013-10-28,130,127,130,130,257000
2013-10-29,130,130,130,130,50000
2013-10-30,130,130,130,130,1000
2013-10-31,130,128,130,130,361000
2013-11-01,127,123,127,127,52000
2013-11-04,127,125,127,127,226000
2013-11-05,127,125,127,127,0
2013-11-06,127,127,128,128,551000
2013-11-07,128,127,129,127,520000
2013-11-08,129,128,129,128,137500
2013-11-11,129,128,129,129,629500
2013-11-12,129,127,129,128,261000
2013-11-13,128,127,128,127,7000
2013-11-14,129,127,129,129,583000
2013-11-15,129,128,129,128,133500
2013-11-18,129,120,129,128,4838500
2013-11-19,127,121,128,128,1300000
2013-11-20,127,127,128,128,505000
2013-11-21,126,126,128,128,251000
2013-11-22,126,125,128,128,460500
2013-11-25,128,127,128,128,3000
2013-11-26,128,128,128,128,3000
2013-11-27,126,126,126,126,5500
2013-11-28,126,126,126,126,5500
2013-11-29,126,126,128,128,636000
2013-12-02,128,128,128,128,636000
2013-12-03,127,127,128,128,273000
2013-12-04,124,124,124,124,500
2013-12-05,128,128,130,130,523000
2013-12-06,128,128,128,128,500
2013-12-09,128,128,130,130,202500
2013-12-10,126,126,129,129,206000
2013-12-11,127,127,129,129,265500
2013-12-12,127,127,128,128,100500
2013-12-13,126,126,127,127,9500
2013-12-16,125,124,127,127,50000
2013-12-17,127,127,128,128,100500
2013-12-18,126,126,128,128,146000
2013-12-19,127,118,127,119,5587500
2013-12-20,116,110,119,114,1433000
2013-12-23,113,100,113,105,1250000
2013-12-24,104,96,107,107,333500
2013-12-25,104,96,107,107,0
2013-12-26,104,96,107,107,0
2013-12-27,111,100,111,100,308000
2013-12-30,100,90,105,100,3368000
2013-12-31,100,90,105,100,0
2014-01-01,100,90,105,100,0
2014-01-02,100,97,102,101,180500
2014-01-03,100,100,101,101,42500
2014-01-06,101,98,101,101,2700
2014-01-07,101,98,101,101,45100
