timestamp,open,low,high,close,volume
2006-02-10,226,194,280,226,20
2006-02-13,226,200,226,212,6275000
2006-02-14,198,198,212,210,5805000
2006-02-15,210,208,210,210,1350000
2006-02-16,210,204,210,210,20
2006-02-17,202,198,208,202,20
2006-02-20,190,190,200,190,20
2006-02-21,184,170,184,174,1485000
2006-02-22,180,180,180,180,250000
2006-02-23,178,178,178,178,105000
2006-02-24,180,180,182,180,20
2006-02-27,180,180,180,180,10
2006-02-28,184,180,184,184,20
2006-03-01,178,178,180,178,20
2006-03-02,160,160,180,174,675000
2006-03-03,162,162,176,176,525000
2006-03-06,174,166,176,176,630000
2006-03-07,180,178,180,180,20
2006-03-08,182,176,182,182,20
2006-03-09,182,180,182,182,20
2006-03-10,182,182,182,182,25000
2006-03-13,182,182,182,182,25000
2006-03-14,182,176,180,180,20
2006-03-15,180,182,182,182,20
2006-03-16,182,182,182,182,75000
2006-03-17,182,182,182,182,232500
2006-03-20,182,182,182,182,15
2006-03-21,182,180,180,180,20
2006-03-22,180,180,180,180,20
2006-03-23,180,180,180,180,25000
2006-03-24,180,180,180,180,25000
2006-03-27,180,180,180,180,25000
2006-03-28,182,176,182,182,20
2006-03-29,184,180,184,184,20
2006-03-30,184,184,184,184,0
2006-03-31,184,184,184,184,0
2006-04-03,184,184,184,184,2500
2006-04-04,180,180,180,180,37500
2006-04-05,184,176,184,184,20
2006-04-06,182,182,182,182,2500
2006-04-07,182,182,182,182,15
2006-04-10,182,182,182,182,0
2006-04-11,182,182,182,182,15
2006-04-12,176,176,176,176,15000
2006-04-13,176,176,176,176,20
2006-04-14,176,176,176,176,0
2006-04-17,176,176,176,176,20
2006-04-18,180,180,182,180,20
2006-04-19,180,180,180,180,15
2006-04-20,182,176,182,182,20
2006-04-21,180,176,180,180,20
2006-04-24,180,176,180,180,20
2006-04-25,180,180,180,180,15
2006-04-26,184,184,184,184,125000
2006-04-27,186,186,186,186,250000
2006-04-28,186,182,182,182,20
2006-05-01,182,182,182,182,15
2006-05-02,182,182,182,182,15
2006-05-03,182,182,182,182,15
2006-05-04,180,180,180,180,12500
2006-05-05,180,180,180,180,0
2006-05-08,180,180,180,180,50000
2006-05-09,176,176,176,176,37500
2006-05-10,176,176,176,176,20
2006-05-11,176,176,176,176,20
2006-05-12,176,176,176,176,20
2006-05-15,174,174,180,174,20
2006-05-16,176,176,176,176,12500
2006-05-17,176,176,176,176,20
2006-05-18,176,174,176,174,100000
2006-05-19,174,174,174,174,0
2006-05-22,172,172,176,172,20
2006-05-23,172,172,172,172,10
2006-05-24,172,170,184,184,132500
2006-05-25,184,184,184,184,0
2006-05-26,184,184,184,184,0
2006-05-29,184,184,184,184,0
2006-05-30,184,184,184,184,15
2006-05-31,176,176,176,176,62500
2006-06-01,176,176,176,176,5000
2006-06-02,176,176,176,176,20
2006-06-05,176,176,176,176,20
2006-06-06,176,176,176,176,15
2006-06-07,170,170,176,170,20
2006-06-08,170,170,170,170,0
2006-06-09,182,182,182,182,2500
2006-06-12,182,182,182,182,10
2006-06-13,182,182,182,182,10
2006-06-14,182,182,182,182,10
2006-06-15,182,182,182,182,0
2006-06-16,182,182,182,182,0
2006-06-19,180,178,180,180,20
2006-06-20,180,180,180,180,15
2006-06-21,180,180,180,180,15
2006-06-22,180,180,180,180,15
2006-06-23,180,180,180,180,15
2006-06-26,180,180,180,180,15
2006-06-27,180,180,180,180,10
2006-06-28,176,176,180,176,20
2006-06-29,176,176,176,176,50000
2006-06-30,176,176,176,176,20
2006-07-03,176,176,176,176,50000
2006-07-04,176,176,176,176,50000
2006-07-05,176,176,176,176,50000
2006-07-06,176,176,178,176,20
2006-07-07,176,176,176,176,112500
2006-07-10,176,176,176,176,50000
2006-07-11,176,176,176,176,550000
2006-07-12,176,176,176,176,235000
2006-07-13,176,176,176,176,10
2006-07-14,176,176,176,176,10
2006-07-17,176,172,176,174,267500
2006-07-18,176,170,176,176,20
2006-07-19,176,176,176,176,0
2006-07-20,176,176,176,176,125000
2006-07-21,176,176,176,176,20
2006-07-24,176,176,176,176,20
2006-07-25,176,176,176,176,20
2006-07-26,176,176,176,176,0
2006-07-27,176,176,176,176,0
2006-07-28,174,174,176,174,20
2006-07-31,176,176,176,176,50000
2006-08-01,176,176,176,176,10
2006-08-02,176,176,176,176,10
2006-08-03,176,176,176,176,10
2006-08-04,176,176,176,176,10
2006-08-07,176,176,176,176,10
2006-08-08,176,176,176,176,10
2006-08-09,176,176,176,176,10
2006-08-10,176,176,176,176,10
2006-08-11,176,176,176,176,10
2006-08-14,176,176,176,176,10
2006-08-15,176,176,176,176,10
2006-08-16,176,164,176,164,100000
2006-08-17,164,164,164,164,0
2006-08-18,164,164,164,164,0
