timestamp,open,low,high,close,volume
2017-07-12,93,82,93,88,0
2017-07-13,93,82,93,88,162060000
2017-07-14,88,83,90,88,49557000
2017-07-17,88,84,89,84,6644000
2017-07-18,84,80,88,82,30602000
2017-07-19,81,80,85,82,14051000
2017-07-20,82,80,82,80,4853000
2017-07-21,80,79,81,80,9018500
2017-07-24,81,81,95,89,118399500
2017-07-25,89,89,100,99,190536500
2017-07-26,99,96,100,98,12958000
2017-07-27,99,97,103,99,85376000
2017-07-28,99,96,101,97,23864500
2017-07-31,96,93,96,96,16982000
2017-08-01,96,96,98,96,18571500
2017-08-02,96,95,96,96,1642500
2017-08-03,95,93,96,93,2371500
2017-08-04,92,90,94,93,10550000
2017-08-07,93,91,94,91,1312500
2017-08-08,92,84,92,84,3411500
2017-08-09,86,86,98,96,150205500
2017-08-10,96,95,98,95,39000000
2017-08-11,94,93,94,94,4642500
2017-08-14,95,94,95,94,442000
2017-08-15,94,94,94,94,528500
2017-08-16,94,93,96,94,16533000
2017-08-17,94,94,94,94,0
2017-08-18,94,94,98,98,35851500
2017-08-21,98,97,99,97,29298000
2017-08-22,96,96,96,96,2316500
2017-08-23,96,95,113,104,121962000
2017-08-24,104,103,105,103,15136500
2017-08-25,104,101,109,106,46264000
2017-08-28,106,103,106,106,16760500
2017-08-29,105,104,105,105,6401500
2017-08-30,104,104,112,111,39077500
2017-08-31,111,109,114,111,14946000
2017-09-01,111,111,111,111,0
2017-09-04,112,110,113,112,11744500
2017-09-05,113,113,120,118,42905500
2017-09-06,118,117,131,131,63594000
2017-09-07,131,129,145,144,11212500
2017-09-08,145,140,160,140,13166000
2017-09-11,140,131,142,136,4429000
2017-09-12,139,137,166,162,139217500
2017-09-13,164,154,165,157,13497500
2017-09-14,157,155,162,156,5492000
2017-09-15,156,150,157,150,16446000
2017-09-18,155,155,165,157,13842000
2017-09-19,158,157,165,157,19707500
2017-09-20,158,154,162,156,24383500
2017-09-21,156,156,156,156,0
2017-09-22,156,152,161,152,20977500
2017-09-25,151,151,159,152,26222500
2017-09-26,152,140,154,146,2710000
2017-09-27,150,136,152,150,17667000
2017-09-28,152,148,160,158,14413000
2017-09-29,158,155,160,155,13784000
2017-10-02,155,155,193,193,113698000
2017-10-03,193,178,194,185,21879000
2017-10-04,185,175,219,207,65846000
2017-10-05,208,203,214,204,29657000
2017-10-06,204,196,210,199,19688500
2017-10-09,200,196,201,200,18580500
2017-10-10,201,198,215,200,21993500
2017-10-11,201,194,201,195,20296500
2017-10-12,196,195,199,197,16293000
2017-10-13,196,196,202,201,11910500
2017-10-16,201,199,207,201,16972000
2017-10-17,201,200,207,201,14296000
2017-10-18,201,196,201,197,21179000
2017-10-19,198,196,221,198,87549000
2017-10-20,199,196,201,200,17493000
2017-10-23,202,199,203,203,8405000
2017-10-24,204,201,228,228,53256000
2017-10-25,229,222,248,237,66191500
2017-10-26,234,225,246,236,27435500
2017-10-27,236,235,244,235,31297500
2017-10-30,236,230,241,236,24681000
2017-10-31,237,236,241,239,17722500
