timestamp,open,low,high,close,volume
2018-07-12,338,338,338,338,55800
2018-07-13,422,422,422,422,691000
2018-07-16,525,348,525,380,31023200
2018-07-17,370,338,370,338,3540700
2018-07-18,338,308,374,372,25700600
2018-07-19,374,364,412,412,38762700
2018-07-20,414,394,422,394,19987800
2018-07-23,394,376,398,388,1898600
2018-07-24,400,382,400,384,447400
2018-07-25,384,374,396,376,757900
2018-07-26,376,372,384,380,3805900
2018-07-27,380,380,388,382,5935100
2018-07-30,380,376,384,380,605300
2018-07-31,386,370,386,372,252900
2018-08-01,382,372,398,388,4552800
2018-08-02,390,384,400,384,5339800
2018-08-03,374,372,384,374,147700
2018-08-06,374,346,382,380,2679200
2018-08-07,380,366,380,376,12800
2018-08-08,370,368,408,408,23239600
2018-08-09,410,394,418,394,8020100
2018-08-10,394,390,396,390,409200
2018-08-13,390,388,396,394,3081300
2018-08-14,394,390,394,392,217400
2018-08-15,392,388,392,390,298500
2018-08-16,392,386,392,386,470200
2018-08-17,386,386,386,386,0
2018-08-20,384,382,388,388,793700
2018-08-21,388,386,390,390,240800
2018-08-22,390,390,390,390,0
2018-08-23,390,380,390,380,711100
2018-08-24,380,380,382,382,29700
2018-08-27,382,380,382,382,167300
2018-08-28,380,380,382,382,129100
2018-08-29,382,380,410,388,12101700
2018-08-30,386,384,388,384,333800
2018-08-31,382,382,386,384,1372100
2018-09-03,382,382,384,384,2085400
2018-09-04,382,378,384,380,3337100
2018-09-05,378,368,380,368,768400
2018-09-06,368,366,374,372,5304700
2018-09-07,370,370,376,376,2935800
2018-09-10,374,374,378,378,2535700
2018-09-11,378,378,378,378,0
2018-09-12,378,378,384,384,1974500
2018-09-13,384,382,384,384,34500
2018-09-14,382,380,382,380,154100
2018-09-17,380,380,384,384,453900
2018-09-18,384,380,384,382,162600
2018-09-19,382,378,382,380,359400
2018-09-20,380,380,390,388,1312900
2018-09-21,388,382,388,388,463400
2018-09-24,388,386,390,390,274400
2018-09-25,390,386,392,392,371200
2018-09-26,392,390,392,390,322000
2018-09-27,394,390,408,400,4546400
2018-09-28,400,396,414,406,5476300
2018-10-01,406,404,420,418,5708700
2018-10-02,418,412,430,414,9463100
2018-10-03,414,410,422,420,2166800
2018-10-04,420,416,422,418,1923900
2018-10-05,416,416,420,418,703300
2018-10-08,418,416,418,418,514400
2018-10-09,416,416,430,428,3061800
2018-10-10,428,428,430,430,835400
2018-10-11,430,420,430,426,417600
2018-10-12,426,426,438,438,4487200
2018-10-15,438,426,458,444,9674500
2018-10-16,444,440,444,442,417400
2018-10-17,442,440,460,454,5170700
2018-10-18,454,454,462,460,3822600
2018-10-19,460,458,486,478,15821900
2018-10-22,478,478,505,484,8397700
2018-10-23,484,470,484,478,2698900
2018-10-24,478,476,482,476,865100
2018-10-25,474,464,486,484,8063300
2018-10-26,486,470,490,490,3851200
2018-10-29,490,488,510,500,6806500
2018-10-30,500,496,555,535,25973800
2018-10-31,540,520,560,550,10305400
2018-11-01,550,500,550,550,8816600
2018-11-02,550,540,575,565,5946500
2018-11-05,565,540,580,540,6030900
2018-11-06,540,525,560,540,4622600
2018-11-07,540,540,565,555,7504500
2018-11-08,555,550,565,550,1624600
2018-11-09,550,545,550,550,739200
2018-11-12,550,535,555,535,1129700
2018-11-13,530,520,535,525,2961600
2018-11-14,520,500,535,525,5002300
2018-11-15,525,515,525,525,436300
2018-11-16,525,515,525,515,395100
2018-11-19,515,510,515,510,825800
2018-11-20,510,510,510,510,0
2018-11-21,505,500,560,550,24080600
2018-11-22,550,550,605,580,37916200
2018-11-23,580,570,585,585,6501300
2018-11-26,585,580,600,585,5868700
2018-11-27,590,585,595,595,7966200
2018-11-28,595,590,645,625,27557600
2018-11-29,625,620,670,650,26963900
2018-11-30,655,650,715,685,28213000
2018-12-03,690,685,705,685,13215900
2018-12-04,690,630,700,645,12551000
2018-12-05,650,645,695,695,11913400
2018-12-06,700,695,725,710,10407300
2018-12-07,715,685,730,700,3356200
2018-12-10,695,670,715,685,11394900
2018-12-11,685,670,685,675,4538600
2018-12-12,675,655,705,705,11336100
2018-12-13,705,680,735,735,13498300
2018-12-14,740,735,755,750,8831400
2018-12-17,750,735,755,740,5957500
2018-12-18,745,730,750,745,7432500
2018-12-19,745,745,785,770,25002400
2018-12-20,765,760,800,790,20626900
