timestamp,open,low,high,close,volume
2005-12-21,500,500,695,650,11126000
2005-12-22,650,630,650,650,15491500
2005-12-23,650,640,650,650,6067500
2005-12-26,650,650,650,650,0
2005-12-27,650,640,650,650,9248500
2005-12-28,660,650,660,660,4
2005-12-29,660,650,660,660,11507000
2005-12-30,660,660,660,660,0
2006-01-02,660,650,660,660,10723000
2006-01-03,670,650,670,670,4
2006-01-04,670,670,680,670,13221500
2006-01-05,700,660,700,700,4
2006-01-06,710,700,730,710,4
2006-01-09,730,710,740,730,4
2006-01-10,730,730,730,730,0
2006-01-11,750,740,760,750,4
2006-01-12,740,730,750,740,4
2006-01-13,730,730,740,730,11753500
2006-01-16,730,720,730,730,9629500
2006-01-17,720,710,730,720,4
2006-01-18,720,710,720,720,10552500
2006-01-19,730,720,730,730,4
2006-01-20,750,710,750,750,4
2006-01-23,760,740,760,760,4
2006-01-24,760,750,760,760,12006500
2006-01-25,760,760,770,760,14637500
2006-01-26,760,760,770,760,12068000
2006-01-27,760,760,770,760,4
2006-01-30,770,760,770,770,8054000
2006-01-31,770,770,770,770,0
2006-02-01,770,760,770,770,11284000
2006-02-02,760,760,770,760,4
2006-02-03,760,760,770,760,10946000
2006-02-06,770,760,770,770,4
2006-02-07,780,770,780,780,4
2006-02-08,770,760,780,770,4
2006-02-09,770,760,770,770,6005500
2006-02-10,770,770,770,770,5165500
2006-02-13,770,760,770,770,5199500
2006-02-14,760,760,770,760,4
2006-02-15,750,750,760,750,4
2006-02-16,760,750,760,760,7243000
2006-02-17,770,760,780,770,4
2006-02-20,770,760,780,770,6874500
2006-02-21,770,760,770,770,5655500
2006-02-22,770,760,770,770,6184500
2006-02-23,770,760,770,770,5230000
2006-02-24,770,770,770,770,6411000
2006-02-27,770,770,780,770,6761000
2006-02-28,770,770,770,770,5732500
2006-03-01,770,760,770,770,5105500
2006-03-02,770,770,780,770,6226500
2006-03-03,770,770,780,770,5690500
2006-03-06,770,760,770,770,4
2006-03-07,770,760,770,770,5745500
2006-03-08,760,760,770,760,4
2006-03-09,780,760,780,780,4
2006-03-10,790,780,800,790,4
2006-03-13,790,790,800,790,6340500
2006-03-14,790,790,800,790,5826500
2006-03-15,790,790,800,790,7521500
2006-03-16,800,800,810,800,7646500
2006-03-17,800,800,810,800,4753500
2006-03-20,810,800,810,810,4
2006-03-21,810,800,810,800,5030000
2006-03-22,790,790,800,790,4
2006-03-23,790,790,800,790,4843500
2006-03-24,800,790,800,800,4
2006-03-27,810,790,810,810,4
2006-03-28,810,810,820,810,5387500
2006-03-29,820,810,820,820,4
2006-03-30,820,820,820,820,0
2006-03-31,820,820,820,820,0
2006-04-03,820,810,820,820,4916500
2006-04-04,820,820,820,820,3839500
2006-04-05,830,820,830,830,4
2006-04-06,820,820,830,820,4
2006-04-07,830,820,840,830,4
2006-04-10,830,830,830,830,0
2006-04-11,830,830,840,830,4
2006-04-12,830,830,840,830,4535500
2006-04-13,830,830,840,830,3764500
2006-04-14,830,830,830,830,0
2006-04-17,840,830,840,840,4
2006-04-18,840,830,850,840,3780000
2006-04-19,850,840,850,850,4
2006-04-20,860,850,860,860,4
2006-04-21,860,860,870,860,7447500
2006-04-24,860,850,860,860,4237000
