timestamp,open,low,high,close,volume
2022-11-09,126,119,132,124,0
2022-11-10,126,119,132,124,102826800
2022-11-11,124,119,137,126,184932900
2022-11-14,127,124,152,131,421256000
2022-11-15,132,130,138,133,66359600
2022-11-16,134,130,135,131,66993300
2022-11-17,132,125,132,128,47962300
2022-11-18,128,128,134,130,88062400
2022-11-21,130,125,131,128,24347100
2022-11-22,129,124,133,129,39146900
2022-11-23,132,128,132,132,24737700
2022-11-24,132,128,132,131,75514100
2022-11-25,131,129,132,131,20709000
2022-11-28,131,128,134,133,27456700
2022-11-29,133,131,137,131,29478600
2022-11-30,131,128,131,130,13518700
2022-12-01,131,128,131,130,0
2022-12-02,127,126,132,130,39018500
2022-12-05,130,127,131,128,7193400
2022-12-06,128,125,129,126,41642200
2022-12-07,126,124,127,125,8463300
2022-12-08,126,118,126,120,28094000
2022-12-09,121,118,123,121,7963200
2022-12-12,121,119,129,128,44021000
2022-12-13,129,123,129,126,62428900
2022-12-14,127,124,128,124,3622400
2022-12-15,124,120,125,124,12247000
2022-12-16,122,121,127,125,6401500
2022-12-19,125,123,129,126,36878300
2022-12-20,125,124,129,126,28335400
2022-12-21,127,125,127,126,34123300
2022-12-22,126,125,127,127,6485400
2022-12-23,127,126,138,131,32438200
2022-12-26,132,128,176,135,377100900
2022-12-27,135,130,146,136,179624300
2022-12-28,137,132,141,132,51737700
2022-12-29,128,128,138,135,18913600
2022-12-30,136,129,137,129,23832700
2023-01-02,129,125,132,129,13300000
2023-01-03,129,125,130,128,7678600
2023-01-04,128,126,137,135,76241400
2023-01-05,136,126,136,126,19035000
2023-01-06,126,121,128,125,6376700
