timestamp,open,low,high,close,volume
2018-10-09,252,252,252,252,0
2018-10-10,252,252,252,252,455700
2018-10-11,300,200,314,276,42537800
2018-10-12,276,232,286,240,8845000
2018-10-15,238,224,258,224,2708400
2018-10-16,210,198,274,234,7260900
2018-10-17,242,234,260,240,1750700
2018-10-18,240,220,250,236,881200
2018-10-19,238,226,270,254,2880700
2018-10-22,254,250,314,314,7799100
2018-10-23,316,308,392,392,22988200
2018-10-24,398,396,490,490,19274600
2018-10-25,560,520,610,610,18906600
2018-10-26,680,650,760,760,8024700
2018-10-29,760,760,760,760,0
2018-10-30,810,570,940,570,16020500
2018-10-31,600,428,710,700,34048600
2018-11-01,730,670,790,670,7581600
2018-11-02,650,620,725,685,5904100
2018-11-05,690,655,695,660,2836900
2018-11-06,660,660,695,685,2592800
2018-11-07,685,645,705,655,3266500
2018-11-08,655,640,685,650,2511000
2018-11-09,660,610,675,645,1568600
2018-11-12,645,600,645,640,1316300
2018-11-13,640,595,655,630,2680400
2018-11-14,610,610,785,695,5477800
2018-11-15,700,650,715,705,1931100
2018-11-16,675,675,785,770,2956900
2018-11-19,780,780,890,860,3036800
2018-11-20,860,860,860,860,0
2018-11-21,880,860,1075,1075,6482000
2018-11-22,1100,990,1325,1005,9122200
2018-11-23,1010,900,1100,945,1721300
2018-11-26,945,945,1050,995,763700
2018-11-27,1000,865,1030,865,1203700
2018-11-28,865,705,900,775,1799100
2018-11-29,770,740,920,885,4684700
2018-11-30,895,780,905,780,1240400
2018-12-03,780,780,880,780,954000
2018-12-04,780,740,800,795,1179600
2018-12-05,795,760,905,820,2873400
2018-12-06,825,775,825,775,491200
2018-12-07,775,775,840,780,409200
2018-12-10,780,760,800,765,303700
2018-12-11,765,755,815,760,673900
2018-12-12,760,760,785,760,257600
2018-12-13,770,755,790,790,959000
2018-12-14,790,760,795,765,3238000
2018-12-17,765,750,780,750,181400
2018-12-18,760,750,775,750,511200
2018-12-19,750,750,795,795,864600
2018-12-20,805,765,935,770,7912500
2018-12-21,780,755,795,760,829100
2018-12-24,760,760,760,760,0
2018-12-25,760,760,760,760,0
2018-12-26,755,755,785,780,538600
2018-12-27,765,765,800,795,522800
2018-12-28,810,770,905,770,4349500
2018-12-31,770,770,770,770,0
2019-01-01,770,770,770,770,0
2019-01-02,775,765,790,770,620500
2019-01-03,765,765,800,785,455200
2019-01-04,795,770,800,790,358600
2019-01-07,780,775,800,795,309400
2019-01-08,795,780,795,785,207000
2019-01-09,790,775,790,790,155000
2019-01-10,790,775,790,775,178600
2019-01-11,775,775,790,785,159900
2019-01-14,780,775,790,785,201600
2019-01-15,785,765,800,795,1322800
2019-01-16,795,780,810,800,291100
2019-01-17,800,780,800,780,112700
2019-01-18,790,775,800,780,107300
2019-01-21,780,770,810,780,342800
2019-01-22,780,775,795,790,188300
2019-01-23,795,765,795,790,245300
2019-01-24,780,770,790,790,45800
2019-01-25,785,770,785,780,70300
2019-01-28,770,750,775,775,153100
2019-01-29,785,750,790,780,433500
2019-01-30,760,760,780,780,44900
2019-01-31,780,750,795,775,446400
2019-02-01,780,750,795,770,437100
2019-02-04,755,750,770,770,38900
2019-02-05,770,770,770,770,0
2019-02-06,775,760,795,770,249800
2019-02-07,760,760,770,770,20400
2019-02-08,795,760,795,775,146500
2019-02-11,760,760,795,770,432500
2019-02-12,765,765,770,765,180300
2019-02-13,755,750,765,755,122300
2019-02-14,760,750,760,750,27700
2019-02-15,750,750,795,785,393800
2019-02-18,785,770,795,795,193700
2019-02-19,775,770,790,790,104600
2019-02-20,790,770,790,770,10700
2019-02-21,755,755,800,795,399800
2019-02-22,790,760,795,770,225300
2019-02-25,770,765,800,790,311700
2019-02-26,765,765,795,770,202300
2019-02-27,770,770,770,770,0
2019-02-28,790,765,800,800,270700
2019-03-01,795,750,805,805,216800
2019-03-04,775,770,775,775,31500
2019-03-05,765,760,785,765,58400
2019-03-06,760,750,760,760,152800
2019-03-07,760,760,760,760,0
2019-03-08,780,755,780,755,43600
2019-03-11,765,755,860,840,461500
2019-03-12,890,770,955,800,651700
2019-03-13,770,765,790,775,121600
2019-03-14,765,760,790,765,24800
2019-03-15,760,755,780,770,16700
2019-03-18,755,755,775,775,3900
2019-03-19,775,760,775,760,21800
2019-03-20,755,750,775,750,21200
2019-03-21,750,750,775,750,82600
2019-03-22,750,740,750,740,38900
2019-03-25,790,740,790,770,14300
2019-03-26,745,740,750,740,71300
2019-03-27,740,740,740,740,0
2019-03-28,740,740,740,740,0
