timestamp,open,low,high,close,volume
2021-07-09,135,135,135,135,236200
2021-07-12,182,182,182,182,69700
2021-07-13,244,244,244,244,521700
2021-07-14,304,284,304,304,490075700
2021-07-15,308,298,342,318,514648500
2021-07-16,318,296,338,296,665637700
2021-07-19,276,276,294,276,112574300
2021-07-20,276,276,294,276,0
2021-07-21,272,258,274,258,83801700
2021-07-22,258,240,258,240,12269400
2021-07-23,226,224,238,224,6921800
2021-07-26,224,210,256,224,223179000
2021-07-27,224,210,236,210,1329211600
2021-07-28,208,196,210,196,335339200
2021-07-29,183,183,220,197,862075100
2021-07-30,197,184,210,184,1261891800
2021-08-02,184,172,185,172,716161200
2021-08-03,170,160,180,160,205921800
2021-08-04,149,149,187,176,2462222700
2021-08-05,178,164,184,164,966589600
2021-08-06,163,153,163,153,857562500
2021-08-09,153,143,162,158,1157267100
2021-08-10,158,147,160,147,483548700
2021-08-11,158,147,160,147,0
2021-08-12,142,137,147,137,372897800
2021-08-13,135,128,135,128,216369300
2021-08-16,121,120,171,165,1632064400
2021-08-17,121,120,171,165,0
2021-08-18,165,154,172,154,386395600
2021-08-19,144,144,147,144,303155600
2021-08-20,138,134,147,140,671632200
2021-08-23,140,139,150,144,414270900
2021-08-24,144,143,163,152,1356437900
2021-08-25,152,142,170,142,1728194500
2021-08-26,135,133,143,133,1128851000
2021-08-27,133,124,133,124,1173974800
2021-08-30,124,116,134,129,898901100
2021-08-31,129,120,132,120,1376200500
2021-09-01,117,114,127,125,731916300
2021-09-02,125,117,125,117,1287746000
2021-09-03,118,109,118,109,844756900
2021-09-06,114,102,114,102,236984600
2021-09-07,99,95,104,96,541775300
2021-09-08,96,95,102,97,238789800
2021-09-09,97,91,99,92,244306900
2021-09-10,92,86,94,87,223229100
2021-09-13,87,84,92,87,190659700
2021-09-14,88,87,95,90,191801200
2021-09-15,92,90,94,92,94740500
2021-09-16,92,88,94,90,67178000
2021-09-17,90,87,91,89,63355200
2021-09-20,89,87,92,89,42336700
2021-09-21,89,87,91,89,65620800
2021-09-22,89,88,92,89,57126300
2021-09-23,89,87,91,88,53152200
2021-09-24,88,86,89,87,38281000
2021-09-27,87,81,88,83,108369500
2021-09-28,83,78,84,78,100936100
2021-09-29,78,73,79,74,85055700
2021-09-30,74,73,84,82,280887300
2021-10-01,82,78,83,78,71183000
2021-10-04,75,75,80,77,41992700
2021-10-05,75,75,83,79,64746700
2021-10-06,80,76,80,76,44315400
2021-10-07,71,71,79,76,38883400
2021-10-08,73,73,79,76,46565100
2021-10-11,76,76,79,78,45456100
2021-10-12,78,75,79,76,34305000
2021-10-13,72,72,77,74,34756400
2021-10-14,74,72,75,73,26298400
2021-10-15,69,69,76,74,25815500
2021-10-18,74,74,78,76,35514400
2021-10-19,80,75,80,76,21418500
2021-10-20,80,75,80,76,0
2021-10-21,78,74,79,75,44237400
2021-10-22,71,71,76,74,19353100
2021-10-25,74,72,75,74,14260900
2021-10-26,73,72,75,73,22326800
2021-10-27,69,69,74,72,27951700
2021-10-28,68,68,73,71,22919800
2021-10-29,72,70,73,71,33085600
2021-11-01,72,71,75,72,50647500
2021-11-02,72,71,74,71,18068100
2021-11-03,71,70,72,71,11777700
2021-11-04,72,70,72,71,19716500
2021-11-05,73,71,86,81,506859300
2021-11-08,81,76,84,76,130141200
2021-11-09,76,76,82,80,109714300
2021-11-10,82,79,83,79,63674700
2021-11-11,79,78,81,79,40486300
2021-11-12,79,77,80,78,35721300
2021-11-15,78,76,80,77,20869800
2021-11-16,78,75,80,76,58146600
2021-11-17,76,74,79,75,41122900
2021-11-18,76,74,80,77,45207600
2021-11-19,77,76,80,76,31906500
2021-11-22,76,76,79,77,26806000
2021-11-23,78,75,78,76,14206800
2021-11-24,76,74,77,74,18943500
2021-11-25,75,74,76,74,14123200
2021-11-26,74,73,76,73,20486700
2021-11-29,73,70,75,73,19438300
2021-11-30,73,71,75,72,20871100
2021-12-01,72,70,73,71,15318900
2021-12-02,70,70,72,71,19839700
2021-12-03,71,70,72,71,12509800
2021-12-06,72,70,72,71,13654700
2021-12-07,72,70,74,71,20361900
2021-12-08,71,70,72,70,10053600
2021-12-09,70,70,76,73,32202300
2021-12-10,75,71,75,72,10542000
2021-12-13,72,71,76,71,40644400
2021-12-14,72,71,73,71,14823400
2021-12-15,71,70,72,70,9169100
2021-12-16,71,70,72,70,8211400
2021-12-17,71,70,72,70,14008900
2021-12-20,70,69,74,71,57209100
2021-12-21,71,70,73,71,12604200
2021-12-22,71,70,71,70,17583300
2021-12-23,70,69,72,70,12471500
2021-12-24,70,68,71,70,41859300
2021-12-27,70,69,72,72,35416800
2021-12-28,72,71,74,71,25681300
2021-12-29,71,70,72,70,8830500
2021-12-30,70,69,73,69,26425300
2021-12-31,70,69,73,69,0
2022-01-03,70,69,75,73,65133400
2022-01-04,73,72,74,73,16771600
2022-01-05,73,72,74,73,17948100
2022-01-06,73,71,73,71,8796100
2022-01-07,71,70,73,71,16225200
2022-01-10,71,70,72,70,11615200
2022-01-11,70,69,71,69,17848000
2022-01-12,70,68,70,69,20064300
2022-01-13,70,65,70,66,42043200
2022-01-14,66,63,67,65,29925700
2022-01-17,65,64,66,64,23971000
2022-01-18,64,64,69,65,58649300
2022-01-19,66,64,66,65,10017200
2022-01-20,65,64,68,68,23791600
2022-01-21,67,67,72,67,22897200
2022-01-24,67,66,70,67,13130700
2022-01-25,67,65,67,65,9137100
2022-01-26,65,61,66,63,29998900
2022-01-27,64,62,65,62,13808000
2022-01-28,63,61,63,63,18925100
2022-01-31,65,61,65,62,19224100
2022-02-01,65,61,65,62,0
2022-02-02,62,62,65,63,15055700
2022-02-03,64,62,64,63,10928400
2022-02-04,63,62,64,63,8135300
2022-02-07,63,62,64,63,11558600
2022-02-08,64,62,64,63,8878700
2022-02-09,63,62,64,63,13014300
2022-02-10,63,63,64,63,8142300
2022-02-11,64,63,79,74,521846800
2022-02-14,74,70,75,72,146153400
2022-02-15,72,69,73,70,46685400
2022-02-16,70,68,76,76,141837600
2022-02-17,77,73,78,75,85888600
2022-02-18,75,73,82,77,229419900
2022-02-21,78,76,81,78,90707500
2022-02-22,79,78,89,86,466392200
2022-02-23,87,80,89,80,351028500
2022-02-24,80,75,83,75,171999200
2022-02-25,75,74,78,76,41235600
2022-02-28,75,74,78,76,0
2022-03-01,76,74,79,75,49002100
2022-03-02,75,71,77,72,54551200
2022-03-03,75,71,77,72,0
2022-03-04,73,72,78,76,97411300
2022-03-07,77,75,83,82,184675700
2022-03-08,86,83,94,87,531467200
2022-03-09,88,81,88,81,188150000
2022-03-10,80,78,83,78,90004600
2022-03-11,79,77,83,80,66755500
2022-03-14,80,80,80,80,0
2022-03-15,79,78,81,80,37053200
2022-03-16,80,79,86,84,107085300
2022-03-17,90,80,90,80,94821200
2022-03-18,80,79,81,80,26020800
2022-03-21,82,78,82,79,21473400
2022-03-22,79,78,85,83,111650300
2022-03-23,83,80,84,82,39473900
2022-03-24,83,81,85,83,71171900
2022-03-25,85,83,88,85,212037600
2022-03-28,84,81,87,82,141037800
2022-03-29,82,77,83,78,109142300
2022-03-30,79,77,79,78,14918900
2022-03-31,78,74,79,76,43276400
2022-04-01,77,75,80,79,54383300
2022-04-04,78,74,79,75,146757000
2022-04-05,75,73,76,75,36581100
2022-04-06,75,73,78,73,41650700
2022-04-07,74,73,76,74,30816200
2022-04-08,74,74,77,74,37311100
2022-04-11,74,73,75,74,21711000
2022-04-12,74,72,75,73,18186100
2022-04-13,74,71,76,76,45573200
2022-04-14,77,75,78,75,41515000
2022-04-15,77,75,78,75,0
2022-04-18,75,74,76,75,16493700
2022-04-19,75,73,76,74,17849900
2022-04-20,74,70,75,72,35645300
2022-04-21,72,70,76,73,45683200
2022-04-22,74,71,74,72,13828400
2022-04-25,72,70,73,70,15327100
2022-04-26,70,68,71,69,23854500
2022-04-27,70,68,73,69,23000900
2022-04-28,70,69,71,69,8890200
2022-04-29,70,69,71,69,0
2022-05-02,70,69,71,69,0
2022-05-03,70,69,71,69,0
2022-05-04,70,69,71,69,0
2022-05-05,70,69,71,69,0
2022-05-06,70,69,71,69,0
2022-05-09,70,69,87,85,425682800
2022-05-10,87,80,88,84,197063600
2022-05-11,85,83,87,84,52828600
2022-05-12,84,83,94,85,291550900
2022-05-13,86,84,88,85,57607500
2022-05-16,86,84,88,85,0
2022-05-17,86,85,91,88,117210400
2022-05-18,89,88,96,90,289086200
2022-05-19,90,85,91,85,81752000
2022-05-20,86,85,90,87,65849400
2022-05-23,87,86,89,89,47895800
2022-05-24,100,87,100,89,90911200
2022-05-25,89,85,90,86,47831300
2022-05-26,89,85,90,86,0
2022-05-27,89,85,90,86,0
2022-05-30,95,88,95,90,46161700
2022-05-31,90,88,101,97,297564500
2022-06-01,90,88,101,97,0
2022-06-02,95,95,122,119,553748100
2022-06-03,123,111,128,114,508686400
2022-06-06,107,107,123,111,239922100
2022-06-07,111,108,117,113,88715700
2022-06-08,115,106,115,106,82955700
2022-06-09,105,101,111,109,109402700
2022-06-10,109,105,111,106,54170700
2022-06-13,106,99,108,101,88251500
2022-06-14,101,99,108,103,78087000
2022-06-15,104,100,109,103,84172400
2022-06-16,103,98,106,101,49241000
2022-06-17,102,101,107,105,101691400
2022-06-20,106,104,116,115,272855500
