timestamp,open,low,high,close,volume
2022-12-05,82,68,82,69,326737800
2022-12-06,64,63,69,63,80919200
2022-12-07,57,57,58,57,8888100
2022-12-08,52,52,54,52,19258500
2022-12-09,47,47,47,47,7634900
2022-12-12,43,43,49,43,87880700
2022-12-13,40,39,43,39,61223700
2022-12-14,36,36,40,39,57251700
2022-12-15,39,38,42,42,32519100
2022-12-16,43,42,46,46,37002800
2022-12-19,47,47,50,50,23427200
2022-12-20,54,52,55,55,10915800
2022-12-21,59,59,60,60,17179300
2022-12-22,66,54,66,54,50495800
2022-12-23,49,49,57,53,42922000
2022-12-26,49,49,54,50,14244300
2022-12-27,49,46,52,48,15961000
2022-12-28,44,44,49,46,6939700
2022-12-29,46,46,50,50,21634700
2022-12-30,52,47,54,49,19703900
2023-01-02,49,46,50,48,7547200
2023-01-03,49,47,49,47,4052200
2023-01-04,48,46,48,46,3228000
2023-01-05,46,43,46,44,5170800
2023-01-06,44,40,45,42,4874300
