timestamp,open,low,high,close,volume
2021-09-06,336,296,336,336,175431500
2021-09-07,350,344,420,420,207772100
2021-09-08,430,430,525,525,170055600
2021-09-09,560,535,655,655,75743800
2021-09-10,700,610,765,610,74566300
2021-09-13,570,570,570,570,1003900
2021-09-14,535,535,535,535,1512100
2021-09-15,498,498,498,498,2974100
2021-09-16,498,464,505,464,43825400
2021-09-17,432,432,530,432,375639600
2021-09-20,430,402,454,402,34926500
2021-09-21,410,390,468,426,233735100
2021-09-22,428,408,450,410,65644300
2021-09-23,410,382,414,386,27551800
2021-09-24,386,360,390,360,20400000
2021-09-27,360,336,360,338,33484800
2021-09-28,338,318,356,340,30811300
2021-09-29,340,318,340,320,6757100
2021-09-30,318,302,320,304,7631100
2021-10-01,304,302,380,380,114042600
2021-10-04,400,354,410,354,40865400
2021-10-05,330,330,346,330,20099500
2021-10-06,320,310,346,314,38059300
2021-10-07,316,308,328,310,8517200
2021-10-08,312,310,338,318,22092300
2021-10-11,322,312,324,320,6643400
2021-10-12,320,310,320,310,4404000
2021-10-13,310,304,316,304,5711900
2021-10-14,304,294,308,296,7685900
2021-10-15,296,296,316,300,12903700
2021-10-18,300,296,306,298,3840800
2021-10-19,298,290,300,296,4195400
2021-10-20,298,290,300,296,0
2021-10-21,296,288,298,292,3921800
2021-10-22,288,282,296,290,3255100
2021-10-25,290,282,290,286,2335800
2021-10-26,286,276,288,278,3145400
2021-10-27,278,268,308,278,23342100
2021-10-28,278,268,284,270,3529000
2021-10-29,272,270,286,276,4373800
2021-11-01,274,272,280,274,2111800
2021-11-02,276,272,280,272,2036700
2021-11-03,274,268,280,270,2842700
2021-11-04,270,268,274,270,2147200
2021-11-05,270,268,292,274,12896900
2021-11-08,276,272,276,272,2240700
2021-11-09,272,270,278,274,1820000
2021-11-10,274,272,276,272,1273400
2021-11-11,274,272,276,272,1366600
2021-11-12,274,270,276,270,1436000
2021-11-15,272,268,272,270,2463800
2021-11-16,270,264,270,264,3213900
2021-11-17,264,254,266,256,2519800
2021-11-18,256,250,256,254,1980500
2021-11-19,254,254,268,264,4217300
