timestamp,open,low,high,close,volume
2017-12-29,254,254,254,254,26200
2018-01-01,254,254,254,254,0
2018-01-02,316,316,316,316,10000
2018-01-03,394,394,394,394,2800
2018-01-04,492,492,492,492,9200
2018-01-05,615,615,615,615,388100
2018-01-08,760,760,765,765,644800
2018-01-09,850,650,955,955,7275600
2018-01-10,955,955,955,955,0
2018-01-11,980,780,1000,940,2973600
2018-01-12,940,865,940,930,872200
2018-01-15,930,905,950,920,296300
2018-01-16,910,905,1110,1060,1345100
2018-01-17,1060,1060,1325,1260,1068000
2018-01-18,1300,1300,1545,1480,30032100
2018-01-19,1500,1460,1700,1670,1113100
2018-01-22,1670,1555,1795,1660,803000
2018-01-23,1660,1610,1665,1650,11470500
2018-01-24,1640,1610,1695,1645,5861200
2018-01-25,1640,1625,1645,1645,237800
2018-01-26,1645,1630,1820,1785,26917100
2018-01-29,1790,1765,1825,1780,7588900
2018-01-30,1775,1740,1780,1765,38387800
2018-01-31,1760,1760,1915,1895,30647400
2018-02-01,1900,1890,2180,2160,9577900
2018-02-02,2160,2160,2160,2160,0
2018-02-05,2160,2160,2160,2160,0
2018-02-06,2160,2160,2160,2160,0
2018-02-07,2160,2160,2160,2160,0
2018-02-08,2160,2160,2160,2160,0
2018-02-09,2160,2160,2160,2160,0
2018-02-12,2150,1980,2150,2140,852000
2018-02-13,2140,2120,2250,2230,409800
2018-02-14,2230,2230,2640,2490,25161000
2018-02-15,2490,2410,2600,2460,20019400
2018-02-16,2460,2460,2460,2460,0
2018-02-19,2450,2440,2510,2470,6412200
2018-02-20,2470,2420,2480,2420,162700
2018-02-21,2420,2310,2530,2460,15028200
2018-02-22,2460,2400,2470,2400,5531400
2018-02-23,2400,2390,2450,2410,3990000
2018-02-26,2410,2380,2420,2420,75200
2018-02-27,2410,2380,2410,2410,58700
2018-02-28,2410,2380,2410,2380,73100
2018-03-01,2380,2330,2390,2370,96500
2018-03-02,2370,2360,2370,2370,25300
2018-03-05,2370,2360,2370,2360,23900
2018-03-06,2360,2300,2360,2340,99800
2018-03-07,2330,2250,2330,2300,134500
2018-03-08,2290,2280,2300,2300,138100
2018-03-09,2300,2300,2310,2310,20000
2018-03-12,2300,2300,2310,2310,11900
2018-03-13,2300,2290,2300,2300,20800
2018-03-14,2300,2250,2300,2250,87100
2018-03-15,2250,2240,2250,2250,33600
2018-03-16,2250,2220,2260,2260,50800
2018-03-19,2260,2260,2280,2280,16700
2018-03-20,2280,2280,2280,2280,25100
2018-03-21,2280,2280,2290,2290,10000
2018-03-22,2290,2280,2300,2300,15400
2018-03-23,2300,2290,2300,2300,16300
2018-03-26,2300,2290,2300,2300,10300
2018-03-27,2300,2290,2310,2310,25500
2018-03-28,2300,2300,2360,2350,116600
2018-03-29,2350,2350,2630,2600,756900
2018-03-30,2600,2600,2600,2600,0
2018-04-02,2560,2450,2570,2490,195300
2018-04-03,2490,2460,2490,2460,50700
2018-04-04,2470,2460,2470,2470,27000
2018-04-05,2470,2460,2470,2470,15600
2018-04-06,2470,2470,2480,2480,30100
