timestamp,open,low,high,close,volume
2018-12-26,1800,1800,1800,1800,35600
2018-12-27,2250,2250,2250,2250,521600
2018-12-28,2790,2790,2810,2810,339200
2018-12-31,2810,2810,2810,2810,0
2019-01-01,2810,2810,2810,2810,0
2019-01-02,3510,3130,3510,3510,1107300
2019-01-03,3650,2900,3650,2970,472200
2019-01-04,2970,2500,2970,2700,412500
2019-01-07,2680,2600,2700,2610,73800
2019-01-08,2510,2500,2550,2510,140500
2019-01-09,2500,2500,2620,2510,39100
2019-01-10,2520,2500,2600,2510,44600
2019-01-11,2510,2510,2520,2510,12300
2019-01-14,2530,2510,2540,2510,19600
2019-01-15,2520,2510,2800,2670,47200
2019-01-16,2670,2550,2680,2550,31700
2019-01-17,2600,2540,2600,2540,4200
2019-01-18,2540,2510,2570,2560,9200
2019-01-21,2560,2520,2610,2550,18300
2019-01-22,2520,2500,2550,2540,133900
2019-01-23,2540,2520,2540,2520,90800
2019-01-24,2530,2520,2530,2520,40500
2019-01-25,2520,2520,2540,2530,8100
2019-01-28,2630,2520,2630,2550,52200
2019-01-29,2550,2450,2550,2450,8100
2019-01-30,2500,2400,2500,2400,5600
2019-01-31,2400,2300,2400,2300,58700
2019-02-01,2300,2290,2300,2300,32200
2019-02-04,2310,2310,2320,2310,28100
2019-02-05,2310,2310,2310,2310,0
2019-02-06,2310,2200,2310,2200,80100
2019-02-07,2250,2200,2290,2200,47900
2019-02-08,2200,2180,2200,2200,1300
2019-02-11,2200,2100,2520,2500,35400
2019-02-12,2420,2150,2420,2150,31500
2019-02-13,2220,2200,2250,2250,16500
2019-02-14,2200,2110,2200,2110,36400
2019-02-15,2300,2300,2630,2630,803900
2019-02-18,2630,2400,3100,2450,1277200
2019-02-19,2450,2300,2510,2400,139800
2019-02-20,2500,2410,2510,2420,138900
2019-02-21,2420,2350,2420,2360,52300
2019-02-22,2350,2200,2360,2280,209800
2019-02-25,2280,2100,2300,2130,232400
2019-02-26,2180,2050,2180,2140,120500
2019-02-27,2140,2100,2140,2100,50500
2019-02-28,2100,2050,2100,2060,107300
2019-03-01,2070,2040,2100,2080,66100
2019-03-04,2080,2080,2180,2170,106600
2019-03-05,2170,2120,2250,2200,30100
2019-03-06,2200,2150,2250,2210,41200
