timestamp,open,low,high,close,volume
2020-08-31,312,312,312,312,20200
2020-09-01,390,390,390,390,37100
2020-09-02,450,450,486,486,112100
2020-09-03,500,500,605,570,4596900
2020-09-04,575,535,580,540,801700
2020-09-07,540,505,540,510,1052000
2020-09-08,510,476,510,484,373400
2020-09-09,500,476,530,482,129700
2020-09-10,500,454,500,458,618800
2020-09-11,444,444,520,494,34700
2020-09-14,500,480,530,515,40700
2020-09-15,565,500,565,510,76700
2020-09-16,560,500,560,535,46100
2020-09-17,550,545,570,565,214500
2020-09-18,575,550,575,570,115900
2020-09-21,620,570,620,595,104900
2020-09-22,645,560,645,595,89700
2020-09-23,645,565,645,565,71400
2020-09-24,600,545,600,575,85900
2020-09-25,600,540,600,545,122200
2020-09-28,595,540,595,540,191000
2020-09-29,580,545,580,545,75300
2020-09-30,595,540,595,555,11300
2020-10-01,570,540,575,575,54900
2020-10-02,585,540,585,545,28300
2020-10-05,595,540,595,575,75400
2020-10-06,585,540,585,565,39100
2020-10-07,590,545,590,570,172700
2020-10-08,600,585,600,585,2500
2020-10-09,610,580,610,610,303500
2020-10-12,660,570,660,610,3100
2020-10-13,620,570,620,610,10600
2020-10-14,640,570,640,600,6500
2020-10-15,610,570,610,600,21800
2020-10-16,640,580,640,605,3700
2020-10-19,655,565,655,610,46700
2020-10-20,635,600,635,610,5600
2020-10-21,660,575,660,610,3200
2020-10-22,640,575,640,610,16600
2020-10-23,630,575,630,610,2500
2020-10-26,635,580,635,580,700
2020-10-27,630,575,630,610,12200
2020-10-28,630,575,630,610,0
2020-10-29,630,575,630,610,0
2020-10-30,630,575,630,610,0
2020-11-02,660,575,660,595,63300
2020-11-03,610,575,610,590,64100
2020-11-04,640,580,640,605,3400
2020-11-05,610,575,610,605,14900
2020-11-06,630,605,630,605,4300
2020-11-09,625,575,625,615,4800
2020-11-10,635,585,635,585,20800
2020-11-11,635,575,635,625,14700
2020-11-12,635,585,635,615,10000
2020-11-13,630,585,630,600,1200
2020-11-16,650,600,650,600,10700
2020-11-17,650,575,650,600,1203800
2020-11-18,650,590,650,595,71800
2020-11-19,645,560,645,610,11400
2020-11-20,630,605,630,605,1600
2020-11-23,655,600,655,600,24500
2020-11-24,650,600,650,615,20500
