timestamp,open,low,high,close,volume
2019-06-26,432,432,432,432,2900
2019-06-27,540,540,540,540,1100
2019-06-28,675,675,675,675,33400
2019-07-01,765,675,840,840,3094300
2019-07-02,870,870,1050,1050,1568800
2019-07-03,1110,1110,1310,1310,684500
2019-07-04,1450,1450,1635,1635,328700
2019-07-05,1720,1230,2040,1335,2649100
2019-07-08,1335,1060,1335,1070,334200
2019-07-09,1070,860,1280,1255,715600
2019-07-10,1275,1090,1335,1300,288800
2019-07-11,1320,1190,1320,1190,89700
2019-07-12,1190,1100,1220,1215,46500
2019-07-15,1170,1120,1240,1190,33400
2019-07-16,1190,1120,1190,1120,29100
2019-07-17,1100,980,1100,1010,67000
2019-07-18,1010,1010,1260,1260,375300
2019-07-19,1290,1290,1575,1575,530200
2019-07-22,1620,1450,1960,1655,913400
2019-07-23,1665,1660,2060,1970,1138200
2019-07-24,1970,1970,1970,1970,0
2019-07-25,1960,1750,2100,1800,297500
2019-07-26,1800,1800,2030,1860,147200
2019-07-29,1860,1700,1865,1700,73000
2019-07-30,1750,1750,2120,2120,602400
2019-07-31,2200,2000,2500,2100,262900
2019-08-01,2100,2050,2250,2100,60700
2019-08-02,2110,2040,2130,2060,46300
2019-08-05,2060,1990,2500,2320,139300
2019-08-06,2330,2160,2360,2160,122300
2019-08-07,2160,2090,2200,2090,34900
2019-08-08,2100,2090,2220,2220,122500
2019-08-09,2280,2120,2280,2210,16800
2019-08-12,2220,2130,2220,2160,41800
2019-08-13,2110,2110,2230,2200,7700
2019-08-14,2200,2110,2200,2160,9700
2019-08-15,2160,2100,2200,2200,1300
2019-08-16,2200,2000,2200,2060,27300
2019-08-19,2000,1980,2060,1980,14300
2019-08-20,1960,1960,2000,1975,6400
2019-08-21,1990,1970,1990,1970,500
2019-08-22,2000,1850,2000,1850,68900
2019-08-23,1850,1850,1850,1850,200
2019-08-26,1700,1700,1700,1700,300
2019-08-27,1705,1705,1800,1800,4900
2019-08-28,1850,1750,1850,1750,4300
2019-08-29,1750,1750,1830,1830,5400
2019-08-30,1830,1830,2050,2000,36200
2019-09-02,2000,2000,2500,2500,332500
2019-09-03,2610,2610,3090,2740,460500
2019-09-04,2790,2330,2950,2420,118100
2019-09-05,2420,2180,2520,2180,51700
2019-09-06,2180,2180,2600,2340,82800
2019-09-09,2350,2300,2640,2380,50600
2019-09-10,2380,2280,2450,2370,19300
2019-09-11,2370,2270,2400,2290,11000
2019-09-12,2310,2290,2450,2290,34100
2019-09-13,2290,2000,2390,2350,40200
2019-09-16,2350,2200,2350,2320,4200
2019-09-17,2290,2180,2290,2190,17900
2019-09-18,2200,2160,2200,2180,21900
2019-09-19,2180,2180,2180,2180,4000
2019-09-20,2220,2210,2220,2210,4600
2019-09-23,2200,2200,2200,2200,600
2019-09-24,2190,2190,2200,2200,1500
2019-09-25,2000,1650,2000,1900,3000
2019-09-26,1895,1895,1920,1910,12300
2019-09-27,1890,1890,1920,1920,5100
2019-09-30,1915,1890,1920,1890,11900
