timestamp,open,low,high,close,volume
2020-02-07,975,975,975,975,2045200
2020-02-10,1185,960,1205,965,4278100
2020-02-11,975,850,975,915,1092200
2020-02-12,915,905,950,910,561500
2020-02-13,910,890,910,890,294800
2020-02-14,900,885,905,885,244900
2020-02-17,885,860,885,860,513800
2020-02-18,890,880,900,880,61400
2020-02-19,880,880,900,880,31600
2020-02-20,880,875,920,875,13700
2020-02-21,875,870,875,875,42200
2020-02-24,870,870,875,875,16100
2020-02-25,870,870,870,870,8900
2020-02-26,860,860,870,865,136300
2020-02-27,865,865,870,870,28400
2020-02-28,780,780,785,780,400
2020-03-02,755,705,755,710,29700
2020-03-03,710,710,720,715,7300
2020-03-04,700,700,705,700,3000
2020-03-05,705,705,710,710,363800
2020-03-06,710,710,710,710,0
2020-03-09,710,710,870,835,19800
2020-03-10,835,760,835,795,101700
2020-03-11,795,795,795,795,3000
2020-03-12,795,790,800,795,12000
2020-03-13,750,740,750,740,22700
2020-03-16,690,690,690,690,900
2020-03-17,650,650,650,650,1600
2020-03-18,650,650,650,650,0
2020-03-19,610,610,645,640,27300
2020-03-20,610,600,660,660,2100
2020-03-23,700,620,700,650,29000
2020-03-24,650,650,650,650,800
2020-03-25,650,650,650,650,0
2020-03-26,650,650,650,650,0
2020-03-27,700,650,700,650,400
2020-03-30,610,605,610,605,82200
2020-03-31,605,605,605,605,0
2020-04-01,605,605,610,605,14600
2020-04-02,605,605,605,605,1300
2020-04-03,605,605,605,605,0
2020-04-06,605,570,605,605,20800
2020-04-07,605,605,605,605,0
2020-04-08,605,605,605,605,300
2020-04-09,605,605,610,610,1300
2020-04-10,605,605,610,610,0
2020-04-13,605,605,610,610,19500
2020-04-14,610,610,610,610,0
2020-04-15,605,605,605,605,1600
2020-04-16,605,605,750,750,300
2020-04-17,755,700,775,750,2205200
2020-04-20,750,700,750,700,4400
2020-04-21,700,700,700,700,300
2020-04-22,700,665,700,700,2600300
2020-04-23,690,690,690,690,2400
2020-04-24,655,655,660,660,2600000
2020-04-27,625,625,625,625,200
2020-04-28,655,650,700,650,1565300
2020-04-29,650,650,665,665,2390900
2020-04-30,665,650,765,755,8885400
2020-05-01,665,650,765,755,0
2020-05-04,755,740,785,770,6712200
2020-05-05,770,770,810,780,5956300
2020-05-06,780,780,815,800,3988500
2020-05-07,780,780,815,800,0
2020-05-08,800,785,800,785,2066000
2020-05-11,780,780,900,870,11292900
2020-05-12,870,850,870,850,1660000
2020-05-13,850,825,850,825,2135600
2020-05-14,825,805,825,810,1535400
2020-05-15,805,790,805,790,1729200
2020-05-18,790,785,810,805,2768900
2020-05-19,805,800,820,810,2854600
2020-05-20,805,785,810,785,2149000
2020-05-21,805,785,810,785,0
2020-05-22,805,785,810,785,0
2020-05-25,805,785,810,785,0
2020-05-26,780,775,800,775,2299500
2020-05-27,775,770,790,775,2001300
2020-05-28,770,770,785,785,1204700
2020-05-29,785,780,815,815,2951800
2020-06-01,785,780,815,815,0
2020-06-02,815,810,860,850,5019700
2020-06-03,850,850,880,870,3061500
2020-06-04,870,865,955,955,6448000
2020-06-05,955,925,955,930,2315400
2020-06-08,925,925,955,945,2170600
2020-06-09,945,940,955,940,1723700
2020-06-10,940,930,945,930,1479300
2020-06-11,930,925,935,925,1672600
2020-06-12,920,915,930,930,2453500
2020-06-15,925,925,950,950,2856100
2020-06-16,950,950,985,985,5529700
2020-06-17,985,925,985,930,1825300
2020-06-18,915,905,930,905,1526400
2020-06-19,905,885,905,905,2001400
2020-06-22,905,890,920,920,2389000
2020-06-23,920,920,990,990,3591600
2020-06-24,990,970,1055,1055,10230300
2020-06-25,1055,1040,1075,1075,2367700
2020-06-26,1070,1010,1105,1015,4206700
2020-06-29,1010,1005,1050,1035,2959000
2020-06-30,1035,1035,1060,1060,2187800
2020-07-01,1060,1055,1070,1060,2161200
2020-07-02,1055,1055,1075,1075,1936900
2020-07-03,1075,1065,1090,1065,2929700
2020-07-06,1060,1050,1075,1075,1873500
2020-07-07,1080,1070,1090,1075,1721300
2020-07-08,1075,1075,1085,1075,1484200
2020-07-09,1075,1075,1085,1075,1516100
2020-07-10,1075,1075,1140,1120,3725400
2020-07-13,1120,1110,1310,1310,6899300
2020-07-14,1310,1305,1440,1400,5959800
2020-07-15,1395,1385,1520,1490,3905700
2020-07-16,1490,1485,1510,1495,1259700
2020-07-17,1495,1495,1565,1535,3866800
2020-07-20,1535,1480,1585,1585,4549200
2020-07-21,1585,1530,1600,1550,2514400
2020-07-22,1550,1475,1570,1530,2401300
2020-07-23,1520,1520,1560,1530,5572500
2020-07-24,1530,1485,1530,1495,2850200
2020-07-27,1495,1490,1565,1560,11091100
2020-07-28,1560,1515,1575,1555,7847800
2020-07-29,1555,1490,1585,1525,8916300
2020-07-30,1525,1520,1585,1585,7931100
2020-07-31,1525,1520,1585,1585,0
2020-08-03,1585,1475,1585,1560,3644600
2020-08-04,1560,1555,1680,1655,18257500
2020-08-05,1655,1595,1685,1615,11261900
2020-08-06,1610,1610,1680,1680,20860700
2020-08-07,1680,1630,1700,1640,8102400
2020-08-10,1640,1620,1655,1645,4040000
2020-08-11,1640,1625,1725,1710,15896800
2020-08-12,1715,1610,1715,1625,4711400
2020-08-13,1625,1515,1635,1635,12999800
2020-08-14,1635,1610,1655,1615,3001700
