timestamp,open,low,high,close,volume
2022-08-05,136,136,170,170,102116400
2022-08-08,202,159,228,159,394239500
2022-08-09,155,148,155,151,112500300
2022-08-10,151,150,181,168,409527800
2022-08-11,169,168,181,175,309445600
2022-08-12,177,175,196,192,444856000
2022-08-15,194,193,258,258,813168100
2022-08-16,298,240,298,240,311469700
2022-08-17,298,240,298,240,0
2022-08-18,224,224,230,224,223328300
2022-08-19,220,210,220,210,295407500
2022-08-22,208,206,246,236,460325600
2022-08-23,236,220,252,220,226996400
2022-08-24,220,206,220,208,77416200
2022-08-25,208,208,226,224,236406000
2022-08-26,228,212,228,214,98641500
2022-08-29,214,210,238,236,233116600
2022-08-30,238,220,246,220,253632000
2022-08-31,224,210,224,220,106879700
2022-09-01,220,216,228,226,234636000
2022-09-02,228,226,238,232,257005100
2022-09-05,232,230,248,248,268154400
2022-09-06,252,232,286,232,403064800
2022-09-07,216,216,228,220,182314600
2022-09-08,228,218,234,224,274132700
2022-09-09,224,220,230,228,83556300
2022-09-12,234,220,234,222,64260400
2022-09-13,222,218,228,224,115622100
2022-09-14,226,214,226,216,26768800
2022-09-15,218,214,232,224,166452400
2022-09-16,224,210,226,210,278297800
2022-09-19,204,200,210,206,41510300
2022-09-20,208,200,212,208,54327500
2022-09-21,208,204,216,212,87153300
2022-09-22,214,210,224,214,240685100
2022-09-23,214,206,222,214,115304100
2022-09-26,202,202,266,262,321817000
2022-09-27,262,244,290,244,264241800
2022-09-28,234,228,244,232,66052200
2022-09-29,236,226,248,238,78186600
2022-09-30,240,222,250,234,136152100
2022-10-03,234,218,240,218,135326300
2022-10-04,218,204,224,220,101633100
2022-10-05,220,216,226,216,83452200
2022-10-06,216,202,222,216,427590900
2022-10-07,216,202,218,214,389795900
2022-10-10,210,200,210,200,487946800
2022-10-11,186,186,186,186,184702200
2022-10-12,173,173,178,178,198222600
2022-10-13,180,173,188,187,216946200
2022-10-14,189,180,193,189,148857700
2022-10-17,189,176,189,176,15750100
2022-10-18,176,164,182,164,244902500
2022-10-19,154,153,155,153,120019000
2022-10-20,143,143,156,156,186881300
2022-10-21,158,150,161,160,41150800
2022-10-24,163,153,164,155,212397000
2022-10-25,155,150,158,151,140430000
2022-10-26,151,150,154,152,84723200
2022-10-27,152,150,159,158,193746400
2022-10-28,159,151,160,151,35426400
2022-10-31,151,145,157,154,124214900
2022-11-01,155,148,157,148,14763800
2022-11-02,149,146,152,146,109118000
2022-11-03,145,143,149,148,49050600
2022-11-04,150,144,150,144,53520900
2022-11-07,142,138,146,145,0
2022-11-08,142,138,146,145,0
2022-11-09,142,138,146,145,0
2022-11-10,142,138,146,145,61908000
2022-11-11,146,139,146,139,58256900
2022-11-14,141,138,141,140,11513300
2022-11-15,140,140,146,142,184791400
2022-11-16,143,134,143,140,53003700
2022-11-17,140,137,141,140,11665600
2022-11-18,140,138,143,138,56984200
2022-11-21,138,138,144,142,292232200
2022-11-22,143,142,153,144,110384100
2022-11-23,145,141,149,142,161769700
2022-11-24,142,138,144,139,53768700
2022-11-25,140,138,155,154,210437700
2022-11-28,154,144,182,166,315347000
2022-11-29,166,160,183,177,384260700
2022-11-30,176,174,195,185,373109400
2022-12-01,176,174,195,185,0
2022-12-02,171,161,171,161,32215300
2022-12-05,154,151,165,158,59129300
2022-12-06,158,150,162,155,46011200
2022-12-07,155,147,162,155,63514800
2022-12-08,154,150,157,155,11507200
2022-12-09,155,147,155,150,9957100
2022-12-12,150,142,155,143,14200200
2022-12-13,144,140,154,149,83858800
2022-12-14,149,147,154,150,72452200
2022-12-15,150,148,160,153,208535800
2022-12-16,155,151,163,157,164224500
2022-12-19,158,156,168,165,199189500
2022-12-20,166,161,167,161,13551300
2022-12-21,163,150,165,153,24297100
2022-12-22,153,149,174,155,325131400
2022-12-23,156,148,159,149,74191500
2022-12-26,150,142,152,150,105656600
2022-12-27,151,146,156,153,169124000
2022-12-28,155,147,163,147,149734700
2022-12-29,147,143,149,143,88438000
2022-12-30,145,140,148,140,75363500
2023-01-02,140,139,145,144,114605500
2023-01-03,145,140,147,142,21905000
2023-01-04,143,141,151,142,152971500
2023-01-05,143,133,145,133,180672000
2023-01-06,124,124,130,124,37685600
