timestamp,open,low,high,close,volume
2021-12-07,208,192,210,200,174402600
2021-12-08,200,196,206,197,19026800
2021-12-09,197,196,200,197,10227800
2021-12-10,197,197,244,232,208939300
2021-12-13,232,220,242,226,57583500
2021-12-14,230,218,230,220,15267200
2021-12-15,220,216,234,226,26030900
2021-12-16,226,220,230,224,12188500
2021-12-17,224,218,226,220,4649100
2021-12-20,220,212,220,214,7929100
2021-12-21,216,212,246,230,40643200
2021-12-22,232,220,232,224,8942300
2021-12-23,224,224,230,226,3203200
2021-12-24,226,220,226,224,983900
2021-12-27,226,216,226,220,7637200
2021-12-28,220,220,224,222,1750800
2021-12-29,222,216,224,220,2980300
2021-12-30,220,220,226,222,2496100
2021-12-31,220,220,226,222,0
2022-01-03,222,218,226,226,6399700
2022-01-04,226,224,232,228,5561300
2022-01-05,230,224,238,224,15273700
2022-01-06,226,224,228,226,2251400
2022-01-07,226,224,230,228,3500300
2022-01-10,228,228,242,240,14770500
2022-01-11,242,242,300,300,78643700
2022-01-12,330,290,342,322,106553800
2022-01-13,324,300,328,300,33819800
2022-01-14,300,282,348,336,127635800
2022-01-17,340,320,368,326,98183900
2022-01-18,326,318,336,334,17336500
2022-01-19,334,334,354,344,27182100
2022-01-20,346,324,356,332,22930500
2022-01-21,328,326,342,326,7038700
2022-01-24,330,324,338,328,8452200
2022-01-25,330,328,408,390,121435100
2022-01-26,396,366,420,412,128543000
2022-01-27,412,388,428,394,49622700
2022-01-28,398,380,404,382,23763200
2022-01-31,386,372,390,388,12482000
2022-02-01,386,372,390,388,0
2022-02-02,390,388,400,390,13721100
2022-02-03,390,388,416,408,30544400
2022-02-04,410,388,442,410,159119600
2022-02-07,412,398,418,418,25541000
2022-02-08,420,406,434,410,41678800
2022-02-09,408,404,414,408,9783900
2022-02-10,408,394,424,394,53778000
2022-02-11,394,374,394,388,11345800
2022-02-14,374,374,388,384,6884700
2022-02-15,386,380,398,398,8366900
2022-02-16,400,394,406,398,10686100
2022-02-17,398,392,404,392,9208800
2022-02-18,392,384,392,392,4156500
2022-02-21,392,386,396,390,2765600
2022-02-22,390,382,390,384,3266200
2022-02-23,386,378,386,382,2429100
2022-02-24,382,360,384,368,13771700
2022-02-25,368,368,396,380,13198600
2022-02-28,368,368,396,380,0
2022-03-01,384,382,402,392,13873000
2022-03-02,392,386,426,426,61488400
2022-03-03,392,386,426,426,0
2022-03-04,450,400,450,404,63517000
2022-03-07,406,394,414,408,25398300
2022-03-08,408,402,426,416,25790900
2022-03-09,418,406,438,416,50135500
2022-03-10,416,396,428,400,34499700
2022-03-11,400,390,404,392,8879300
2022-03-14,390,390,434,432,63473900
2022-03-15,432,432,464,462,55199700
2022-03-16,464,462,482,466,50188700
2022-03-17,466,464,486,474,39282300
2022-03-18,492,442,492,458,41834100
2022-03-21,458,446,474,446,16330000
2022-03-22,448,426,456,444,20532800
2022-03-23,444,430,456,432,12577200
2022-03-24,432,432,440,440,3989800
2022-03-25,444,430,450,430,8005500
2022-03-28,430,426,440,430,8916000
2022-03-29,432,416,436,416,9826300
2022-03-30,414,396,430,430,17659400
2022-03-31,430,422,440,424,10926600
2022-04-01,428,422,434,426,4991800
2022-04-04,428,422,432,426,3234400
2022-04-05,426,408,440,410,20719700
2022-04-06,410,404,422,420,13821800
2022-04-07,440,416,440,428,13720800
2022-04-08,430,426,436,434,7437000
2022-04-11,436,434,448,438,16528400
2022-04-12,440,436,450,444,8165900
