timestamp,open,low,high,close,volume
2021-09-08,278,278,278,278,4880100
2021-09-09,304,304,304,304,7878100
2021-09-10,334,334,334,334,12113700
2021-09-13,366,366,366,366,1593400
2021-09-14,402,402,402,402,1275600
2021-09-15,442,442,442,442,1240300
2021-09-16,486,486,486,486,2567600
2021-09-17,530,530,530,530,2964200
2021-09-20,580,478,580,580,127714200
2021-09-21,635,600,635,635,5736100
2021-09-22,695,695,695,695,3319300
2021-09-23,760,760,760,760,3234200
2021-09-24,835,685,835,835,34787200
2021-09-27,915,760,915,800,79871400
2021-09-28,755,720,785,730,41617500
2021-09-29,700,660,730,660,25776400
2021-09-30,640,595,655,605,26931200
2021-10-01,620,570,665,620,23833300
2021-10-04,640,560,650,560,15415800
2021-10-05,525,505,555,505,22220900
2021-10-06,505,456,515,464,17001400
2021-10-07,484,462,484,468,7205700
2021-10-08,488,434,494,472,10527300
2021-10-11,492,436,492,438,3957800
2021-10-12,438,396,438,400,6785400
2021-10-13,398,360,398,360,7356100
2021-10-14,352,324,352,324,4276600
2021-10-15,296,296,356,356,7528100
2021-10-18,380,380,390,390,680800
2021-10-19,428,428,428,428,1372900
2021-10-20,428,428,428,428,0
2021-10-21,466,390,470,436,28807800
2021-10-22,436,426,452,428,3005900
2021-10-25,428,420,436,424,2775400
2021-10-26,424,400,430,422,3156600
2021-10-27,422,404,422,410,1387500
2021-10-28,410,410,448,432,4434100
2021-10-29,432,416,434,424,1912200
2021-11-01,424,390,424,396,3915800
2021-11-02,396,380,414,390,1985300
2021-11-03,390,384,398,390,841500
2021-11-04,400,352,410,358,6255300
2021-11-05,360,340,366,356,2355400
2021-11-08,356,342,356,344,2466300
2021-11-09,344,340,378,378,6813900
2021-11-10,390,342,412,386,12646600
2021-11-11,386,364,400,364,4406200
2021-11-12,370,336,388,358,5971900
2021-11-15,362,332,364,336,8032800
2021-11-16,338,334,348,336,2844100
2021-11-17,336,320,346,328,3180700
2021-11-18,328,320,336,324,2010500
2021-11-19,324,320,330,328,1705200
2021-11-22,328,322,332,324,2361100
2021-11-23,324,318,328,318,2228800
2021-11-24,320,308,320,318,2896600
2021-11-25,318,310,322,312,1499400
2021-11-26,312,304,312,304,1542800
2021-11-29,304,286,314,302,2148600
2021-11-30,306,294,308,296,2287800
2021-12-01,296,282,296,284,1724800
2021-12-02,286,270,288,278,1047500
2021-12-03,280,274,302,290,2270500
2021-12-06,290,274,290,280,1404500
2021-12-07,284,280,286,284,780900
2021-12-08,284,282,290,286,804900
2021-12-09,286,280,286,284,658500
2021-12-10,284,284,302,290,1221300
2021-12-13,292,292,300,294,1438700
2021-12-14,294,280,298,286,916000
2021-12-15,286,272,290,282,911000
2021-12-16,282,282,286,284,453000
2021-12-17,284,278,290,280,402200
2021-12-20,280,276,284,276,492300
2021-12-21,276,274,282,280,373700
2021-12-22,280,276,280,280,391700
2021-12-23,280,264,286,272,1004100
2021-12-24,272,268,280,270,553200
2021-12-27,270,260,272,266,1493800
2021-12-28,266,260,278,272,936000
2021-12-29,272,270,282,276,672100
2021-12-30,276,266,280,276,659200
2021-12-31,276,266,280,276,0
2022-01-03,276,268,280,278,750600
2022-01-04,278,274,284,284,464900
2022-01-05,288,284,312,312,6229800
2022-01-06,316,296,328,296,4802600
2022-01-07,296,270,302,282,1441900
2022-01-10,276,262,290,274,1578600
2022-01-11,276,260,282,266,1671300
2022-01-12,266,248,270,254,3143500
2022-01-13,256,248,266,258,783100
2022-01-14,258,250,266,266,799200
2022-01-17,270,252,274,262,3458500
2022-01-18,262,236,270,236,4898900
2022-01-19,236,220,236,224,1274800
2022-01-20,224,220,240,236,1151700
2022-01-21,240,226,240,232,288500
2022-01-24,232,222,240,226,523600
2022-01-25,224,216,226,216,653000
2022-01-26,216,202,216,214,448500
2022-01-27,214,212,218,216,163400
2022-01-28,216,210,218,216,269300
2022-01-31,214,204,220,218,618700
2022-02-01,214,204,220,218,0
2022-02-02,218,204,226,218,1301300
2022-02-03,218,218,228,224,385600
2022-02-04,224,206,230,212,878400
2022-02-07,210,210,218,216,456000
2022-02-08,216,208,220,214,512300
2022-02-09,214,210,216,212,382900
2022-02-10,216,210,216,212,406900
2022-02-11,212,210,216,210,122300
2022-02-14,212,206,214,208,687600
2022-02-15,208,206,212,210,263700
2022-02-16,210,208,212,210,284000
2022-02-17,210,208,212,208,828600
2022-02-18,210,206,210,208,292600
2022-02-21,208,206,210,206,451200
2022-02-22,206,202,208,208,504600
2022-02-23,208,202,208,204,1133300
2022-02-24,204,189,204,190,1504600
2022-02-25,190,190,200,194,361400
2022-02-28,190,190,200,194,0
2022-03-01,199,192,199,193,237200
2022-03-02,193,189,193,189,362400
2022-03-03,193,189,193,189,0
2022-03-04,190,172,190,178,702800
2022-03-07,178,161,178,162,777800
2022-03-08,162,146,162,149,1244900
2022-03-09,149,135,149,136,2337500
2022-03-10,136,136,149,145,1511700
2022-03-11,145,132,145,138,1216100
2022-03-14,138,131,141,138,751200
2022-03-15,138,134,140,137,248200
2022-03-16,138,134,139,135,375400
2022-03-17,135,135,140,136,249200
2022-03-18,140,138,149,149,2590500
2022-03-21,157,153,163,163,3835700
2022-03-22,170,170,179,179,2457200
2022-03-23,185,185,196,196,651500
2022-03-24,210,210,214,214,502100
2022-03-25,234,234,234,234,690900
2022-03-28,256,212,256,212,1860100
2022-03-29,204,191,204,191,988500
2022-03-30,181,172,210,210,2649000
2022-03-31,230,191,230,198,4967700
2022-04-01,198,189,202,190,797600
2022-04-04,193,190,208,208,1943900
2022-04-05,224,193,224,212,2678300
2022-04-06,214,206,220,210,577700
2022-04-07,212,198,216,202,275700
2022-04-08,204,197,204,198,622800
2022-04-11,199,198,212,210,826500
2022-04-12,210,193,220,218,1575200
2022-04-13,220,214,234,234,5121000
2022-04-14,236,218,244,224,4279800
2022-04-15,236,218,244,224,0
2022-04-18,226,224,232,228,1664700
2022-04-19,228,228,250,250,11807900
2022-04-20,260,252,274,274,4751600
2022-04-21,286,248,298,284,9416200
2022-04-22,282,256,284,256,2367300
2022-04-25,256,236,258,236,1167800
2022-04-26,236,236,250,246,1502500
2022-04-27,246,236,248,242,666100
2022-04-28,242,242,252,250,730400
2022-04-29,242,242,252,250,0
2022-05-02,242,242,252,250,0
2022-05-03,242,242,252,250,0
2022-05-04,242,242,252,250,0
2022-05-05,242,242,252,250,0
2022-05-06,242,242,252,250,0
2022-05-09,250,230,250,230,468600
2022-05-10,230,218,230,228,323500
2022-05-11,228,226,240,236,223100
2022-05-12,236,226,238,228,152500
2022-05-13,228,218,228,218,273100
2022-05-16,228,218,228,218,0
2022-05-17,218,210,220,220,188600
2022-05-18,220,220,240,232,703200
2022-05-19,232,224,234,226,291500
2022-05-20,232,224,234,234,713600
2022-05-23,234,232,250,238,800600
2022-05-24,240,236,246,242,437700
2022-05-25,242,234,248,240,355800
2022-05-26,242,234,248,240,0
2022-05-27,242,234,248,240,0
2022-05-30,236,226,242,230,511200
2022-05-31,242,230,242,240,299300
2022-06-01,242,230,242,240,0
2022-06-02,240,222,240,230,495000
2022-06-03,230,224,238,230,328500
2022-06-06,230,226,238,226,395700
2022-06-07,226,220,236,226,649700
2022-06-08,226,218,228,226,260300
2022-06-09,226,220,226,222,108400
2022-06-10,222,220,230,230,245100
2022-06-13,230,220,230,230,558800
