timestamp,open,low,high,close,volume
2019-10-07,195,195,195,195,33000
2019-10-08,262,262,262,262,3500
2019-10-09,326,326,326,326,6000
2019-10-10,406,406,406,406,29700
2019-10-11,505,505,505,505,31900
2019-10-14,630,630,630,630,71900
2019-10-15,785,785,785,785,28100
2019-10-16,980,980,980,980,49400
2019-10-17,1225,1225,1225,1225,932100
2019-10-18,1225,1225,1225,1225,0
2019-10-21,1335,1335,1530,1530,1461200
2019-10-22,1530,1530,1530,1530,0
2019-10-23,1530,1530,1530,1530,0
2019-10-24,1530,1530,1530,1530,0
2019-10-25,1530,1530,1530,1530,0
2019-10-28,1530,1530,1530,1530,0
2019-10-29,1530,1530,1530,1530,0
2019-10-30,1530,1530,1530,1530,0
2019-10-31,1530,1530,1530,1530,0
2019-11-01,1530,1530,1530,1530,0
2019-11-04,1530,1530,1530,1530,0
2019-11-05,1880,1800,1910,1910,502500
2019-11-06,2000,2000,2380,2320,1985700
2019-11-07,2390,2380,2900,2840,3252300
2019-11-08,3000,2940,3550,3510,2413400
2019-11-11,3700,3530,4250,4200,3911900
2019-11-12,4350,3150,4880,4350,5184900
2019-11-13,4400,4380,5375,5350,3372400
2019-11-14,5350,5350,5350,5350,0
2019-11-15,5500,4680,6350,5100,4909600
2019-11-18,5100,4080,5100,4560,2392900
2019-11-19,4600,4400,4800,4700,1035700
2019-11-20,4730,4530,4840,4750,895200
2019-11-21,4740,4710,4980,4870,816100
2019-11-22,4870,4630,4950,4710,692300
2019-11-25,4710,4330,4800,4720,818700
2019-11-26,4750,4500,4750,4590,687200
2019-11-27,4600,4400,4600,4400,993300
2019-11-28,4300,4120,5500,5400,1501200
2019-11-29,5400,5350,5900,5400,1061400
2019-12-02,5425,4950,5500,4950,809200
2019-12-03,4950,4620,5050,4630,621700
2019-12-04,4630,4390,4790,4400,799000
2019-12-05,4500,4350,4500,4360,322000
2019-12-06,4350,4340,4490,4390,322900
2019-12-09,4440,4390,4520,4440,305300
2019-12-10,4490,4370,4490,4370,265300
2019-12-11,4470,4310,4470,4370,247100
2019-12-12,4400,4210,4400,4260,224600
2019-12-13,4300,4010,4300,4230,208200
2019-12-16,4290,4100,4300,4130,212500
2019-12-17,4050,4030,4200,4130,218100
2019-12-18,4130,4130,4260,4150,128700
2019-12-19,4160,4160,4210,4170,74900
2019-12-20,4170,4160,4250,4160,46900
2019-12-23,4180,4160,4240,4220,49500
2019-12-24,4180,4160,4240,4220,0
2019-12-25,4180,4160,4240,4220,0
2019-12-26,4230,4190,4280,4230,41100
2019-12-27,4230,4200,4270,4260,58600
2019-12-30,4210,4190,4300,4290,53500
2019-12-31,4210,4190,4300,4290,0
2020-01-01,4210,4190,4300,4290,0
2020-01-02,4300,4270,4320,4270,34800
2020-01-03,4270,4160,4280,4160,26600
2020-01-06,4160,4090,4210,4170,39200
2020-01-07,4110,4110,4210,4210,37700
2020-01-08,4230,4190,4250,4230,50000
2020-01-09,4240,4200,4260,4200,34600
2020-01-10,4200,4200,4300,4300,41200
2020-01-13,4360,4310,4400,4350,37300
2020-01-14,4350,4330,4370,4370,19200
2020-01-15,4370,4370,4460,4400,22900
2020-01-16,4410,4370,4450,4370,33200
2020-01-17,4390,4370,4500,4430,31500
2020-01-20,4450,4450,4570,4520,51200
2020-01-21,4520,4510,4690,4650,31700
2020-01-22,4650,4650,4900,4880,35600
2020-01-23,4880,4800,4980,4850,30400
2020-01-24,4860,4780,4870,4780,25000
2020-01-27,4780,4740,4820,4750,29400
2020-01-28,4790,4780,4850,4800,16500
2020-01-29,4800,4800,4900,4890,19100
2020-01-30,4990,4780,4990,4830,13900
2020-01-31,4830,4820,4860,4820,15900
2020-02-03,4820,4700,4820,4700,13800
2020-02-04,4750,4700,4830,4700,23700
2020-02-05,4810,4700,4820,4700,16400
2020-02-06,4710,4700,4810,4720,16800
2020-02-07,4800,4750,4830,4790,17400
2020-02-10,4790,4750,4790,4750,29700
2020-02-11,4750,4750,4830,4800,18900
2020-02-12,4800,4790,4800,4790,2800
2020-02-13,4800,4770,4850,4770,25900
2020-02-14,4770,4740,4770,4740,10100
2020-02-17,4800,4730,4810,4730,10900
2020-02-18,4750,4700,4770,4730,11400
2020-02-19,4750,4710,4830,4770,13800
2020-02-20,4780,4750,4800,4750,22300
2020-02-21,4750,4700,4800,4720,24400
2020-02-24,4720,4680,4810,4790,28900
2020-02-25,4800,4770,4820,4790,27600
2020-02-26,4790,4720,4790,4770,24500
2020-02-27,4780,4720,4800,4720,53600
2020-02-28,4720,4540,4720,4680,69600
2020-03-02,4690,4670,4800,4670,22100
2020-03-03,4700,4650,4700,4690,18100
2020-03-04,4700,4700,4800,4730,50700
2020-03-05,4740,4730,4770,4770,64800
2020-03-06,4770,4710,4790,4750,95400
2020-03-09,4750,4600,4750,4650,220800
2020-03-10,4700,4630,4740,4660,230500
2020-03-11,4670,4650,4680,4650,231000
2020-03-12,4650,4510,4680,4630,196000
2020-03-13,4550,4500,4630,4530,169400
2020-03-16,4520,4410,4530,4470,195400
2020-03-17,4420,4200,4430,4380,198300
2020-03-18,4380,4260,4550,4260,229500
2020-03-19,4350,4260,4350,4260,166200
2020-03-20,4290,4210,4450,4450,209300
2020-03-23,4440,4400,4590,4590,237800
2020-03-24,4630,4630,4740,4690,230600
2020-03-25,4630,4630,4740,4690,0
2020-03-26,4700,4690,4780,4700,227600
2020-03-27,4700,4700,4810,4780,227700
2020-03-30,4780,4620,4780,4670,204800
2020-03-31,4670,4670,4850,4740,232000
2020-04-01,4740,4740,4810,4740,177000
2020-04-02,4670,4650,4790,4740,228400
2020-04-03,4740,4740,4840,4770,209600
2020-04-06,4770,4770,4840,4790,348700
2020-04-07,4790,4600,4790,4680,326900
2020-04-08,4680,4600,4800,4660,287600
2020-04-09,4660,4600,4820,4770,190700
2020-04-10,4660,4600,4820,4770,0
2020-04-13,4770,4490,4840,4750,283400
2020-04-14,4750,4700,4830,4800,265700
2020-04-15,4800,4600,4830,4720,370300
2020-04-16,4720,4620,4720,4650,273200
2020-04-17,4650,4650,4790,4750,230600
2020-04-20,4760,4700,4790,4700,245400
2020-04-21,4700,4680,4710,4700,204400
2020-04-22,4700,4650,4760,4750,228800
2020-04-23,4760,4730,4790,4730,268400
2020-04-24,4660,4660,4750,4710,227100
2020-04-27,4710,4710,4760,4720,224800
2020-04-28,4730,4670,4750,4690,221500
2020-04-29,4690,4690,4760,4700,264600
2020-04-30,4710,4700,5000,5000,290400
2020-05-01,4710,4700,5000,5000,0
2020-05-04,5000,4950,5000,4960,234000
2020-05-05,4950,4950,5075,4990,226000
2020-05-06,5075,4980,5125,4990,234300
2020-05-07,5075,4980,5125,4990,0
2020-05-08,4990,4990,5100,5000,255700
2020-05-11,5000,4990,5125,5075,264900
2020-05-12,5075,4910,5075,5050,216100
2020-05-13,5050,4900,5075,5000,224300
2020-05-14,4900,4900,5000,4990,215500
2020-05-15,4990,4980,5075,4990,189200
2020-05-18,4960,4960,5075,5000,259200
2020-05-19,5000,4980,5150,5000,185900
2020-05-20,4950,4950,5100,5050,221600
2020-05-21,4950,4950,5100,5050,0
2020-05-22,4950,4950,5100,5050,0
2020-05-25,4950,4950,5100,5050,0
2020-05-26,5050,5025,5200,5125,211100
2020-05-27,5125,5050,5225,5200,220000
2020-05-28,5050,5050,5275,5250,217000
2020-05-29,5250,5075,5300,5275,217600
2020-06-01,5250,5075,5300,5275,0
2020-06-02,5150,5150,5300,5275,161500
2020-06-03,5150,5125,5275,5200,210000
2020-06-04,5125,5125,5225,5175,231600
2020-06-05,5125,5125,5225,5175,192400
2020-06-08,5125,5125,5300,5250,209900
2020-06-09,5250,5100,5300,5100,256700
2020-06-10,5075,5075,5225,5075,241900
2020-06-11,5050,5025,5250,5050,224300
2020-06-12,5025,5025,5300,5050,245400
2020-06-15,5050,5050,5350,5100,250700
2020-06-16,5025,5025,5250,5150,223100
2020-06-17,5125,5125,5325,5150,214200
2020-06-18,5100,5100,5325,5125,202300
2020-06-19,5100,5100,5350,5150,243300
2020-06-22,5150,5100,5325,5100,241800
2020-06-23,5050,5050,5325,5100,238800
2020-06-24,5100,5075,5250,5200,291200
2020-06-25,5075,5075,5275,5150,240900
2020-06-26,5125,5125,5350,5175,288800
2020-06-29,5075,5075,5300,5175,303500
2020-06-30,5200,5075,5250,5075,241300
2020-07-01,5050,5025,5100,5075,251400
2020-07-02,5025,5025,5500,5150,262900
2020-07-03,5125,5050,5175,5075,250900
2020-07-06,5075,5025,5250,5225,294900
2020-07-07,5075,5075,5300,5250,292900
2020-07-08,5250,5175,5375,5250,364800
2020-07-09,5200,5200,5375,5200,331500
2020-07-10,5150,5050,5175,5150,283400
2020-07-13,5100,5100,5225,5200,243400
2020-07-14,5150,5150,5325,5175,302600
2020-07-15,5200,5075,5250,5175,308000
2020-07-16,5100,5100,5250,5125,258200
2020-07-17,5125,5100,5250,5125,305500
2020-07-20,5125,5050,5125,5100,268100
2020-07-21,5100,5025,5200,5050,286400
2020-07-22,5050,5050,5225,5050,298400
2020-07-23,5075,5075,5225,5150,266500
2020-07-24,5150,5100,5300,5125,322600
2020-07-27,5125,5125,5225,5175,279300
2020-07-28,5175,5150,5300,5150,253900
2020-07-29,5125,5125,5300,5125,287400
2020-07-30,5125,5125,5300,5125,239300
2020-07-31,5125,5125,5300,5125,0
2020-08-03,5125,5125,5300,5150,252400
2020-08-04,5175,5150,5350,5200,205900
2020-08-05,5250,5125,5325,5125,233400
2020-08-06,5150,5150,5250,5200,231100
2020-08-07,5175,5175,5275,5175,246300
2020-08-10,5175,5125,5250,5150,255900
2020-08-11,5100,5100,5225,5150,256200
2020-08-12,5100,5100,5250,5175,291700
2020-08-13,5175,5125,5225,5125,238400
2020-08-14,5150,5075,5200,5150,284400
2020-08-17,5150,5075,5200,5150,0
2020-08-18,5075,5075,5200,5175,249200
2020-08-19,5100,5100,5200,5150,260800
2020-08-20,5100,5100,5200,5150,0
2020-08-21,5100,5100,5200,5150,0
2020-08-24,5150,5125,5275,5150,235800
2020-08-25,5150,5150,5275,5175,265900
2020-08-26,5175,5100,5200,5150,270100
2020-08-27,5100,5100,5200,5150,307500
2020-08-28,5125,5125,5225,5125,251400
2020-08-31,5150,5125,5250,5125,266300
2020-09-01,5150,5100,5175,5125,259000
2020-09-02,5125,5075,5200,5150,315700
2020-09-03,5150,5100,5175,5125,300400
2020-09-04,5125,5050,5175,5125,279500
2020-09-07,5075,5025,5200,5200,314000
2020-09-08,5200,5075,5200,5125,291700
2020-09-09,5100,5025,5175,5075,306700
2020-09-10,5075,4970,5150,4980,360000
2020-09-11,4950,4920,5025,4970,65000
2020-09-14,4960,4960,5125,4980,69900
2020-09-15,4980,4980,5150,5150,81900
2020-09-16,5025,5025,5125,5100,108600
2020-09-17,5000,5000,5100,5025,101700
2020-09-18,4990,4990,5075,5000,99700
2020-09-21,5000,4980,5075,4980,127600
2020-09-22,4960,4940,5025,4960,102800
2020-09-23,4940,4930,4990,4930,99400
2020-09-24,4910,4890,4980,4910,103900
2020-09-25,4890,4890,4970,4930,97300
2020-09-28,4890,4890,5000,4950,103400
2020-09-29,4900,4900,5000,4940,97400
2020-09-30,4900,4900,5025,4900,97000
2020-10-01,4860,4860,4960,4900,98200
2020-10-02,4900,4860,4990,4960,95400
2020-10-05,4910,4910,5000,4960,100900
2020-10-06,4950,4910,4960,4940,104600
2020-10-07,4900,4900,4990,4940,99900
2020-10-08,4890,4880,4990,4900,101000
2020-10-09,4900,4860,4940,4860,112700
2020-10-12,4870,4840,4990,4920,115400
2020-10-13,4860,4860,4980,4910,125300
2020-10-14,4850,4850,4950,4900,117300
2020-10-15,4860,4850,4900,4900,60300
2020-10-16,4870,4860,4900,4860,57200
2020-10-19,4810,4810,4910,4820,63600
2020-10-20,4800,4770,4820,4770,76500
2020-10-21,4770,4770,4870,4800,68000
2020-10-22,4760,4750,4860,4750,78600
2020-10-23,4750,4720,4880,4780,79500
2020-10-26,4760,4750,4800,4750,62800
2020-10-27,4730,4720,4860,4790,68100
2020-10-28,4730,4720,4860,4790,0
2020-10-29,4730,4720,4860,4790,0
2020-10-30,4730,4720,4860,4790,0
2020-11-02,4760,4760,4860,4790,78300
2020-11-03,4760,4760,4870,4810,79400
2020-11-04,4800,4780,4920,4810,78500
2020-11-05,4800,4790,4900,4810,77000
2020-11-06,4800,4790,4880,4810,82900
2020-11-09,4810,4790,4900,4840,68600
2020-11-10,4840,4830,4940,4870,71400
2020-11-11,4860,4850,4960,4850,70300
2020-11-12,4870,4840,4970,4840,71700
2020-11-13,4840,4810,4930,4820,67400
2020-11-16,4820,4800,4850,4830,68800
2020-11-17,4820,4820,4940,4860,84600
2020-11-18,4850,4840,4950,4870,85700
