timestamp,open,low,high,close,volume
2018-05-14,1300,1155,1300,1190,54705500
2018-05-15,1190,1190,1190,1190,0
2018-05-16,1190,1190,1190,1190,0
2018-05-17,1160,1145,1170,1165,6964200
2018-05-18,1165,1165,1170,1165,614000
2018-05-21,1165,1155,1170,1165,3733400
2018-05-22,1165,1160,1170,1160,2887600
2018-05-23,1160,1155,1160,1160,3926500
2018-05-24,1160,1155,1185,1185,10867200
2018-05-25,1190,1185,1195,1185,7938100
2018-05-28,1185,1175,1195,1180,7046000
2018-05-29,1180,1180,1180,1180,0
2018-05-30,1175,1170,1180,1170,3322300
2018-05-31,1175,1150,1180,1155,6572600
2018-06-01,1155,1155,1155,1155,0
2018-06-04,1160,1145,1165,1165,5039900
2018-06-05,1165,1160,1165,1165,4319700
2018-06-06,1165,1165,1180,1175,6005200
2018-06-07,1175,1170,1190,1175,12443000
2018-06-08,1175,1165,1175,1175,5087500
2018-06-11,1175,1175,1175,1175,0
2018-06-12,1175,1175,1175,1175,0
2018-06-13,1175,1175,1175,1175,0
2018-06-14,1175,1175,1175,1175,0
2018-06-15,1175,1175,1175,1175,0
2018-06-18,1175,1175,1175,1175,0
2018-06-19,1175,1175,1175,1175,0
2018-06-20,1175,1165,1175,1170,3580500
2018-06-21,1170,1165,1170,1170,5777300
2018-06-22,1170,1165,1170,1170,4422500
2018-06-25,1170,1155,1170,1165,5478400
2018-06-26,1165,1155,1165,1160,2539300
2018-06-27,1160,1150,1160,1160,4006300
2018-06-28,1160,1155,1180,1160,5561700
2018-06-29,1160,1145,1160,1160,5085800
2018-07-02,1160,1155,1160,1155,2894000
2018-07-03,1160,1135,1160,1135,3652200
2018-07-04,1140,1110,1140,1130,3912900
2018-07-05,1130,1100,1130,1100,798500
2018-07-06,1100,1050,1100,1100,2513000
2018-07-09,1100,1075,1100,1100,1147100
2018-07-10,1100,1075,1120,1120,192300
2018-07-11,1075,1065,1100,1100,812000
2018-07-12,1060,1060,1075,1075,587900
2018-07-13,1060,1060,1110,1100,580400
2018-07-16,1090,1060,1100,1100,26800
2018-07-17,1095,1095,1095,1095,100
2018-07-18,1100,1050,1100,1055,285700
2018-07-19,1060,1000,1100,1100,2265500
2018-07-20,1100,1055,1100,1100,190600
2018-07-23,1100,1075,1100,1075,2432400
2018-07-24,1075,1075,1095,1080,1628200
2018-07-25,1085,1055,1085,1075,1407900
2018-07-26,1070,1055,1075,1075,2023100
2018-07-27,1090,1055,1090,1060,595500
2018-07-30,1060,1045,1065,1050,848200
2018-07-31,1060,1025,1060,1030,1755500
2018-08-01,1035,995,1035,1025,1395300
2018-08-02,1015,995,1015,1000,744500
2018-08-03,1010,985,1010,1005,590200
2018-08-06,1005,990,1005,1000,530800
2018-08-07,995,980,995,995,1108000
2018-08-08,995,975,995,995,666000
2018-08-09,990,975,1050,1050,737800
2018-08-10,1000,995,1050,1030,852600
2018-08-13,1040,1010,1040,1020,1173100
2018-08-14,1020,1005,1025,1025,673900
2018-08-15,1025,1005,1025,1010,581200
2018-08-16,1005,990,1030,1030,1282800
2018-08-17,1030,1030,1030,1030,0
2018-08-20,1030,1005,1030,1005,1045600
2018-08-21,1005,990,1010,990,558600
2018-08-22,990,990,990,990,0
2018-08-23,1005,1000,1005,1000,573000
2018-08-24,1005,990,1005,1000,766700
2018-08-27,1000,995,1005,1000,552600
2018-08-28,1000,995,1000,995,576600
2018-08-29,1000,1000,1005,1000,1315900
2018-08-30,1000,995,1000,1000,1043300
2018-08-31,1000,995,1040,1025,1600200
2018-09-03,1025,990,1025,995,1066700
2018-09-04,1000,990,1000,1000,2101100
2018-09-05,990,980,1000,1000,1287500
2018-09-06,1000,985,1000,990,1658200
2018-09-07,1000,985,1000,995,581200
2018-09-10,1010,990,1010,1010,1018200
2018-09-11,1010,1010,1010,1010,0
2018-09-12,1010,970,1015,1010,796000
2018-09-13,1010,990,1010,1010,1025400
2018-09-14,1000,990,1005,1000,1057300
2018-09-17,995,990,1000,995,1074600
2018-09-18,990,990,1005,1005,1021300
2018-09-19,1005,990,1005,1000,1720500
2018-09-20,995,990,1000,1000,2198300
2018-09-21,1000,995,1010,1010,3050300
2018-09-24,1005,990,1005,1005,1045400
2018-09-25,1005,990,1005,1005,1565600
2018-09-26,1010,1000,1010,1005,1359000
2018-09-27,1005,990,1010,1005,2569400
2018-09-28,1000,995,1005,1000,2735600
2018-10-01,1000,980,1000,980,1848800
2018-10-02,995,985,995,990,3225400
2018-10-03,1000,985,1000,1000,3580700
2018-10-04,1000,975,1000,995,2164700
2018-10-05,995,930,995,950,877500
2018-10-08,995,930,995,930,1551400
2018-10-09,990,820,990,820,2686500
2018-10-10,915,865,920,900,3172300
2018-10-11,880,845,900,895,8189500
2018-10-12,895,885,900,900,2093600
2018-10-15,895,885,895,895,2564400
2018-10-16,895,880,895,890,4551100
2018-10-17,895,875,895,885,1574100
2018-10-18,895,875,895,885,2051400
2018-10-19,900,875,900,890,2110500
2018-10-22,895,880,895,890,1238700
2018-10-23,895,885,900,900,2343000
2018-10-24,950,885,950,900,1064900
2018-10-25,895,870,895,885,2079500
2018-10-26,885,870,900,900,2065300
2018-10-29,900,880,900,895,3652900
2018-10-30,885,875,895,890,2034600
2018-10-31,895,875,900,885,2656900
2018-11-01,885,870,885,880,3161300
