timestamp,open,low,high,close,volume
2022-08-09,160,160,171,171,5151900
2022-08-10,230,160,230,160,447526600
2022-08-11,149,149,149,149,21801500
2022-08-12,139,139,139,139,35451300
2022-08-15,130,130,150,138,492939300
2022-08-16,137,133,140,136,68993000
2022-08-17,137,133,140,136,0
2022-08-18,136,133,139,136,45195200
2022-08-19,137,133,140,134,41741600
2022-08-22,135,131,138,135,43652000
2022-08-23,135,134,145,140,235170600
2022-08-24,139,134,141,136,55927000
2022-08-25,139,133,139,136,19617800
2022-08-26,137,130,137,131,34565300
2022-08-29,124,123,131,124,35262800
2022-08-30,117,117,125,118,31596800
2022-08-31,121,112,121,114,15152400
2022-09-01,107,107,122,114,39351600
2022-09-02,111,111,117,115,9137000
2022-09-05,115,110,116,111,9758700
2022-09-06,111,104,116,112,38086600
2022-09-07,113,110,115,112,5466700
2022-09-08,111,108,114,109,9266200
2022-09-09,109,107,116,111,31105800
2022-09-12,112,107,113,107,18120900
2022-09-13,100,100,112,107,15188200
2022-09-14,107,102,108,103,17112000
2022-09-15,96,96,104,100,14256500
2022-09-16,100,96,102,99,14861000
2022-09-19,99,93,100,95,13116800
2022-09-20,90,89,95,89,23141400
2022-09-21,83,83,114,105,198729300
2022-09-22,106,105,115,105,115674000
2022-09-23,105,98,105,99,35657200
2022-09-26,94,94,115,115,95304000
2022-09-27,116,107,117,107,64318900
2022-09-28,103,101,110,105,19213000
2022-09-29,105,99,111,102,29153200
2022-09-30,102,95,102,97,14458000
2022-10-03,94,94,104,96,20297100
2022-10-04,93,93,101,96,12762200
2022-10-05,96,96,99,96,10433800
2022-10-06,95,95,98,96,4171500
2022-10-07,96,94,100,95,10602800
2022-10-10,95,93,97,94,6405100
2022-10-11,94,92,95,92,4341600
2022-10-12,92,88,93,90,10788300
2022-10-13,90,88,97,90,28565100
2022-10-14,89,84,91,84,21352600
2022-10-17,79,79,86,80,10420200
2022-10-18,80,79,81,80,4594900
2022-10-19,80,79,83,80,9114000
2022-10-20,80,79,82,82,3260500
2022-10-21,82,80,85,84,11564900
2022-10-24,83,83,86,85,5343200
2022-10-25,85,84,89,85,6767800
2022-10-26,85,84,94,88,38063200
2022-10-27,88,86,89,86,6616600
2022-10-28,86,85,88,86,4437000
2022-10-31,86,86,94,87,27687600
2022-11-01,86,86,90,87,6038100
2022-11-02,86,86,89,86,5636800
2022-11-03,86,86,89,88,2829800
2022-11-04,88,87,90,88,5440200
2022-11-07,90,86,92,87,0
2022-11-08,90,86,92,87,0
2022-11-09,90,86,92,87,0
2022-11-10,90,86,92,87,4385900
2022-11-11,87,86,88,87,3878600
2022-11-14,87,86,88,87,3464700
2022-11-15,87,86,89,87,5104200
2022-11-16,87,86,90,86,1852900
2022-11-17,86,86,88,86,2510400
2022-11-18,86,86,88,87,1193600
2022-11-21,87,86,87,86,3509300
2022-11-22,86,85,87,85,3375300
2022-11-23,85,82,87,83,3707700
2022-11-24,82,82,85,83,1689100
2022-11-25,83,83,86,84,2378400
2022-11-28,85,83,85,84,3803300
2022-11-29,84,83,85,83,1192700
2022-11-30,83,83,86,83,3658200
2022-12-01,83,83,86,83,0
2022-12-02,83,82,85,84,10700300
2022-12-05,84,82,85,84,1786800
2022-12-06,84,82,84,82,4890800
2022-12-07,82,80,83,80,5420500
2022-12-08,75,75,84,80,19578100
2022-12-09,80,79,80,80,1109300
2022-12-12,80,78,80,79,1440800
2022-12-13,79,78,82,78,7496500
2022-12-14,79,77,79,77,1496800
2022-12-15,77,76,80,77,5350500
2022-12-16,77,76,79,78,2262300
2022-12-19,78,77,79,78,3702600
2022-12-20,78,77,78,78,698400
2022-12-21,73,73,81,77,9177500
2022-12-22,78,76,78,76,1909000
2022-12-23,77,76,81,78,6593700
2022-12-26,79,77,80,79,3654400
2022-12-27,80,76,81,77,5655300
2022-12-28,77,77,78,77,1992000
2022-12-29,77,76,78,77,2731700
2022-12-30,77,77,78,77,1049100
2023-01-02,77,76,78,76,738800
2023-01-03,76,76,78,76,2364000
2023-01-04,76,76,80,76,2626200
2023-01-05,76,74,77,74,3870200
2023-01-06,75,73,77,73,3978400
