timestamp,open,low,high,close,volume
2022-07-08,262,262,262,262,18731300
2022-07-11,326,326,326,326,7129500
2022-07-12,406,406,406,406,49024500
2022-07-13,505,505,505,505,39814500
2022-07-14,600,470,630,470,26727900
2022-07-15,438,438,490,488,286087400
2022-07-18,555,488,555,535,303063000
2022-07-19,555,530,560,530,248718400
2022-07-20,494,494,494,494,7685400
2022-07-21,525,460,525,460,103871800
2022-07-22,428,428,462,450,217571700
2022-07-25,510,436,510,450,155204900
2022-07-26,440,420,454,420,112624600
2022-07-27,400,392,428,422,107972400
2022-07-28,424,394,434,394,86248200
2022-07-29,390,368,390,376,196085800
2022-08-01,416,350,416,350,60181300
2022-08-02,340,326,340,326,20906700
2022-08-03,310,304,332,312,66666600
2022-08-04,314,306,320,316,44764200
2022-08-05,316,312,342,340,156076100
2022-08-08,340,318,342,330,96793700
2022-08-09,328,312,340,316,35254900
2022-08-10,316,306,320,306,17171800
2022-08-11,306,304,314,310,71642000
2022-08-12,314,290,314,290,40291100
2022-08-15,290,270,290,270,26467800
2022-08-16,272,270,310,298,128375200
2022-08-17,272,270,310,298,0
2022-08-18,310,286,310,290,73170300
2022-08-19,290,284,296,292,46450300
2022-08-22,292,280,296,282,31264400
2022-08-23,284,272,294,284,56752100
2022-08-24,284,276,288,276,45729200
2022-08-25,278,276,288,282,24155200
2022-08-26,284,278,294,284,98143300
2022-08-29,282,280,292,284,49213700
2022-08-30,284,274,290,276,45023000
2022-08-31,276,276,282,278,22074500
2022-09-01,280,276,298,296,86119200
2022-09-02,298,286,304,300,107953000
2022-09-05,292,288,300,290,91528300
2022-09-06,290,290,308,300,63733800
2022-09-07,302,280,304,288,133427000
2022-09-08,286,276,288,278,68057400
2022-09-09,278,268,282,272,53928000
2022-09-12,272,266,274,272,23661600
2022-09-13,270,268,278,274,43532800
2022-09-14,272,268,278,270,33706600
2022-09-15,272,268,276,270,13685100
2022-09-16,270,252,270,252,66878300
2022-09-19,252,236,252,236,5456900
2022-09-20,220,220,236,220,55146600
2022-09-21,212,212,242,234,35226100
2022-09-22,236,232,244,242,40117400
2022-09-23,246,0,0,242,5697200
2022-09-26,242,234,244,242,9515500
2022-09-27,242,234,244,238,10985900
2022-09-28,238,236,250,246,51293000
2022-09-29,248,238,252,246,46448300
2022-09-30,240,236,246,240,9464500
2022-10-03,240,232,242,240,11709800
2022-10-04,240,234,244,238,10604500
2022-10-05,238,238,248,240,20388500
2022-10-06,242,238,248,242,21685400
2022-10-07,242,238,242,240,7674700
2022-10-10,242,230,242,232,12201000
2022-10-11,232,228,232,230,21242100
2022-10-12,230,228,248,234,68922700
2022-10-13,234,228,236,232,7031600
2022-10-14,232,228,232,230,10844200
2022-10-17,230,226,232,230,13081000
2022-10-18,236,228,238,230,6668500
2022-10-19,232,230,234,234,4165100
2022-10-20,234,230,234,232,3080500
2022-10-21,232,228,234,230,4693900
2022-10-24,230,228,232,230,6787700
2022-10-25,230,228,232,230,5222800
2022-10-26,230,228,232,232,2391800
2022-10-27,232,228,232,232,6474800
2022-10-28,232,230,232,230,2989200
2022-10-31,236,230,250,230,29181400
2022-11-01,232,228,232,230,8998000
2022-11-02,230,228,232,230,3743400
2022-11-03,230,228,232,230,1964200
2022-11-04,232,228,232,230,4192800
2022-11-07,228,226,230,230,0
2022-11-08,228,226,230,230,0
2022-11-09,228,226,230,230,0
2022-11-10,228,226,230,230,1553000
2022-11-11,228,226,230,230,3031200
2022-11-14,228,226,230,230,2187000
2022-11-15,228,226,230,230,2038300
2022-11-16,228,226,230,230,1289600
2022-11-17,228,226,230,230,2008300
2022-11-18,228,226,230,230,1398200
2022-11-21,230,220,230,230,5157000
2022-11-22,230,226,230,230,1763500
2022-11-23,230,226,230,230,2595800
2022-11-24,230,226,230,226,2524200
2022-11-25,226,226,230,230,1501900
2022-11-28,230,226,230,230,1703800
2022-11-29,228,226,230,230,1753600
2022-11-30,230,226,230,230,1852200
2022-12-01,230,226,230,230,0
2022-12-02,230,226,230,230,3573100
2022-12-05,228,226,230,230,3060000
2022-12-06,230,224,230,230,9030100
2022-12-07,230,224,230,224,7062100
2022-12-08,226,222,228,228,4758100
2022-12-09,228,224,228,228,10413700
2022-12-12,228,224,228,228,9351800
2022-12-13,228,222,228,228,12086700
2022-12-14,228,224,228,226,2835600
2022-12-15,226,222,228,222,12284200
2022-12-16,224,220,226,222,10594300
2022-12-19,222,216,222,216,12373200
2022-12-20,206,206,218,212,14194900
2022-12-21,214,212,220,220,13650000
2022-12-22,220,214,220,220,2241900
2022-12-23,220,218,220,220,745800
2022-12-26,220,216,222,220,19682300
2022-12-27,220,216,220,220,1779600
2022-12-28,220,218,230,226,5535100
2022-12-29,226,218,228,228,4746800
2022-12-30,228,220,228,226,4300100
2023-01-02,226,224,238,228,7089700
2023-01-03,226,224,232,230,4801400
2023-01-04,230,222,230,228,4741000
2023-01-05,228,220,228,222,4762600
2023-01-06,220,214,222,220,2826300
