timestamp,open,low,high,close,volume
2020-07-06,168,168,168,168,15200
2020-07-07,216,200,226,226,89000
2020-07-08,242,242,282,282,666900
2020-07-09,322,284,352,352,6558400
2020-07-10,400,368,440,440,4885900
2020-07-13,462,462,550,550,3736600
2020-07-14,650,645,685,685,1733100
2020-07-15,850,640,855,640,3636400
2020-07-16,600,600,600,600,80000
2020-07-17,560,560,560,560,24300
2020-07-20,525,525,525,525,15000
2020-07-21,490,490,515,490,1539600
2020-07-22,480,456,480,456,174700
2020-07-23,426,426,520,505,3688000
2020-07-24,515,470,565,470,1731700
2020-07-27,470,438,470,438,57200
2020-07-28,450,408,450,408,21400
2020-07-29,380,380,440,380,862900
2020-07-30,380,354,380,354,558700
2020-07-31,380,354,380,354,0
2020-08-03,354,330,442,442,3636700
2020-08-04,444,412,462,412,1255000
2020-08-05,412,384,412,384,73800
2020-08-06,358,358,358,358,182400
2020-08-07,340,334,358,334,117200
2020-08-10,330,312,368,320,1401500
2020-08-11,318,312,344,324,191200
2020-08-12,324,304,328,304,351100
2020-08-13,324,290,324,310,281700
2020-08-14,298,290,316,290,228100
2020-08-17,298,290,316,290,0
2020-08-18,314,270,314,270,520200
2020-08-19,270,254,270,254,78500
2020-08-20,270,254,270,254,0
2020-08-21,270,254,270,254,0
2020-08-24,256,238,262,238,280400
2020-08-25,238,222,264,252,406300
2020-08-26,252,252,280,266,293000
2020-08-27,276,256,276,268,137800
2020-08-28,280,260,280,268,27900
2020-08-31,288,250,288,260,105400
2020-09-01,270,260,270,264,15200
2020-09-02,276,260,276,270,5000
2020-09-03,260,252,270,252,65200
2020-09-04,272,236,272,240,98100
2020-09-07,260,230,260,230,43300
2020-09-08,266,214,266,244,24400
2020-09-09,230,228,242,230,65700
2020-09-10,250,214,250,214,85500
2020-09-11,214,200,230,230,126800
2020-09-14,250,216,250,244,8600
2020-09-15,264,228,264,238,55700
2020-09-16,258,222,258,228,29200
2020-09-17,248,214,248,214,47100
2020-09-18,234,200,234,210,55500
2020-09-21,230,196,230,197,110000
2020-09-22,226,197,226,204,28700
2020-09-23,224,191,224,206,16100
2020-09-24,226,194,226,200,1200
2020-09-25,220,187,220,218,5900
2020-09-28,206,204,206,204,32600
2020-09-29,224,191,224,204,16700
2020-09-30,204,198,204,198,21800
2020-10-01,208,190,218,208,23600
2020-10-02,220,196,220,210,2500
2020-10-05,204,200,210,210,21800
2020-10-06,214,202,214,212,26000
2020-10-07,210,204,214,210,37000
2020-10-08,230,208,230,214,35400
2020-10-09,206,204,214,210,28800
2020-10-12,214,198,214,200,9400
2020-10-13,220,199,220,204,23400
2020-10-14,224,197,224,202,35600
2020-10-15,210,200,210,200,11500
2020-10-16,210,197,210,198,110000
2020-10-19,208,197,208,198,43500
2020-10-20,206,185,206,202,93100
2020-10-21,218,191,218,202,44700
2020-10-22,202,198,202,202,31500
2020-10-23,200,198,206,198,11900
2020-10-26,192,192,202,202,13500
2020-10-27,192,191,202,200,22100
2020-10-28,192,191,202,200,0
2020-10-29,192,191,202,200,0
2020-10-30,192,191,202,200,0
2020-11-02,220,195,220,208,160100
2020-11-03,210,196,210,210,23900
2020-11-04,230,200,230,202,47800
2020-11-05,222,206,222,208,20300
2020-11-06,228,202,228,216,127600
2020-11-09,214,206,216,216,12500
2020-11-10,210,210,230,226,305500
2020-11-11,226,212,226,222,37400
2020-11-12,222,208,232,232,45000
2020-11-13,240,230,248,232,1400
2020-11-16,232,232,232,232,200
2020-11-17,230,220,230,220,6300
2020-11-18,240,210,240,224,51400
2020-11-19,232,224,238,234,109200
2020-11-20,226,226,242,240,38700
2020-11-23,240,228,240,240,7700
2020-11-24,260,226,260,234,17700
2020-11-25,234,226,236,236,4700
2020-11-26,236,222,236,234,15800
2020-11-27,232,218,234,218,103600
2020-11-30,238,210,238,224,78200
2020-12-01,234,210,234,232,28600
2020-12-02,250,216,250,230,22400
2020-12-03,250,216,250,216,72700
2020-12-04,236,224,236,230,54200
2020-12-07,250,220,250,228,74600
2020-12-08,248,220,248,230,87300
2020-12-09,248,220,248,230,0
2020-12-10,250,224,250,224,57800
2020-12-11,244,224,244,232,2300
2020-12-14,252,224,252,226,106500
2020-12-15,246,220,246,224,6200
2020-12-16,232,222,232,222,24500
2020-12-17,242,216,242,218,169200
2020-12-18,238,216,238,222,131700
2020-12-21,242,210,242,220,77600
2020-12-22,240,208,240,208,19400
2020-12-23,228,194,228,194,117600
2020-12-24,228,194,228,194,0
