timestamp,open,low,high,close,volume
2021-03-08,159,159,159,159,250613700
2021-03-09,168,161,214,195,1246307400
2021-03-10,200,182,206,182,60713000
2021-03-11,200,182,206,182,0
2021-03-12,170,170,170,170,4914500
2021-03-15,159,159,159,159,5622100
2021-03-16,148,148,148,148,3916700
2021-03-17,138,138,138,138,2617600
2021-03-18,129,129,145,129,540693600
2021-03-19,120,120,126,120,52376800
2021-03-22,112,112,117,112,24672600
2021-03-23,105,105,123,113,426455500
2021-03-24,113,108,119,108,114403000
2021-03-25,109,106,114,113,54175800
2021-03-26,113,106,114,112,78202600
2021-03-29,109,107,112,110,33558900
2021-03-30,108,106,111,108,30467000
2021-03-31,106,101,108,102,25442900
2021-04-01,103,99,113,107,65423500
2021-04-02,103,99,113,107,0
2021-04-05,107,103,111,111,31596600
2021-04-06,110,107,114,114,55431600
2021-04-07,114,112,124,124,95178300
2021-04-08,126,122,126,123,39255700
2021-04-09,123,117,124,117,22241400
2021-04-12,116,112,118,112,15391500
2021-04-13,112,109,114,109,10046300
2021-04-14,111,107,112,111,14136000
2021-04-15,112,110,126,126,80648000
2021-04-16,126,119,127,119,28610100
2021-04-19,119,114,121,114,10880000
2021-04-20,114,111,119,115,19418100
2021-04-21,116,114,118,114,10891700
2021-04-22,114,113,116,113,9027100
2021-04-23,116,111,116,111,9219700
2021-04-26,111,110,112,110,8953500
2021-04-27,110,107,111,108,9301500
2021-04-28,108,107,108,107,5059900
2021-04-29,107,107,111,109,6608900
2021-04-30,109,107,110,110,5914800
2021-05-03,112,108,112,109,6399700
2021-05-04,109,108,109,108,4434900
2021-05-05,109,107,110,108,2637100
2021-05-06,108,107,109,107,6496600
2021-05-07,108,106,110,106,10491100
2021-05-10,106,106,108,106,4403500
2021-05-11,107,104,107,104,9219100
2021-05-12,107,104,107,104,0
2021-05-13,107,104,107,104,0
2021-05-14,107,104,107,104,0
2021-05-17,104,101,105,102,7816800
2021-05-18,102,100,111,108,16360200
2021-05-19,108,104,108,104,5452500
2021-05-20,104,102,105,103,4733500
2021-05-21,104,102,105,102,5946200
2021-05-24,103,101,103,101,4983600
2021-05-25,101,100,104,103,6205700
2021-05-26,101,100,104,103,0
2021-05-27,103,101,103,102,5616600
2021-05-28,102,100,103,102,5203600
2021-05-31,102,100,102,100,4533700
2021-06-01,102,100,102,100,0
2021-06-02,101,100,103,101,9281000
2021-06-03,101,100,103,102,6583600
2021-06-04,102,100,102,101,4571700
2021-06-07,102,99,102,100,14894100
2021-06-08,101,99,101,100,9464800
2021-06-09,101,99,101,100,7489900
2021-06-10,100,99,101,99,8097100
2021-06-11,100,97,100,97,13321600
2021-06-14,97,97,100,98,7261400
2021-06-15,98,95,98,96,5391400
2021-06-16,98,95,98,95,5353700
2021-06-17,95,92,99,95,12971100
