timestamp,open,low,high,close,volume
2012-12-18,750,740,790,750,0
2012-12-19,750,740,790,750,0
2012-12-20,750,740,790,750,0
2012-12-21,750,740,790,750,0
2012-12-24,750,740,790,750,0
2012-12-25,750,740,790,750,0
2012-12-26,750,740,790,750,3
2012-12-27,760,750,780,760,7959000
2012-12-28,760,750,780,760,5417000
2012-12-31,760,750,780,760,0
2013-01-01,760,750,780,760,0
2013-01-02,770,760,790,770,6700000
2013-01-03,760,750,780,760,7253000
2013-01-04,790,750,800,790,17278000
2013-01-07,760,760,790,760,6365500
2013-01-08,740,740,770,740,5803500
2013-01-09,720,720,750,720,5466500
2013-01-10,720,670,730,720,24187000
2013-01-11,680,680,710,680,9130500
2013-01-14,730,680,730,730,22254000
2013-01-15,730,720,760,730,29203000
2013-01-16,720,710,750,720,4420500
2013-01-17,720,710,730,720,3374500
2013-01-18,720,710,750,720,8522500
2013-01-21,740,720,740,740,9289000
2013-01-22,740,740,740,740,0
2013-01-23,720,710,730,720,5070000
2013-01-24,720,710,730,720,0
2013-01-25,740,730,740,740,6458000
2013-01-28,740,740,770,740,12629500
2013-01-29,760,740,770,760,12049000
2013-01-30,760,750,770,760,3532000
2013-01-31,740,740,770,740,7188000
2013-02-01,760,740,760,760,4483000
2013-02-04,750,740,770,750,3520000
2013-02-05,740,740,750,740,5655500
2013-02-06,750,740,750,750,2768500
2013-02-07,730,730,750,730,2952500
2013-02-08,720,710,730,720,1476500
2013-02-11,730,720,730,730,250500
2013-02-12,720,710,730,720,1884000
2013-02-13,750,710,750,750,3555000
2013-02-14,740,730,750,740,2146500
2013-02-15,740,740,750,740,3883500
2013-02-18,760,730,780,760,16266500
2013-02-19,760,750,770,760,9267000
2013-02-20,770,760,780,770,7243500
2013-02-21,770,770,800,770,12514000
2013-02-22,790,770,790,790,2220500
2013-02-25,790,780,800,790,5948000
2013-02-26,790,770,790,790,5801500
2013-02-27,790,770,790,790,10081500
2013-02-28,770,770,780,770,1756500
2013-03-01,790,770,790,790,3358500
2013-03-04,770,760,790,770,9277500
2013-03-05,780,760,780,780,2028000
2013-03-06,850,780,850,850,37129500
2013-03-07,880,840,930,880,43498000
2013-03-08,900,860,910,900,21414500
2013-03-11,890,880,920,890,4872500
2013-03-12,890,880,920,890,0
2013-03-13,980,890,980,980,42201000
2013-03-14,1010,970,1060,1010,38831000
2013-03-15,990,990,1040,990,15528000
2013-03-18,930,930,990,930,8880500
2013-03-19,930,920,970,930,11216000
2013-03-20,930,920,970,930,6010500
2013-03-21,930,920,940,930,4861000
2013-03-22,910,910,950,910,7603500
2013-03-25,920,910,930,920,5179000
2013-03-26,950,920,960,950,10304000
2013-03-27,1020,960,1030,1020,22377500
2013-03-28,1020,970,1020,1020,7640000
2013-03-29,1020,970,1020,1020,0
2013-04-01,1000,980,1040,1000,4727500
2013-04-02,1000,990,1030,1000,8437500
2013-04-03,1000,990,1020,1000,8437500
2013-04-04,990,980,1000,990,4569500
2013-04-05,1000,980,1000,1000,4896500
2013-04-08,980,980,1000,980,3458500
2013-04-09,960,960,990,960,4061500
2013-04-10,980,960,980,980,2172500
2013-04-11,970,960,980,970,282500
2013-04-12,960,950,980,960,1096500
2013-04-15,970,960,980,970,2392000
2013-04-16,940,930,960,940,6624000
2013-04-17,940,940,950,940,5250500
2013-04-18,930,930,940,930,670000
2013-04-19,940,930,960,940,2461500
2013-04-22,950,920,950,930,3
2013-04-23,930,910,950,920,9122500
2013-04-24,920,900,930,910,1986500
2013-04-25,910,890,920,900,8337000
2013-04-26,910,890,920,890,938500
2013-04-29,890,860,920,870,12254000
2013-04-30,880,850,980,970,3
2013-05-01,980,930,990,950,19925500
2013-05-02,960,950,980,950,6605500
2013-05-03,960,910,960,920,1823000
2013-05-06,940,910,940,940,4274000
2013-05-07,940,920,940,930,4388000
2013-05-08,930,920,950,940,4921500
2013-05-09,930,920,950,940,0
2013-05-10,940,930,950,930,2157000
2013-05-13,940,920,960,940,4179000
2013-05-14,950,950,1020,990,24375500
2013-05-15,1000,990,1030,1020,16691000
2013-05-16,1020,1020,1060,1020,28092000
2013-05-17,1030,990,1030,1000,7694000
2013-05-20,1000,990,1010,1000,5828000
2013-05-21,1010,1000,1020,1000,3453500
2013-05-22,1000,1000,1050,1030,6227500
2013-05-23,1030,960,1030,990,9147000
2013-05-24,990,980,1010,1000,6613500
2013-05-27,1000,970,1000,970,1277500
2013-05-28,970,970,1030,1010,6545500
2013-05-29,1010,980,1010,990,3513500
2013-05-30,980,970,980,970,7368500
2013-05-31,970,970,980,970,1422500
2013-06-03,970,960,990,980,2179000
2013-06-04,980,950,1000,960,2478500
2013-06-05,960,950,960,950,1097000
2013-06-06,960,950,960,950,0
2013-06-07,940,900,940,930,2127000
2013-06-10,930,900,930,910,958000
2013-06-11,900,860,910,860,2135000
2013-06-12,880,860,890,870,3222500
2013-06-13,870,850,870,860,2850000
2013-06-14,870,870,890,880,588500
2013-06-17,870,850,880,850,2122000
2013-06-18,870,860,890,880,1125000
2013-06-19,890,860,890,870,7899500
2013-06-20,860,830,860,840,368500
2013-06-21,810,790,810,810,1277500
2013-06-24,790,780,810,780,1570500
2013-06-25,790,790,800,790,1218500
2013-06-26,820,790,830,820,2077000
2013-06-27,820,820,840,820,6017500
2013-06-28,820,820,830,830,6304500
2013-07-01,830,810,830,820,3861000
2013-07-02,830,790,830,800,1638000
2013-07-03,790,770,790,780,3250500
2013-07-04,780,780,810,810,422000
2013-07-05,810,790,810,800,1523000
2013-07-08,800,760,800,760,2048000
2013-07-09,780,750,790,760,996500
2013-07-10,770,760,780,770,1711000
2013-07-11,780,780,810,790,1203000
2013-07-12,790,790,840,830,3862000
2013-07-15,830,810,870,810,3007500
2013-07-16,820,800,820,810,558000
2013-07-17,810,810,850,820,7760000
2013-07-18,820,800,820,800,1397500
2013-07-19,800,780,800,790,331000
2013-07-22,790,790,790,790,1454000
2013-07-23,800,790,810,800,1159000
2013-07-24,800,790,800,800,1623000
2013-07-25,790,790,800,790,319000
2013-07-26,790,780,790,790,2422000
2013-07-29,780,700,780,780,745500
2013-07-30,780,780,800,780,1348500
2013-07-31,790,750,790,780,774500
2013-08-01,790,780,810,790,1385000
2013-08-02,810,790,810,800,1266000
2013-08-05,810,790,810,800,0
2013-08-06,810,790,810,800,0
2013-08-07,810,790,810,800,0
2013-08-08,810,790,810,800,0
2013-08-09,810,790,810,800,0
2013-08-12,800,800,800,800,1280000
2013-08-13,810,800,820,810,1366500
2013-08-14,810,810,820,810,966500
2013-08-15,800,790,810,790,1751500
2013-08-16,800,790,810,800,1335500
2013-08-19,800,700,800,750,3311000
2013-08-20,720,680,720,680,1729500
2013-08-21,700,700,720,720,181000
2013-08-22,710,690,710,700,158500
2013-08-23,710,690,740,700,577500
2013-08-26,700,690,700,690,3439000
2013-08-27,680,600,680,630,440000
2013-08-28,610,500,680,680,2658500
2013-08-29,680,680,700,700,879500
2013-08-30,700,700,720,720,1335000
2013-09-02,710,680,720,680,703500
2013-09-03,680,650,700,670,706500
2013-09-04,670,600,670,630,1544500
2013-09-05,630,620,650,630,918500
2013-09-06,630,630,640,630,575500
2013-09-09,640,640,660,650,304500
2013-09-10,660,640,700,690,1738000
2013-09-11,690,670,700,690,174500
2013-09-12,690,680,690,690,130000
2013-09-13,690,670,710,680,1636500
2013-09-16,700,690,730,720,3929500
2013-09-17,720,700,730,700,412500
2013-09-18,690,690,700,690,85500
2013-09-19,710,710,740,730,2763500
2013-09-20,720,710,750,730,1178500
2013-09-23,730,710,730,730,654500
2013-09-24,730,700,730,700,334500
2013-09-25,700,700,700,700,125000
2013-09-26,710,700,710,700,168500
2013-09-27,710,700,710,700,137500
2013-09-30,690,680,700,690,51500
2013-10-01,680,680,700,700,117000
2013-10-02,700,700,720,710,663000
2013-10-03,720,710,740,720,1062000
2013-10-04,720,700,720,700,37500
2013-10-07,700,690,700,700,92500
2013-10-08,700,690,710,700,166500
2013-10-09,700,700,730,710,413500
2013-10-10,710,700,730,710,175000
2013-10-11,720,710,720,720,18500
2013-10-14,720,710,720,720,0
2013-10-15,720,710,720,720,0
2013-10-16,720,710,720,710,150500
2013-10-17,720,720,740,720,965000
2013-10-18,720,720,730,720,164000
2013-10-21,720,710,750,740,3063000
2013-10-22,740,720,740,720,813500
2013-10-23,730,730,740,730,534000
2013-10-24,730,720,740,730,169000
2013-10-25,740,730,740,740,1245000
2013-10-28,740,740,750,740,1305000
2013-10-29,750,750,780,770,2231000
2013-10-30,780,770,800,790,4201500
2013-10-31,800,780,820,790,5965000
2013-11-01,780,780,800,790,1136500
2013-11-04,790,790,790,790,467500
2013-11-05,790,790,790,790,0
2013-11-06,780,780,790,790,940000
2013-11-07,800,780,800,790,1845000
2013-11-08,780,760,780,770,901000
2013-11-11,770,760,780,760,900000
2013-11-12,760,740,770,750,1479000
2013-11-13,750,730,750,750,514000
2013-11-14,750,740,750,750,647500
2013-11-15,750,720,750,740,1395000
2013-11-18,740,740,740,740,211500
2013-11-19,740,730,740,740,61000
2013-11-20,730,730,760,730,799500
2013-11-21,740,730,740,730,568500
2013-11-22,740,710,740,730,1087000
2013-11-25,720,710,720,720,470000
2013-11-26,720,710,720,710,118500
