timestamp,open,low,high,close,volume
2012-12-19,433,409,477,433,806726963
2012-12-20,419,419,438,419,74211994
2012-12-21,414,409,428,414,44889749
2012-12-24,414,409,428,414,0
2012-12-25,414,409,428,414,0
2012-12-26,428,414,428,428,3
2012-12-27,438,424,448,438,91385031
2012-12-28,438,433,443,438,22217381
2012-12-31,438,433,443,438,0
2013-01-01,438,433,443,438,0
2013-01-02,419,414,443,419,84433539
2013-01-03,424,419,428,424,19974253
2013-01-04,428,424,438,428,48358314
2013-01-07,424,414,433,424,33861848
2013-01-08,424,419,428,424,28038332
2013-01-09,433,419,438,433,42937463
2013-01-10,428,419,438,428,26892403
2013-01-11,428,424,433,428,9241811
2013-01-14,428,424,433,428,24429219
2013-01-15,424,419,428,424,25306363
2013-01-16,448,428,458,448,117580849
2013-01-17,458,448,477,458,101581441
2013-01-18,453,448,467,453,23340741
2013-01-21,453,448,458,453,17229460
2013-01-22,453,453,453,453,0
2013-01-23,453,448,458,453,31338649
2013-01-24,453,448,458,453,0
2013-01-25,463,453,467,463,47856136
2013-01-28,458,453,467,458,24839066
2013-01-29,463,458,463,463,11585477
2013-01-30,453,453,463,453,32740540
2013-01-31,458,453,458,458,8416988
2013-02-01,463,453,467,463,55788900
2013-02-04,463,458,467,463,10379020
2013-02-05,453,453,463,453,41992610
2013-02-06,448,448,458,448,46006953
2013-02-07,458,448,467,458,61659094
2013-02-08,453,453,467,453,25728521
2013-02-11,458,448,458,458,12860156
2013-02-12,453,453,458,453,13915294
2013-02-13,477,453,487,477,185407135
2013-02-14,477,477,497,477,93943623
2013-02-15,497,477,506,497,109789146
2013-02-18,526,487,545,526,183175292
2013-02-19,526,516,545,526,100312404
2013-02-20,565,526,575,565,161698609
2013-02-21,565,555,604,565,131197606
2013-02-22,584,565,594,584,58108971
2013-02-25,575,575,594,575,31666937
2013-02-26,565,555,584,565,48088502
2013-02-27,575,565,594,575,62179225
2013-02-28,594,575,614,594,113622417
2013-03-01,604,594,614,604,43907964
2013-03-04,584,565,614,584,65787825
2013-03-05,594,584,594,594,16231261
2013-03-06,604,584,604,604,44855894
2013-03-07,584,584,614,584,32489195
2013-03-08,614,584,623,614,144049556
2013-03-11,614,614,633,614,66188438
2013-03-12,614,614,633,614,0
2013-03-13,604,594,623,604,39123684
2013-03-14,575,565,604,575,87538935
2013-03-15,604,584,604,604,38028024
2013-03-18,584,584,604,584,25967555
2013-03-19,623,584,633,623,138041378
2013-03-20,662,614,662,662,272971718
2013-03-21,662,662,692,662,156970241
2013-03-22,643,643,682,643,67366683
2013-03-25,672,653,682,672,50125938
2013-03-26,692,662,701,692,93042370
2013-03-27,711,692,711,711,65984797
2013-03-28,701,682,711,701,62635750
2013-03-29,701,682,711,701,0
2013-04-01,682,682,701,682,20326649
2013-04-02,692,682,701,692,49748407
2013-04-03,672,672,701,672,3
2013-04-04,662,662,682,662,44924630
2013-04-05,662,653,682,662,30433806
2013-04-08,653,653,672,653,16133800
2013-04-09,672,653,672,672,31711051
2013-04-10,653,643,672,653,61083565
2013-04-11,682,653,692,682,72251501
2013-04-12,682,682,701,682,34416346
2013-04-15,672,672,692,672,7242333
2013-04-16,682,653,692,682,30306595
2013-04-17,672,672,692,672,30477920
2013-04-18,692,662,701,692,60627553
2013-04-19,721,692,750,721,185781588
2013-04-22,721,711,740,721,0
2013-04-23,731,711,740,731,35323241
2013-04-24,740,731,750,731,33840304
2013-04-25,740,692,740,701,3
2013-04-26,701,701,750,740,3
2013-04-29,740,740,760,760,81638477
2013-04-30,760,750,779,750,65186648
2013-05-01,760,750,779,779,81030632
2013-05-02,779,750,779,770,93638931
2013-05-03,760,760,799,779,92154455
2013-05-06,779,779,809,799,71148660
2013-05-07,799,789,838,818,79429204
2013-05-08,828,818,838,828,49081059
2013-05-09,828,818,838,828,0
2013-05-10,838,818,838,818,9585487
2013-05-13,838,809,838,818,36828235
2013-05-14,818,799,818,818,38131639
2013-05-15,818,818,848,828,39418117
2013-05-16,828,828,877,838,89065473
2013-05-17,848,838,857,838,42758957
2013-05-20,838,838,867,848,45809980
2013-05-21,857,848,867,848,26529235
2013-05-22,857,857,906,896,77516415
2013-05-23,896,867,916,896,112176413
2013-05-24,896,887,935,906,78317642
2013-05-27,906,896,916,906,38905680
2013-05-28,906,906,974,965,3
2013-05-29,974,965,1003,984,73088122
2013-05-30,984,974,1052,1003,166624976
2013-05-31,1003,984,1023,1023,64846562
2013-06-03,1023,945,1033,945,3
2013-06-04,945,867,984,935,123150967
2013-06-05,935,896,945,926,59876595
2013-06-06,935,896,945,926,0
2013-06-07,926,867,926,887,109558831
2013-06-10,906,818,916,838,3
2013-06-11,848,760,848,770,3
2013-06-12,750,731,838,828,3
2013-06-13,799,770,818,799,136817481
2013-06-14,809,809,867,857,3
2013-06-17,857,848,906,867,127830606
2013-06-18,887,877,916,896,107599877
2013-06-19,906,867,916,877,81037813
2013-06-20,857,809,857,809,3
2013-06-21,770,770,809,789,199646100
2013-06-24,779,731,799,740,3
2013-06-25,740,692,770,760,122476439
2013-06-26,770,740,789,779,95475803
2013-06-27,789,779,809,779,105427536
2013-06-28,789,740,799,750,3
2013-07-01,740,721,760,731,68245879
2013-07-02,740,721,750,750,43111353
2013-07-03,740,711,750,721,44638404
2013-07-04,721,672,731,682,60552149
2013-07-05,692,643,711,711,85111145
2013-07-08,701,653,701,653,50601955
2013-07-09,653,604,672,633,83511769
2013-07-10,643,614,721,701,197575836
2013-07-11,711,711,760,721,116710886
2013-07-12,731,692,740,701,30534857
2013-07-15,711,701,731,721,32352750
2013-07-16,721,721,789,770,181039370
2013-07-17,789,760,789,770,75154283
2013-07-18,779,770,828,809,128085541
2013-07-19,809,779,818,789,52444469
2013-07-22,789,779,818,809,45365253
2013-07-23,809,809,828,809,53244671
2013-07-24,818,779,818,789,64196142
2013-07-25,779,760,789,779,43601220
2013-07-26,779,760,789,760,10453910
2013-07-29,770,731,770,750,21324336
2013-07-30,750,740,770,740,24294827
2013-07-31,740,740,770,770,23723914
2013-08-01,770,760,799,789,55825319
2013-08-02,799,789,809,789,26484608
2013-08-05,799,789,809,789,0
2013-08-06,799,789,809,789,0
2013-08-07,799,789,809,789,0
2013-08-08,799,789,809,789,0
2013-08-09,799,789,809,789,0
2013-08-12,779,760,789,770,13209475
2013-08-13,779,770,799,789,24973972
2013-08-14,799,779,809,789,28303014
2013-08-15,789,770,789,770,17925020
2013-08-16,760,750,779,750,25054505
2013-08-19,750,643,750,653,136130128
2013-08-20,643,604,653,623,58672702
2013-08-21,623,623,662,643,59832481
2013-08-22,633,575,633,584,133049867
2013-08-23,604,565,633,575,125200201
2013-08-26,584,526,594,526,77905744
2013-08-27,526,463,526,463,95253183
2013-08-28,443,433,506,497,152815863
2013-08-29,497,482,526,506,110549337
2013-08-30,506,497,545,536,77085537
2013-09-02,545,506,584,526,140345034
2013-09-03,526,497,545,497,85308631
2013-09-04,497,482,506,482,54054618
2013-09-05,487,458,506,458,71983229
2013-09-06,458,438,458,443,58400839
2013-09-09,453,453,482,472,98204694
2013-09-10,482,477,536,526,159321088
2013-09-11,536,506,565,516,127109911
2013-09-12,516,516,565,555,106458565
2013-09-13,536,536,594,575,169789362
2013-09-16,584,584,614,604,121608015
2013-09-17,604,575,614,584,86126785
2013-09-18,584,565,594,575,35798745
2013-09-19,594,594,662,653,230134793
2013-09-20,653,623,662,633,49412425
2013-09-23,604,604,623,623,35548426
2013-09-24,604,594,633,594,49718143
2013-09-25,594,575,604,584,35311443
2013-09-26,584,565,623,604,48102865
2013-09-27,614,604,623,604,23477185
2013-09-30,594,575,604,575,27251468
2013-10-01,584,575,604,594,27624895
2013-10-02,604,604,623,604,43412455
2013-10-03,604,584,614,594,32007535
2013-10-04,594,584,604,594,24201470
2013-10-07,584,545,594,545,82566403
2013-10-08,545,545,575,545,60325938
2013-10-09,545,536,565,545,37897734
2013-10-10,555,545,565,555,31925976
2013-10-11,575,555,575,565,33803884
2013-10-14,575,555,575,565,0
2013-10-15,575,555,575,565,0
2013-10-16,565,555,575,555,17649053
2013-10-17,565,555,575,565,29160153
2013-10-18,575,555,594,584,93299358
2013-10-21,594,584,604,594,68812688
2013-10-22,594,565,594,575,64559824
2013-10-23,575,575,594,584,50066948
2013-10-24,584,575,604,594,122033763
2013-10-25,604,594,614,604,98777659
2013-10-28,614,604,633,623,110956619
2013-10-29,633,584,633,584,127270978
2013-10-30,594,584,604,604,38453259
2013-10-31,594,575,594,584,37356573
2013-11-01,575,555,594,565,64108428
2013-11-04,565,545,565,565,22453338
2013-11-05,565,545,565,565,0
2013-11-06,565,545,575,555,26429210
2013-11-07,555,545,575,545,47025671
2013-11-08,545,536,555,536,23926529
2013-11-11,536,516,545,526,21805996
2013-11-12,526,482,526,482,69911426
2013-11-13,482,458,482,467,71414881
2013-11-14,477,472,497,482,121994779
2013-11-15,487,463,497,463,74165316
2013-11-18,467,443,472,443,73092739
2013-11-19,448,438,458,448,79193247
2013-11-20,458,443,463,448,49271364
2013-11-21,438,438,453,443,27417663
2013-11-22,448,443,453,443,21347419
2013-11-25,443,443,453,453,25620801
2013-11-26,453,438,453,438,23836250
2013-11-27,438,438,448,443,20907821
2013-11-28,448,428,448,433,28049617
2013-11-29,428,428,443,443,18529787
2013-12-02,443,438,472,467,148147509
2013-12-03,467,463,472,463,79229666
2013-12-04,463,448,463,453,33180651
2013-12-05,448,443,453,448,41229854
2013-12-06,448,443,458,448,25618236
2013-12-09,453,443,458,443,22704683
2013-12-10,443,438,453,443,40341426
2013-12-11,443,438,458,448,58406481
2013-12-12,448,443,453,443,82838266
2013-12-13,438,433,448,433,31777221
2013-12-16,433,414,433,419,36551242
2013-12-17,424,419,433,419,35699746
2013-12-18,424,414,424,419,21586966
2013-12-19,424,414,433,414,31852625
2013-12-20,414,404,419,404,33900319
2013-12-23,399,394,409,394,18528248
2013-12-24,399,389,404,394,37715124
2013-12-25,399,389,404,394,0
2013-12-26,399,389,404,394,0
2013-12-27,394,394,404,394,11248982
2013-12-30,399,394,404,394,15980428
2013-12-31,399,394,404,394,0
2014-01-01,399,394,404,394,0
2014-01-02,394,394,414,409,32964186
2014-01-03,409,399,409,404,26620027
2014-01-06,404,395,407,397,21968703
2014-01-07,394,391,398,394,13232660
2014-01-08,397,393,401,398,10624517
2014-01-09,397,396,407,402,21130236
2014-01-10,402,402,427,426,68804070
2014-01-13,427,426,521,497,270698121
2014-01-14,427,426,521,497,0
2014-01-15,497,485,511,497,106097448
2014-01-16,501,487,506,497,34245739
2014-01-17,487,487,550,540,116021482
2014-01-20,540,531,565,545,86856405
2014-01-21,550,545,565,550,37464600
2014-01-22,550,511,560,536,111726351
2014-01-23,536,536,550,536,53534795
2014-01-24,526,516,536,526,48733075
2014-01-27,506,492,516,492,91153690
2014-01-28,492,492,506,501,46865015
2014-01-29,501,501,531,526,97042145
2014-01-30,511,506,531,526,78972063
2014-01-31,511,506,531,526,0
2014-02-03,521,521,550,545,83146344
2014-02-04,540,521,545,540,35718725
2014-02-05,545,545,570,570,100716300
2014-02-06,575,575,589,579,80249205
2014-02-07,589,579,594,589,70511064
2014-02-10,594,579,599,579,48272241
2014-02-11,579,579,604,604,70006014
2014-02-12,609,594,614,599,43061289
2014-02-13,594,589,604,594,37992835
2014-02-14,604,599,614,609,84238618
2014-02-17,614,614,648,648,147334074
2014-02-18,653,643,667,648,106834557
2014-02-19,648,633,657,643,52294073
2014-02-20,643,623,643,628,76673023
2014-02-21,638,638,662,657,94620203
2014-02-24,653,648,672,653,73811073
2014-02-25,657,648,667,648,92622367
2014-02-26,643,633,657,643,68053010
2014-02-27,648,648,667,657,46127804
2014-02-28,657,648,667,648,43051338
2014-03-03,643,628,648,643,71554711
2014-03-04,643,643,662,662,74828867
2014-03-05,672,662,677,667,107809879
2014-03-06,667,662,706,701,207395126
2014-03-07,711,696,711,701,101429916
2014-03-10,696,687,731,721,109279171
2014-03-11,726,726,750,735,94095251
2014-03-12,731,716,735,721,56225215
2014-03-13,721,721,735,726,48497733
2014-03-14,716,716,784,779,178007018
2014-03-17,779,760,784,774,188954493
2014-03-18,784,760,799,760,136894731
2014-03-19,770,760,774,760,53292888
2014-03-20,750,731,755,740,98231881
2014-03-21,750,726,755,740,63977421
2014-03-24,745,735,760,755,43800347
2014-03-25,755,750,765,750,49063414
2014-03-26,760,755,765,760,32515150
2014-03-27,760,750,765,750,40863506
2014-03-28,750,735,755,740,36181918
2014-03-31,750,735,755,740,0
2014-04-01,750,740,770,765,96942838
2014-04-02,774,765,779,765,98345550
2014-04-03,770,765,779,765,39918961
2014-04-04,760,755,770,760,78914408
2014-04-07,755,750,774,770,82891408
2014-04-08,774,755,774,760,62927823
2014-04-09,760,760,760,760,0
2014-04-10,740,667,740,687,237521778
2014-04-11,667,648,687,667,162036848
2014-04-14,677,672,706,696,86211935
2014-04-15,706,706,726,721,115699145
2014-04-16,726,706,731,721,57857112
2014-04-17,726,706,731,721,56328318
2014-04-18,726,706,731,721,0
2014-04-21,721,711,726,711,22075807
2014-04-22,711,692,711,711,62786557
2014-04-23,711,701,721,711,70650483
2014-04-24,716,706,740,740,113296284
2014-04-25,745,740,765,755,134367839
2014-04-28,755,731,755,735,39161334
2014-04-29,731,726,735,731,37286709
2014-04-30,735,726,740,726,28084292
2014-05-01,735,726,740,726,0
2014-05-02,731,726,740,726,13854047
2014-05-05,731,721,735,731,21210154
2014-05-06,731,726,735,731,10017083
2014-05-07,726,726,755,755,57579094
2014-05-08,760,755,774,765,72297154
2014-05-09,765,755,770,755,24458355
2014-05-12,760,755,765,760,41928902
2014-05-13,765,755,765,755,11212973
2014-05-14,760,755,774,765,43044978
2014-05-15,760,755,774,765,0
2014-05-16,760,745,770,755,39912395
2014-05-19,731,721,779,731,117973563
2014-05-20,711,701,740,711,57247318
2014-05-21,711,687,716,711,76528577
2014-05-22,721,711,726,721,58770881
2014-05-23,711,706,721,711,26521233
2014-05-26,701,701,716,701,12202658
2014-05-27,701,701,716,701,0
2014-05-28,706,696,711,706,15240652
2014-05-29,706,696,711,706,0
2014-05-30,701,701,711,701,15083177
2014-06-02,677,672,701,677,56364942
2014-06-03,667,662,687,667,61468174
2014-06-04,662,662,682,662,53070063
2014-06-05,667,653,667,653,33625583
2014-06-06,653,648,662,653,35023165
2014-06-09,633,623,657,633,68168628
2014-06-10,653,633,657,653,36024648
2014-06-11,682,657,687,682,86437325
2014-06-12,677,677,692,677,34264103
2014-06-13,677,672,682,677,12389474
2014-06-16,662,657,682,662,49602729
2014-06-17,667,657,667,667,14462713
2014-06-18,657,653,667,657,17431460
2014-06-19,648,643,667,648,18822476
2014-06-20,643,638,657,643,12209326
2014-06-23,638,628,648,638,29484029
2014-06-24,653,633,657,653,43271599
2014-06-25,653,638,657,653,15648345
2014-06-26,657,653,662,657,15867579
2014-06-27,653,648,662,653,12447745
2014-06-30,662,648,667,662,17705067
2014-07-01,657,657,667,657,10518337
2014-07-02,657,648,667,657,19293261
2014-07-03,657,653,667,657,32210561
2014-07-04,677,657,682,677,60278644
2014-07-07,721,677,731,721,104501765
2014-07-08,735,711,745,735,141634384
2014-07-09,735,735,735,735,0
2014-07-10,755,740,774,755,266145181
2014-07-11,750,735,765,750,58837667
2014-07-14,750,735,765,750,64155927
2014-07-15,784,755,789,784,119026546
2014-07-16,789,779,809,789,137280572
2014-07-17,779,774,804,779,67158836
2014-07-18,794,770,799,794,60065155
2014-07-21,828,804,833,828,140887838
2014-07-22,818,789,848,818,233906305
2014-07-23,813,809,843,813,80547126
2014-07-24,794,789,823,794,47028441
2014-07-25,789,784,804,789,28799652
2014-07-28,789,784,804,789,0
2014-07-29,789,784,804,789,0
2014-07-30,789,784,804,789,0
2014-07-31,789,784,804,789,0
2014-08-01,789,784,804,789,0
2014-08-04,779,765,784,779,51687458
2014-08-05,813,779,813,813,72055349
2014-08-06,804,794,813,804,34380337
2014-08-07,804,799,813,804,24874973
2014-08-08,799,794,813,799,31943827
2014-08-11,823,804,833,823,95437126
2014-08-12,852,828,867,852,201404183
2014-08-13,852,852,872,852,92384667
2014-08-14,857,852,862,857,49933992
2014-08-15,862,852,877,862,45860044
2014-08-18,887,862,891,887,96454305
2014-08-19,901,887,906,901,71043403
2014-08-20,891,882,901,891,34533094
2014-08-21,906,882,916,906,62264272
2014-08-22,901,901,926,901,51596974
2014-08-25,901,887,906,901,31503819
2014-08-26,862,862,906,862,80460130
2014-08-27,857,857,877,857,50635707
2014-08-28,862,857,872,862,38455721
2014-08-29,882,862,887,882,64153465
2014-09-01,882,872,882,882,45347608
2014-09-02,882,877,891,882,39397701
2014-09-03,911,877,911,911,91390570
2014-09-04,891,891,921,891,57206590
2014-09-05,882,877,906,882,58351801
2014-09-08,877,872,891,877,51615030
2014-09-09,857,852,882,857,155699665
2014-09-10,833,818,848,833,188449644
2014-09-11,852,833,857,852,98953190
2014-09-12,852,843,862,852,29994619
2014-09-15,843,838,852,843,41184715
2014-09-16,833,833,848,833,29899723
2014-09-17,862,838,867,862,54617939
2014-09-18,857,852,877,857,76961506
2014-09-19,877,862,882,877,75934889
2014-09-22,867,867,877,867,19400160
2014-09-23,857,852,867,857,15993662
2014-09-24,857,857,872,857,13481236
2014-09-25,867,862,877,867,14948374
2014-09-26,833,818,852,833,96995980
2014-09-29,809,799,838,809,77013006
2014-09-30,813,799,823,813,38626841
2014-10-01,852,818,857,852,74618661
2014-10-02,828,818,838,828,53530178
2014-10-03,784,784,838,784,87904360
2014-10-06,794,779,804,794,52740749
2014-10-07,809,789,813,809,100754361
2014-10-08,794,779,813,794,38479830
2014-10-09,823,813,833,823,65742583
2014-10-10,813,799,818,813,58096968
2014-10-13,813,804,823,813,12972800
2014-10-14,833,813,843,833,38666338
2014-10-15,852,838,862,852,60007602
2014-10-16,877,848,882,877,85881595
2014-10-17,896,877,901,896,97109547
2014-10-20,901,896,930,901,150279122
2014-10-21,921,896,926,921,92676945
2014-10-22,916,911,930,916,36894097
2014-10-23,940,911,950,940,94991168
2014-10-24,926,921,945,926,52301562
2014-10-27,926,921,935,926,34404343
2014-10-28,911,911,926,911,25620083
2014-10-29,940,916,945,940,66721188
2014-10-30,945,921,950,945,51397232
2014-10-31,945,940,960,945,35532524
2014-11-03,940,935,955,940,35957452
2014-11-04,940,940,955,940,25005159
2014-11-05,935,921,945,935,21813895
2014-11-06,935,930,940,935,16900660
2014-11-07,935,916,940,935,26804689
2014-11-10,926,921,950,926,18528761
2014-11-11,965,930,969,965,76002188
2014-11-12,969,965,989,969,87544578
2014-11-13,965,955,974,965,39373695
2014-11-14,965,965,984,965,39557229
2014-11-17,965,965,994,989,57576734
2014-11-18,1013,994,1033,1013,117743556
2014-11-19,1003,999,1028,1003,59554668
2014-11-20,999,989,1003,999,42409741
2014-11-21,1003,994,1018,1003,45377461
2014-11-24,1018,1008,1033,1018,57700663
2014-11-25,1008,1008,1023,1008,24755866
2014-11-26,1018,1003,1023,1018,24419063
2014-11-27,1013,1013,1023,1013,10193845
2014-11-28,1018,1013,1028,1018,24530373
2014-12-01,1018,1013,1086,1072,122611652
2014-12-02,1072,1072,1155,1130,81361587
2014-12-03,1130,1116,1159,1130,70928912
2014-12-04,1130,1120,1145,1130,21735209
2014-12-05,1130,1116,1140,1125,18569284
2014-12-08,1125,1062,1135,1081,67702563
2014-12-09,1072,1062,1111,1101,39590263
2014-12-10,1111,1111,1169,1169,90935174
2014-12-11,1164,1155,1198,1184,54648203
2014-12-12,1194,1174,1213,1189,51452015
2014-12-15,1169,1159,1194,1194,38865465
2014-12-16,1169,1125,1169,1159,83976911
2014-12-17,1145,1145,1194,1194,55310934
2014-12-18,1208,1208,1257,1242,61835754
2014-12-19,1267,1267,1291,1291,56297643
2014-12-22,1306,1296,1320,1320,49120146
2014-12-23,1325,1325,1398,1359,80769951
2014-12-24,1374,1374,1481,1432,100707785
2014-12-25,1374,1374,1481,1432,0
2014-12-26,1374,1374,1481,1432,0
2014-12-29,1447,1447,1510,1471,74125819
2014-12-30,1471,1432,1496,1432,78536466
2014-12-31,1471,1432,1496,1432,0
2015-01-01,1471,1432,1496,1432,0
2015-01-02,1432,1428,1462,1428,27716508
2015-01-05,1428,1369,1432,1369,64678930
2015-01-06,1335,1320,1389,1359,108644037
2015-01-07,1364,1364,1418,1413,76756019
2015-01-08,1428,1408,1452,1418,80019301
2015-01-09,1428,1384,1442,1393,57027571
2015-01-12,1389,1374,1418,1389,41082330
2015-01-13,1389,1384,1408,1393,26106051
2015-01-14,1393,1374,1408,1384,54934839
2015-01-15,1437,1384,1447,1437,95410863
2015-01-16,1437,1408,1447,1408,55099086
2015-01-19,1413,1408,1442,1418,41827235
2015-01-20,1428,1413,1476,1467,84218613
2015-01-21,1476,1452,1491,1476,71247557
2015-01-22,1481,1467,1530,1525,95052209
2015-01-23,1544,1535,1564,1549,89869778
2015-01-26,1544,1510,1554,1530,71576562
2015-01-27,1540,1525,1593,1593,79808684
2015-01-28,1593,1579,1618,1598,55270616
2015-01-29,1598,1593,1627,1627,39558152
2015-01-30,1632,1632,1696,1671,74199171
2015-02-02,1671,1666,1730,1730,51839292
2015-02-03,1744,1744,1837,1783,103061403
2015-02-04,1803,1637,1842,1725,166275760
2015-02-05,1754,1725,1783,1739,86919703
2015-02-06,1764,1720,1774,1739,32764546
2015-02-09,1744,1715,1759,1730,25964272
2015-02-10,1735,1700,1735,1715,27149904
2015-02-11,1749,1744,1778,1754,71797951
2015-02-12,1769,1739,1774,1744,29248277
2015-02-13,1754,1730,1764,1759,33666619
2015-02-16,1769,1710,1778,1739,39928399
2015-02-17,1749,1720,1769,1739,34301343
2015-02-18,1754,1739,1774,1749,40445657
2015-02-19,1754,1739,1774,1749,0
2015-02-20,1759,1754,1793,1778,83659190
2015-02-23,1793,1774,1813,1774,89543850
2015-02-24,1774,1754,1778,1764,32380757
2015-02-25,1783,1764,1798,1769,40806979
2015-02-26,1769,1759,1783,1774,21981937
2015-02-27,1783,1754,1788,1769,22873341
2015-03-02,1778,1764,1778,1764,27084759
2015-03-03,1778,1759,1778,1764,28997753
2015-03-04,1769,1715,1778,1754,49494189
2015-03-05,1749,1739,1764,1749,29954096
2015-03-06,1749,1735,1754,1735,33467595
2015-03-09,1725,1652,1725,1661,84560648
2015-03-10,1671,1622,1686,1661,65809882
2015-03-11,1647,1588,1647,1603,68821305
2015-03-12,1608,1603,1666,1657,63381989
2015-03-13,1676,1627,1691,1627,42843388
2015-03-16,1603,1593,1652,1647,43362493
2015-03-17,1657,1637,1666,1647,26427363
2015-03-18,1652,1637,1686,1676,34072978
2015-03-19,1705,1691,1715,1710,40193183
2015-03-20,1710,1696,1739,1739,52807022
2015-03-23,1749,1720,1759,1725,30141425
2015-03-24,1735,1710,1739,1725,30647604
2015-03-25,1715,1691,1725,1691,28450333
2015-03-26,1681,1637,1715,1647,42636465
2015-03-27,1661,1647,1686,1676,16478913
2015-03-30,1681,1666,1715,1705,23917091
2015-03-31,1715,1715,1739,1735,39998057
2015-04-01,1725,1720,1744,1739,20411902
2015-04-02,1725,1510,1725,1657,102683564
2015-04-03,1725,1510,1725,1657,0
2015-04-06,1657,1618,1657,1632,48284654
2015-04-07,1632,1627,1671,1666,30365174
2015-04-08,1681,1647,1691,1652,28242999
2015-04-09,1657,1637,1666,1637,9121678
