timestamp,open,low,high,close,volume
2018-12-12,555,555,555,555,0
2018-12-13,555,555,555,555,31400
2018-12-14,690,680,690,690,31184500
2018-12-17,700,540,700,555,17873500
2018-12-18,550,500,565,525,2725200
2018-12-19,520,505,525,515,879100
2018-12-20,515,505,535,510,1110300
2018-12-21,510,498,525,515,1472400
2018-12-24,515,515,515,515,0
2018-12-25,515,515,515,515,0
2018-12-26,515,488,515,490,712200
2018-12-27,490,488,505,498,1757700
2018-12-28,500,500,515,510,1082100
2018-12-31,510,510,510,510,0
2019-01-01,510,510,510,510,0
2019-01-02,498,498,530,515,1198100
2019-01-03,515,505,525,525,1006200
2019-01-04,525,510,525,515,1254100
2019-01-07,515,498,565,540,4380600
2019-01-08,540,520,560,545,1933000
2019-01-09,545,525,545,530,904100
2019-01-10,530,525,560,535,2520600
2019-01-11,535,520,540,535,637200
2019-01-14,535,510,535,510,707800
2019-01-15,505,505,525,520,826500
2019-01-16,520,510,530,510,304500
2019-01-17,510,505,520,515,441800
2019-01-18,515,505,515,515,212100
2019-01-21,515,500,515,505,389000
2019-01-22,510,496,510,500,431400
2019-01-23,500,492,500,494,575800
2019-01-24,494,482,498,490,909400
2019-01-25,490,478,490,488,493700
2019-01-28,488,484,515,500,2666400
2019-01-29,500,490,510,500,951300
2019-01-30,505,496,505,496,445700
2019-01-31,496,492,500,498,358300
2019-02-01,498,484,498,494,372300
2019-02-04,494,488,498,496,542100
2019-02-05,496,496,496,496,0
2019-02-06,496,486,496,490,188000
2019-02-07,488,480,490,484,173800
2019-02-08,482,480,490,480,521600
2019-02-11,480,472,488,482,397500
2019-02-12,482,476,492,486,991400
2019-02-13,484,470,486,480,420700
2019-02-14,480,470,480,476,567500
2019-02-15,476,462,480,474,439600
2019-02-18,472,464,472,464,180000
2019-02-19,462,462,488,480,2797700
2019-02-20,480,476,484,482,744900
2019-02-21,482,476,486,486,527100
2019-02-22,486,484,496,496,1186100
2019-02-25,496,494,515,510,1653000
2019-02-26,510,505,515,510,253600
2019-02-27,500,500,510,505,233700
2019-02-28,500,488,500,496,230300
2019-03-01,496,496,500,496,308100
2019-03-04,492,488,494,490,57000
2019-03-05,488,488,555,520,5327800
2019-03-06,525,515,545,530,2002600
2019-03-07,530,530,530,530,0
2019-03-08,530,505,530,520,242700
2019-03-11,520,510,555,525,1311000
2019-03-12,530,510,530,520,190300
2019-03-13,515,500,520,515,218700
2019-03-14,515,498,515,500,68200
2019-03-15,510,498,510,505,4000
2019-03-18,500,492,505,492,154200
2019-03-19,492,488,505,498,868500
2019-03-20,500,496,505,500,137600
2019-03-21,505,494,505,494,270400
2019-03-22,500,500,500,500,50000
2019-03-25,500,494,500,500,51900
2019-03-26,500,490,500,500,30200
2019-03-27,500,500,500,500,0
2019-03-28,500,490,500,498,21500
2019-03-29,498,490,500,500,15300
2019-04-01,500,500,515,500,537300
2019-04-02,498,490,498,498,34400
2019-04-03,498,498,498,498,0
2019-04-04,498,490,498,496,114000
2019-04-05,496,490,496,490,4700
2019-04-08,496,490,496,490,50200
2019-04-09,494,490,496,496,97100
2019-04-10,496,496,500,498,153500
2019-04-11,498,490,498,498,168300
2019-04-12,498,490,500,496,105900
2019-04-15,496,496,496,496,85900
2019-04-16,496,490,510,505,551400
2019-04-17,505,505,505,505,0
2019-04-18,505,496,510,510,68000
2019-04-19,510,510,510,510,0
2019-04-22,498,498,510,505,33800
2019-04-23,510,496,510,505,53000
2019-04-24,505,488,505,496,115900
2019-04-25,496,488,496,496,24600
2019-04-26,494,488,494,494,62000
2019-04-29,494,494,498,498,272400
2019-04-30,498,498,498,498,133100
2019-05-01,498,498,498,498,0
2019-05-02,498,498,520,520,735800
2019-05-03,520,510,525,510,40800
2019-05-06,510,500,550,550,815900
2019-05-07,550,525,560,555,239000
2019-05-08,550,545,615,605,2738700
2019-05-09,605,575,615,590,1560400
2019-05-10,580,580,605,595,498700
2019-05-13,595,590,625,625,2396200
2019-05-14,625,575,640,630,1614200
2019-05-15,630,615,635,625,1033200
2019-05-16,630,605,650,640,2731800
2019-05-17,640,630,645,640,633800
2019-05-20,640,610,650,635,1635200
2019-05-21,635,630,640,630,709800
2019-05-22,630,630,680,660,2569200
2019-05-23,665,665,690,675,1633300
2019-05-24,675,640,680,660,1353800
2019-05-27,665,630,665,655,746100
2019-05-28,655,630,675,675,1478200
2019-05-29,675,650,700,700,1640900
2019-05-30,700,700,700,700,0
2019-05-31,700,670,700,670,575700
2019-06-03,670,670,670,670,0
2019-06-04,670,670,670,670,0
2019-06-05,670,670,670,670,0
2019-06-06,670,670,670,670,0
2019-06-07,670,670,670,670,0
2019-06-10,665,545,670,545,1335000
2019-06-11,555,550,585,570,1497300
2019-06-12,575,575,595,590,1505300
2019-06-13,590,590,605,605,1157000
2019-06-14,605,595,615,615,1001700
2019-06-17,615,585,620,610,537200
2019-06-18,610,595,610,610,502800
2019-06-19,610,595,610,610,0
2019-06-20,600,525,600,550,3319400
2019-06-21,550,545,560,550,489100
2019-06-24,550,540,550,545,125800
2019-06-25,545,525,555,540,623500
2019-06-26,540,520,550,535,458400
2019-06-27,535,525,555,550,635500
2019-06-28,550,540,560,550,318000
2019-07-01,550,545,560,550,308600
2019-07-02,550,545,550,550,157600
2019-07-03,545,545,555,555,340600
2019-07-04,555,530,555,540,281900
2019-07-05,540,525,540,535,256300
2019-07-08,535,525,535,530,198300
2019-07-09,530,530,540,540,273000
2019-07-10,540,540,545,545,253600
2019-07-11,545,545,550,550,219900
2019-07-12,550,550,555,550,189500
2019-07-15,550,545,555,545,181400
2019-07-16,545,530,545,540,98500
2019-07-17,540,530,545,545,348300
2019-07-18,545,540,560,560,250700
2019-07-19,560,560,570,570,220100
2019-07-22,570,570,575,570,93000
2019-07-23,570,545,570,555,59200
2019-07-24,555,545,560,560,188900
2019-07-25,560,555,565,560,90300
2019-07-26,560,540,565,540,67000
2019-07-29,535,535,545,540,60500
2019-07-30,540,540,545,540,51100
2019-07-31,540,540,555,555,194600
2019-08-01,555,555,560,560,226900
2019-08-02,560,555,565,555,125500
2019-08-05,555,550,560,560,246100
2019-08-06,555,555,555,555,150200
2019-08-07,555,555,560,560,192400
2019-08-08,560,560,560,560,164200
2019-08-09,560,560,565,560,204500
2019-08-12,560,550,560,555,202100
2019-08-13,555,540,555,550,172800
2019-08-14,550,550,555,550,265500
2019-08-15,550,525,550,530,240100
2019-08-16,530,525,535,530,191200
2019-08-19,530,525,530,530,110900
2019-08-20,530,530,535,535,162100
2019-08-21,535,530,540,535,240700
2019-08-22,535,535,540,540,139000
2019-08-23,535,530,540,530,215200
2019-08-26,525,525,530,525,192100
2019-08-27,530,525,535,525,312100
2019-08-28,525,510,525,520,201800
2019-08-29,520,520,525,520,283900
2019-08-30,520,520,525,520,200700
2019-09-02,520,505,530,510,378800
2019-09-03,505,498,505,498,144600
2019-09-04,498,486,498,486,466800
2019-09-05,486,482,494,494,459100
2019-09-06,488,486,494,486,40300
2019-09-09,486,482,486,482,87700
2019-09-10,482,482,494,486,115400
2019-09-11,486,484,490,486,141200
2019-09-12,486,482,492,482,110800
2019-09-13,494,482,535,482,414900
2019-09-16,482,476,484,476,125500
2019-09-17,482,472,482,472,116100
2019-09-18,482,470,490,472,221300
2019-09-19,476,470,476,470,111400
2019-09-20,470,470,474,474,107400
2019-09-23,472,472,476,474,154100
2019-09-24,474,468,474,468,184800
2019-09-25,474,470,480,474,118000
2019-09-26,476,474,476,476,111900
2019-09-27,472,472,478,472,105700
2019-09-30,470,470,470,470,105200
2019-10-01,470,468,474,468,105500
2019-10-02,470,468,470,468,103700
2019-10-03,468,460,476,460,123700
2019-10-04,462,460,470,460,135900
2019-10-07,460,460,466,460,83700
2019-10-08,460,430,468,454,176100
2019-10-09,460,460,525,480,473600
2019-10-10,480,468,484,468,321800
2019-10-11,464,460,464,462,202400
2019-10-14,464,456,464,456,128100
2019-10-15,456,454,458,456,108300
2019-10-16,460,450,460,450,125100
2019-10-17,456,450,456,450,157000
