timestamp,open,low,high,close,volume
2020-04-16 09:00:00,1850,1750,1850,1755,0
2020-04-16 10:00:00,1755,1750,1770,1755,496500
2020-04-16 11:00:00,1755,1755,1770,1760,150300
2020-04-16 12:00:00,1755,1755,1770,1760,0
2020-04-16 13:00:00,1765,1755,1780,1760,433800
2020-04-16 14:00:00,1760,1745,1845,1825,2133900
2020-04-16 15:00:00,1885,1885,1885,1885,214200
2020-04-16 16:00:00,1885,1885,1885,1885,0
2020-04-17 09:00:00,1905,1810,1915,1820,0
2020-04-17 10:00:00,1820,1805,1835,1810,523600
2020-04-17 11:00:00,1810,1805,1825,1810,225600
2020-04-17 12:00:00,1810,1805,1825,1810,0
2020-04-17 13:00:00,1810,1810,1825,1820,534900
2020-04-17 14:00:00,1820,1810,1850,1835,1113100
2020-04-17 15:00:00,1830,1830,1830,1830,324700
2020-04-17 16:00:00,1830,1830,1830,1830,0
2020-04-20 09:00:00,1820,1775,1835,1805,0
2020-04-20 10:00:00,1805,1800,1820,1810,248700
2020-04-20 11:00:00,1815,1810,1825,1820,129200
2020-04-20 12:00:00,1815,1810,1825,1820,0
2020-04-20 13:00:00,1820,1820,1860,1855,727300
2020-04-20 14:00:00,1855,1840,1865,1860,649400
2020-04-20 15:00:00,1850,1850,1850,1850,900300
2020-04-20 16:00:00,1850,1850,1850,1850,0
2020-04-21 09:00:00,1850,1820,1850,1835,0
2020-04-21 10:00:00,1830,1810,1840,1825,649100
2020-04-21 11:00:00,1825,1810,1840,1825,200300
2020-04-21 12:00:00,1825,1810,1840,1825,0
2020-04-21 13:00:00,1825,1825,1840,1835,322700
2020-04-21 14:00:00,1830,1830,1845,1835,1093200
2020-04-21 15:00:00,1870,1870,1870,1870,397400
2020-04-21 16:00:00,1870,1870,1870,1870,0
2020-04-22 09:00:00,1875,1835,1880,1855,0
2020-04-22 10:00:00,1860,1850,1865,1855,570800
2020-04-22 11:00:00,1855,1845,1855,1845,137300
2020-04-22 12:00:00,1855,1845,1855,1845,0
2020-04-22 13:00:00,1850,1845,1885,1865,555100
2020-04-22 14:00:00,1870,1865,1905,1900,1494200
2020-04-22 15:00:00,1950,1950,1950,1950,876300
2020-04-22 16:00:00,1950,1950,1950,1950,0
2020-04-23 09:00:00,1950,1930,1970,1945,0
2020-04-23 10:00:00,1945,1940,1950,1940,184600
2020-04-23 11:00:00,1945,1940,1945,1940,29600
2020-04-23 12:00:00,1945,1940,1945,1940,0
2020-04-23 13:00:00,1940,1930,1945,1940,363100
2020-04-23 14:00:00,1940,1930,1945,1940,218700
2020-04-23 15:00:00,1940,1940,1940,1940,218600
2020-04-23 16:00:00,1940,1940,1940,1940,0
2020-04-24 09:00:00,1970,1920,1970,1940,0
2020-04-24 10:00:00,1945,1930,1950,1950,531800
2020-04-24 11:00:00,1945,1940,1960,1950,147000
2020-04-24 12:00:00,1945,1940,1960,1950,0
2020-04-24 13:00:00,1950,1940,1950,1945,308600
2020-04-24 14:00:00,1945,1940,1975,1940,603200
2020-04-24 15:00:00,1940,1940,1940,1940,0
2020-04-24 16:00:00,1940,1940,1940,1940,0
2020-04-27 09:00:00,1940,1940,1985,1940,107400
2020-04-27 10:00:00,1940,1900,1940,1905,134700
2020-04-27 11:00:00,1905,1900,1910,1900,56200
2020-04-27 12:00:00,1905,1900,1910,1900,0
2020-04-27 13:00:00,1905,1905,1925,1915,146200
2020-04-27 14:00:00,1910,1890,1920,1905,334400
2020-04-27 15:00:00,1910,1910,1910,1910,55100
2020-04-27 16:00:00,1910,1910,1910,1910,0
2020-04-28 09:00:00,1920,1890,1920,1890,0
2020-04-28 10:00:00,1895,1875,1895,1885,151200
2020-04-28 11:00:00,1885,1875,1885,1875,49900
2020-04-28 12:00:00,1885,1875,1885,1875,0
2020-04-28 13:00:00,1875,1875,1960,1945,402500
2020-04-28 14:00:00,1945,1920,1960,1935,1808800
2020-04-28 15:00:00,1940,1940,1940,1940,430900
2020-04-28 16:00:00,1940,1940,1940,1940,0
2020-04-29 09:00:00,1940,1895,1940,1925,0
2020-04-29 10:00:00,1925,1920,1930,1920,450000
2020-04-29 11:00:00,1920,1915,1925,1915,114600
2020-04-29 12:00:00,1920,1915,1925,1915,0
2020-04-29 13:00:00,1915,1900,1920,1920,929300
2020-04-29 14:00:00,1910,1905,1920,1915,640800
2020-04-29 15:00:00,1915,1915,1915,1915,305400
2020-04-29 16:00:00,1915,1915,1915,1915,0
2020-04-30 09:00:00,1920,1915,1950,1945,0
2020-04-30 10:00:00,1940,1920,1950,1940,345000
2020-04-30 11:00:00,1935,1935,1945,1940,125900
2020-04-30 12:00:00,1935,1935,1945,1940,0
2020-04-30 13:00:00,1945,1940,1965,1965,422500
2020-04-30 14:00:00,1960,1930,1970,1940,1081400
2020-04-30 15:00:00,1945,1945,1945,1945,95900
2020-04-30 16:00:00,1945,1945,1945,1945,0
2020-05-01 09:00:00,1945,1945,1945,1945,0
2020-05-01 10:00:00,1945,1945,1945,1945,0
2020-05-01 11:00:00,1945,1945,1945,1945,0
2020-05-01 12:00:00,1945,1945,1945,1945,0
2020-05-01 13:00:00,1945,1945,1945,1945,0
2020-05-01 14:00:00,1945,1945,1945,1945,0
2020-05-01 15:00:00,1945,1945,1945,1945,0
2020-05-01 16:00:00,1945,1945,1945,1945,0
2020-05-04 09:00:00,1945,1910,1955,1940,0
2020-05-04 10:00:00,1935,1925,1940,1935,158600
2020-05-04 11:00:00,1935,1930,1940,1930,157100
2020-05-04 12:00:00,1935,1930,1940,1930,0
2020-05-04 13:00:00,1930,1930,1940,1935,306800
2020-05-04 14:00:00,1935,1900,1940,1905,1099700
2020-05-04 15:00:00,1830,1830,1830,1830,280700
2020-05-04 16:00:00,1830,1830,1830,1830,0
2020-05-05 09:00:00,1870,1860,1900,1895,0
2020-05-05 10:00:00,1895,1895,1920,1920,120000
2020-05-05 11:00:00,1915,1895,1915,1905,107800
2020-05-05 12:00:00,1915,1895,1915,1905,0
2020-05-05 13:00:00,1920,1900,1920,1905,154100
2020-05-05 14:00:00,1905,1895,1910,1905,240100
2020-05-05 15:00:00,1910,1910,1910,1910,67500
2020-05-05 16:00:00,1910,1910,1910,1910,0
2020-05-06 09:00:00,1920,1890,1920,1890,0
2020-05-06 10:00:00,1895,1890,1905,1900,372600
2020-05-06 11:00:00,1900,1890,1905,1905,193100
2020-05-06 12:00:00,1900,1890,1905,1905,0
2020-05-06 13:00:00,1905,1900,1915,1905,307400
2020-05-06 14:00:00,1905,1900,1940,1920,697500
2020-05-06 15:00:00,1920,1920,1920,1920,85400
2020-05-06 16:00:00,1920,1920,1920,1920,0
2020-05-07 09:00:00,1920,1920,1920,1920,0
2020-05-07 10:00:00,1920,1920,1920,1920,0
2020-05-07 11:00:00,1920,1920,1920,1920,0
2020-05-07 12:00:00,1920,1920,1920,1920,0
2020-05-07 13:00:00,1920,1920,1920,1920,0
2020-05-07 14:00:00,1920,1920,1920,1920,0
2020-05-07 15:00:00,1920,1920,1920,1920,0
2020-05-07 16:00:00,1920,1920,1920,1920,0
2020-05-08 09:00:00,1940,1920,1955,1940,0
2020-05-08 10:00:00,1940,1935,1960,1955,467900
2020-05-08 11:00:00,1960,1940,1970,1950,233300
2020-05-08 12:00:00,1960,1940,1970,1950,0
2020-05-08 13:00:00,1950,1950,2020,2000,1090100
2020-05-08 14:00:00,2000,1930,2000,1945,1667500
2020-05-08 15:00:00,1990,1990,1990,1990,211400
2020-05-08 16:00:00,1990,1990,1990,1990,0
2020-05-11 09:00:00,2000,1980,2020,1995,0
2020-05-11 10:00:00,2000,1990,2010,2000,613100
2020-05-11 11:00:00,1995,1990,2000,1990,1015700
2020-05-11 12:00:00,1995,1990,2000,1990,0
2020-05-11 13:00:00,1995,1990,2010,2000,2103900
2020-05-11 14:00:00,2000,2000,2030,2020,1519600
2020-05-11 15:00:00,2030,2030,2030,2030,292300
2020-05-11 16:00:00,2030,2030,2030,2030,0
2020-05-12 09:00:00,2030,2030,2130,2120,0
2020-05-12 10:00:00,2130,2120,2190,2130,1240400
2020-05-12 11:00:00,2130,2130,2200,2200,921400
2020-05-12 12:00:00,2130,2130,2200,2200,0
2020-05-12 13:00:00,2190,2150,2200,2180,805300
2020-05-12 14:00:00,2190,2190,2500,2230,5224200
2020-05-12 15:00:00,2200,2200,2200,2200,445200
2020-05-12 16:00:00,2200,2200,2200,2200,0
2020-05-13 09:00:00,2210,2090,2330,2270,0
2020-05-13 10:00:00,2260,2200,2270,2210,661500
2020-05-13 11:00:00,2210,2200,2220,2210,159200
2020-05-13 12:00:00,2210,2200,2220,2210,0
2020-05-13 13:00:00,2210,2210,2270,2230,1086100
2020-05-13 14:00:00,2230,2190,2240,2190,1061800
2020-05-13 15:00:00,2200,2200,2200,2200,103900
2020-05-13 16:00:00,2200,2200,2200,2200,0
2020-05-14 09:00:00,2210,2190,2280,2260,0
2020-05-14 10:00:00,2260,2250,2270,2270,159100
2020-05-14 11:00:00,2260,2250,2270,2270,108600
2020-05-14 12:00:00,2260,2250,2270,2270,0
2020-05-14 13:00:00,2260,2260,2330,2320,886200
2020-05-14 14:00:00,2320,2250,2350,2300,2599100
2020-05-14 15:00:00,2250,2250,2250,2250,50100
2020-05-14 16:00:00,2250,2250,2250,2250,0
2020-05-15 09:00:00,2270,2270,2450,2420,0
2020-05-15 10:00:00,2420,2380,2420,2390,821600
2020-05-15 11:00:00,2390,2370,2400,2370,434000
2020-05-15 12:00:00,2390,2370,2400,2370,0
2020-05-15 13:00:00,2370,2350,2390,2370,414700
